block,asof,arm,n_gs,n_burn,seed,seconds,sweeps,global_loading,collapsed,nowcast,panel_rows,panel_cols,deflator_skipped
early,2022-01-01,anchor_cold,2000,1000,4,236.46,3000,1.4076,0,3.956692727881016,14,385,cpi_monthly_live
early,2022-02-01,warm,50,25,4,6.49,75,1.4655,0,6.1371977733029945,14,386,cpi_monthly_live
early,2022-02-01,warm,100,50,4,12.59,150,1.4787,0,3.2918517128077034,14,386,cpi_monthly_live
early,2022-02-01,warm,200,100,4,24.37,300,1.3746,0,2.7439205954225767,14,386,cpi_monthly_live
early,2022-02-01,warm,500,250,4,61.8,750,1.2517,0,3.550595624262256,14,386,cpi_monthly_live
early,2022-02-01,cold,200,100,4,24.59,300,0.6915,1,,14,386,cpi_monthly_live
early,2022-02-01,cold,200,100,13,24.92,300,0.1954,1,,14,386,cpi_monthly_live
early,2022-02-01,cold,200,100,19,24.88,300,1.0951,0,3.094197687522842,14,386,cpi_monthly_live
early,2022-02-01,cold,200,100,22,24.42,300,0.2691,1,,14,386,cpi_monthly_live
early,2022-02-01,cold,200,100,27,26.19,300,0.7774,1,,14,386,cpi_monthly_live
early,2022-03-01,warm,50,25,4,6.77,75,1.34,0,8.644050810576003,14,387,cpi_monthly_live
early,2022-03-01,warm,100,50,4,13.46,150,1.5384,0,7.785204384742112,14,387,cpi_monthly_live
early,2022-03-01,warm,200,100,4,25.62,300,1.4189,0,7.717935659855817,14,387,cpi_monthly_live
early,2022-03-01,warm,500,250,4,59.44,750,1.2072,0,8.118566674004633,14,387,cpi_monthly_live
early,2022-03-01,cold,200,100,4,23.61,300,0.4803,1,,14,387,cpi_monthly_live
early,2022-03-01,cold,200,100,13,23.63,300,0.3119,1,,14,387,cpi_monthly_live
early,2022-03-01,cold,200,100,19,23.64,300,1.3902,0,5.78856324670317,14,387,cpi_monthly_live
early,2022-03-01,cold,200,100,22,23.63,300,1.3839,0,5.136343690105615,14,387,cpi_monthly_live
early,2022-03-01,cold,200,100,27,23.55,300,1.3052,0,7.075796714547095,14,387,cpi_monthly_live
early,2022-04-01,warm,50,25,4,5.99,75,1.5962,0,16.23534186526858,14,388,cpi_monthly_live
early,2022-04-01,warm,100,50,4,11.84,150,1.3305,0,14.697902097365578,14,388,cpi_monthly_live
early,2022-04-01,warm,200,100,4,23.69,300,1.349,0,16.466233891340625,14,388,cpi_monthly_live
early,2022-04-01,warm,500,250,4,59.19,750,1.5777,0,15.897895058866075,14,388,cpi_monthly_live
early,2022-04-01,cold,200,100,4,23.73,300,0.4892,1,,14,388,cpi_monthly_live
early,2022-04-01,cold,200,100,13,24.4,300,1.3404,0,8.11009420964396,14,388,cpi_monthly_live
early,2022-04-01,cold,200,100,19,25.14,300,1.4691,0,7.885626859412881,14,388,cpi_monthly_live
early,2022-04-01,cold,200,100,22,25.2,300,0.6739,1,,14,388,cpi_monthly_live
early,2022-04-01,cold,200,100,27,25.28,300,0.3461,1,,14,388,cpi_monthly_live
early,2022-05-01,warm,50,25,4,6.44,75,1.5099,0,11.051015933361821,14,389,cpi_monthly_live
early,2022-05-01,warm,100,50,4,12.67,150,1.536,0,12.045126350840057,14,389,cpi_monthly_live
early,2022-05-01,warm,200,100,4,24.95,300,1.489,0,10.401927302700713,14,389,cpi_monthly_live
early,2022-05-01,warm,500,250,4,62.59,750,1.4454,0,10.468855031564923,14,389,cpi_monthly_live
early,2022-05-01,cold,200,100,4,25.55,300,0.4195,1,,14,389,cpi_monthly_live
early,2022-05-01,cold,200,100,13,25.25,300,1.5381,0,10.125390480464242,14,389,cpi_monthly_live
early,2022-05-01,cold,200,100,19,24.98,300,0.2357,1,,14,389,cpi_monthly_live
early,2022-05-01,cold,200,100,22,24.95,300,0.0853,1,,14,389,cpi_monthly_live
early,2022-05-01,cold,200,100,27,25.0,300,-0.0152,1,,14,389,cpi_monthly_live
early,2022-06-01,warm,50,25,4,6.32,75,1.3625,0,9.931193719313057,14,390,cpi_monthly_live
early,2022-06-01,warm,100,50,4,12.53,150,1.445,0,8.048526110941095,14,390,cpi_monthly_live
early,2022-06-01,warm,200,100,4,24.96,300,1.5547,0,8.146806611912567,14,390,cpi_monthly_live
early,2022-06-01,warm,500,250,4,62.1,750,1.5504,0,9.256543940589188,14,390,cpi_monthly_live
early,2022-06-01,cold,200,100,4,24.86,300,0.9785,1,,14,390,cpi_monthly_live
early,2022-06-01,cold,200,100,13,24.51,300,1.3709,0,9.301223835593513,14,390,cpi_monthly_live
early,2022-06-01,cold,200,100,19,24.69,300,1.4621,0,9.29102503738384,14,390,cpi_monthly_live
early,2022-06-01,cold,200,100,22,24.37,300,1.2794,0,9.902823109736666,14,390,cpi_monthly_live
early,2022-06-01,cold,200,100,27,24.86,300,0.6411,1,,14,390,cpi_monthly_live
early,2022-06-01,anchor_cold_close,2000,1000,4,248.15,3000,1.3711,0,9.915422550334267,14,390,cpi_monthly_live
middle,2024-01-01,anchor_cold,2000,1000,4,266.82,3000,0.3654,1,,14,409,cpi_monthly_live
middle,2024-01-01,anchor_cold,2000,1000,13,269.76,3000,1.2491,0,2.339127447833202,14,409,cpi_monthly_live
middle,2024-02-01,warm,50,25,4,6.71,75,1.1931,0,2.637907495031141,14,410,cpi_monthly_live
middle,2024-02-01,warm,100,50,4,13.02,150,1.2224,0,2.7671599517568426,14,410,cpi_monthly_live
middle,2024-02-01,warm,200,100,4,25.83,300,1.3089,0,2.6842017164880048,14,410,cpi_monthly_live
middle,2024-02-01,warm,500,250,4,64.9,750,1.5099,0,2.4371702890588844,14,410,cpi_monthly_live
middle,2024-02-01,cold,200,100,4,25.99,300,1.411,0,1.927438151752559,14,410,cpi_monthly_live
middle,2024-02-01,cold,200,100,13,25.93,300,0.5667,1,,14,410,cpi_monthly_live
middle,2024-02-01,cold,200,100,19,26.1,300,1.1848,0,2.1286151983111727,14,410,cpi_monthly_live
middle,2024-02-01,cold,200,100,22,26.05,300,1.0408,0,2.1585701530612913,14,410,cpi_monthly_live
middle,2024-02-01,cold,200,100,27,25.95,300,0.4325,1,,14,410,cpi_monthly_live
middle,2024-03-01,warm,50,25,4,6.64,75,1.3053,0,2.1914593820028694,14,411,cpi_monthly_live
middle,2024-03-01,warm,100,50,4,13.05,150,1.2344,0,2.1850959108928762,14,411,cpi_monthly_live
middle,2024-03-01,warm,200,100,4,25.92,300,1.3338,0,2.2354683476332298,14,411,cpi_monthly_live
middle,2024-03-01,warm,500,250,4,64.72,750,1.5097,0,2.3093226462668324,14,411,cpi_monthly_live
middle,2024-03-01,cold,200,100,4,25.52,300,0.4846,1,,14,411,cpi_monthly_live
middle,2024-03-01,cold,200,100,13,25.64,300,0.808,1,,14,411,cpi_monthly_live
middle,2024-03-01,cold,200,100,19,26.01,300,0.467,1,,14,411,cpi_monthly_live
middle,2024-03-01,cold,200,100,22,25.93,300,1.2026,0,2.198509279341545,14,411,cpi_monthly_live
middle,2024-03-01,cold,200,100,27,26.09,300,1.2827,0,1.7021502201412402,14,411,cpi_monthly_live
middle,2024-04-01,warm,50,25,4,6.58,75,1.3152,0,2.679522798678113,14,412,cpi_monthly_live
middle,2024-04-01,warm,100,50,4,13.03,150,1.3237,0,2.9282957392478983,14,412,cpi_monthly_live
middle,2024-04-01,warm,200,100,4,26.08,300,1.2975,0,2.669311082405999,14,412,cpi_monthly_live
middle,2024-04-01,warm,500,250,4,64.8,750,1.2996,0,2.6651301522102333,14,412,cpi_monthly_live
middle,2024-04-01,cold,200,100,4,27.19,300,1.2307,0,2.892896366119872,14,412,cpi_monthly_live
middle,2024-04-01,cold,200,100,13,26.48,300,0.6366,1,,14,412,cpi_monthly_live
middle,2024-04-01,cold,200,100,19,26.12,300,1.561,0,2.953926900898208,14,412,cpi_monthly_live
middle,2024-04-01,cold,200,100,22,26.74,300,0.7695,1,,14,412,cpi_monthly_live
middle,2024-04-01,cold,200,100,27,26.85,300,1.4901,0,2.785577489836395,14,412,cpi_monthly_live
middle,2024-05-01,warm,50,25,4,6.76,75,1.5248,0,1.9521000403046327,14,413,cpi_monthly_live
middle,2024-05-01,warm,100,50,4,13.67,150,1.7055,0,2.4223331474849203,14,413,cpi_monthly_live
middle,2024-05-01,warm,200,100,4,26.44,300,1.7209,0,2.19741257308808,14,413,cpi_monthly_live
middle,2024-05-01,warm,500,250,4,66.04,750,1.5633,0,2.274182768762839,14,413,cpi_monthly_live
middle,2024-05-01,cold,200,100,4,26.27,300,0.4331,1,,14,413,cpi_monthly_live
middle,2024-05-01,cold,200,100,13,26.14,300,0.5342,1,,14,413,cpi_monthly_live
middle,2024-05-01,cold,200,100,19,26.27,300,0.7488,1,,14,413,cpi_monthly_live
middle,2024-05-01,cold,200,100,22,27.03,300,0.6306,1,,14,413,cpi_monthly_live
middle,2024-05-01,cold,200,100,27,27.76,300,1.149,0,2.077963074045326,14,413,cpi_monthly_live
middle,2024-06-01,warm,50,25,4,6.9,75,1.7196,0,1.935648013686135,14,414,cpi_monthly_live
middle,2024-06-01,warm,100,50,4,13.75,150,1.7403,0,1.6214885320834247,14,414,cpi_monthly_live
middle,2024-06-01,warm,200,100,4,28.34,300,1.6149,0,2.1809030761807295,14,414,cpi_monthly_live
middle,2024-06-01,warm,500,250,4,69.09,750,1.4997,0,2.2460944497147612,14,414,cpi_monthly_live
middle,2024-06-01,cold,200,100,4,26.63,300,0.5922,1,,14,414,cpi_monthly_live
middle,2024-06-01,cold,200,100,13,26.37,300,0.0275,1,,14,414,cpi_monthly_live
middle,2024-06-01,cold,200,100,19,26.32,300,1.4096,0,1.8638896538404564,14,414,cpi_monthly_live
middle,2024-06-01,cold,200,100,22,26.16,300,0.7245,1,,14,414,cpi_monthly_live
middle,2024-06-01,cold,200,100,27,25.77,300,0.7646,1,,14,414,cpi_monthly_live
middle,2024-06-01,anchor_cold_close,2000,1000,4,261.13,3000,0.4362,1,,14,414,cpi_monthly_live
middle,2024-06-01,anchor_cold_close,2000,1000,13,261.13,3000,0.6111,1,,14,414,cpi_monthly_live
middle,2024-06-01,anchor_cold_close,2000,1000,22,310.46,3000,0.403,1,,14,414,cpi_monthly_live
middle,2024-06-01,anchor_cold_close,2000,1000,19,441.6,3000,1.1496,0,2.2073266192329166,14,414,cpi_monthly_live
