start,asof,seed,cols,gdp_obs,covid_share,seconds,gdp_global,monthly_global_mean,ratio,collapsed,nowcast_qq,actual_qq
1960,2026-01-01,4,793,262,0.2307,44.4,1.5409,0.2753,5.598,0,0.7646619837831807,0.87
1960,2026-01-01,13,793,262,0.2307,47.3,1.4149,0.2651,5.338,0,0.7535384237160734,0.87
1960,2026-01-01,19,793,262,0.2307,47.1,1.2113,0.2535,4.779,0,0.5418816813632936,0.87
1960,2026-01-01,22,793,262,0.2307,47.2,1.24,0.2635,4.705,0,0.79063323199471,0.87
1960,2026-01-01,27,793,262,0.2307,47.8,1.3022,0.1785,7.296,0,0.8091556565262072,0.87
1960,2026-01-01,16,793,262,0.2307,47.6,1.3521,0.2049,6.598,0,0.8180779108001932,0.87
1960,2026-02-01,4,794,262,0.2307,48.1,1.5038,0.2505,6.003,0,0.8618370850980522,0.87
1960,2026-02-01,13,794,262,0.2307,47.8,1.3055,0.2359,5.534,0,0.7713622602522352,0.87
1960,2026-02-01,19,794,262,0.2307,48.2,1.1411,0.1955,5.837,0,0.7019767617626873,0.87
1960,2026-02-01,22,794,262,0.2307,49.7,1.0377,0.2017,5.144,0,0.5922680423646629,0.87
1960,2026-02-01,27,794,262,0.2307,48.5,1.4686,0.25,5.875,0,0.8231272294066572,0.87
1960,2026-02-01,16,794,262,0.2307,48.8,1.3405,0.2356,5.691,0,0.7062088188108154,0.87
1960,2026-03-01,4,795,262,0.2307,48.9,1.2327,0.2511,4.909,0,0.5551110780513725,0.87
1960,2026-03-01,13,795,262,0.2307,49.3,1.2141,0.2403,5.052,0,0.6927970592594273,0.87
1960,2026-03-01,19,795,262,0.2307,50.3,1.6217,0.2751,5.895,0,0.7105496381365958,0.87
1960,2026-03-01,22,795,262,0.2307,49.4,1.1835,0.2282,5.187,0,0.4877994426618678,0.87
1960,2026-03-01,27,795,262,0.2307,48.8,1.694,0.3411,4.966,0,0.818709535907793,0.87
1960,2026-03-01,16,795,262,0.2307,49.6,0.9745,0.1824,5.343,1,,0.87
1960,2026-04-01,4,796,263,0.2307,49.9,1.425,0.1784,7.99,0,0.5404665466544482,0.27
1960,2026-04-01,13,796,263,0.2307,49.7,1.067,0.2274,4.692,0,0.5268867529606692,0.27
1960,2026-04-01,19,796,263,0.2307,49.7,1.3374,0.3212,4.164,0,0.5253519289601137,0.27
1960,2026-04-01,22,796,263,0.2307,50.8,1.2754,0.234,5.449,0,0.6933712028094988,0.27
1960,2026-04-01,27,796,263,0.2307,50.4,1.2469,0.253,4.929,0,0.6423056961086516,0.27
1960,2026-04-01,16,796,263,0.2307,53.2,1.1441,0.1921,5.954,0,0.5522657625186733,0.27
1960,2026-05-01,4,797,263,0.2307,53.9,1.2421,0.2053,6.049,0,0.5621346197224348,0.27
1960,2026-05-01,13,797,263,0.2307,54.4,1.1624,0.2048,5.676,0,0.6062209650207635,0.27
1960,2026-05-01,19,797,263,0.2307,54.8,1.296,0.2077,6.241,0,0.6196302671073369,0.27
1960,2026-05-01,22,797,263,0.2307,54.9,1.431,0.2513,5.694,0,0.505887900164538,0.27
1960,2026-05-01,27,797,263,0.2307,54.8,1.8788,0.2682,7.005,0,0.6089323931303983,0.27
1960,2026-05-01,16,797,263,0.2307,54.5,1.3679,0.2126,6.435,0,0.47025212259536014,0.27
1970,2026-01-01,4,673,222,0.3244,47.8,1.6708,0.1983,8.426,0,0.7560173851891157,0.87
1970,2026-01-01,13,673,222,0.3244,48.5,1.4952,0.264,5.664,0,0.5496103429309812,0.87
1970,2026-01-01,19,673,222,0.3244,47.4,1.463,0.2013,7.266,0,0.6537901602522387,0.87
1970,2026-01-01,22,673,222,0.3244,48.5,1.1056,0.2242,4.932,0,0.4650890576074585,0.87
1970,2026-01-01,27,673,222,0.3244,47.6,1.1534,0.2199,5.246,0,0.6112858907811991,0.87
1970,2026-01-01,16,673,222,0.3244,43.2,1.3138,0.2067,6.355,0,0.6563011799739391,0.87
1970,2026-02-01,4,674,222,0.3244,42.7,1.6967,0.297,5.714,0,0.7040288304099367,0.87
1970,2026-02-01,13,674,222,0.3244,42.5,1.1614,0.2553,4.548,0,0.5732999515397104,0.87
1970,2026-02-01,19,674,222,0.3244,42.9,1.7056,0.2683,6.357,0,0.6006640833395087,0.87
1970,2026-02-01,22,674,222,0.3244,42.7,1.4521,0.2393,6.068,0,0.7580918823106314,0.87
1970,2026-02-01,27,674,222,0.3244,42.4,1.3373,0.2608,5.127,0,0.6715843133357853,0.87
1970,2026-02-01,16,674,222,0.3244,42.3,1.4154,0.2576,5.495,0,0.6351202476225155,0.87
1970,2026-03-01,4,675,222,0.3244,42.3,1.6358,0.2828,5.784,0,0.577182885997774,0.87
1970,2026-03-01,13,675,222,0.3244,42.7,1.5847,0.2627,6.032,0,0.5110449385550374,0.87
1970,2026-03-01,19,675,222,0.3244,42.1,1.6685,0.3575,4.667,0,0.6175376387056917,0.87
1970,2026-03-01,22,675,222,0.3244,42.0,1.4131,0.2863,4.936,0,0.558026076284397,0.87
1970,2026-03-01,27,675,222,0.3244,41.9,1.3961,0.2677,5.216,0,0.695008523692376,0.87
1970,2026-03-01,16,675,222,0.3244,42.1,1.1004,0.2608,4.22,0,0.7064969772705225,0.87
1970,2026-04-01,4,676,223,0.3244,42.5,1.4763,0.2751,5.367,0,0.5033429816828863,0.27
1970,2026-04-01,13,676,223,0.3244,42.6,1.5553,0.2393,6.5,0,0.3974547560760388,0.27
1970,2026-04-01,19,676,223,0.3244,42.5,1.3424,0.1894,7.087,0,0.5658028296399747,0.27
1970,2026-04-01,22,676,223,0.3244,41.9,1.0839,0.2378,4.557,0,0.6357533154062021,0.27
1970,2026-04-01,27,676,223,0.3244,42.7,1.9974,0.2622,7.618,0,0.4594279918869484,0.27
1970,2026-04-01,16,676,223,0.3244,42.6,1.3655,0.1823,7.49,0,0.5381877189133168,0.27
1970,2026-05-01,4,677,223,0.3244,43.2,1.2798,0.2558,5.004,0,0.47389860367354447,0.27
1970,2026-05-01,13,677,223,0.3244,42.9,1.2027,0.2088,5.759,0,0.5247845573731078,0.27
1970,2026-05-01,19,677,223,0.3244,42.7,1.9547,0.3351,5.833,0,0.6284978733927193,0.27
1970,2026-05-01,22,677,223,0.3244,42.4,1.6756,0.2095,7.998,0,0.4952962837464104,0.27
1970,2026-05-01,27,677,223,0.3244,41.7,1.5638,0.239,6.542,0,0.6571978260105824,0.27
1970,2026-05-01,16,677,223,0.3244,42.6,1.8167,0.2655,6.843,0,0.49024753081256794,0.27
1980,2026-01-01,4,553,182,0.4822,35.0,1.4703,0.2187,6.722,0,0.6816790476094502,0.87
1980,2026-01-01,13,553,182,0.4822,35.1,1.4403,0.2621,5.494,0,0.6890249888478904,0.87
1980,2026-01-01,19,553,182,0.4822,34.7,1.5486,0.302,5.127,0,0.687786376909361,0.87
1980,2026-01-01,22,553,182,0.4822,34.8,1.6507,0.3418,4.83,0,0.7624721669307236,0.87
1980,2026-01-01,27,553,182,0.4822,34.8,1.3985,0.2399,5.829,0,0.7044207871561724,0.87
1980,2026-01-01,16,553,182,0.4822,35.4,1.5854,0.262,6.052,0,0.6461000299143207,0.87
1980,2026-02-01,4,554,182,0.4822,35.6,1.5015,0.2581,5.816,0,0.5975419394282733,0.87
1980,2026-02-01,13,554,182,0.4822,35.4,1.3079,0.3265,4.006,0,0.6056947616464765,0.87
1980,2026-02-01,19,554,182,0.4822,35.8,1.8074,0.3442,5.252,0,0.7220244631638212,0.87
1980,2026-02-01,22,554,182,0.4822,35.9,1.5496,0.2721,5.695,0,0.6887731789963966,0.87
1980,2026-02-01,27,554,182,0.4822,35.4,1.411,0.2975,4.743,0,0.5949133961273985,0.87
1980,2026-02-01,16,554,182,0.4822,34.6,1.5853,0.2759,5.746,0,0.7534618979379554,0.87
1980,2026-03-01,4,555,182,0.4822,34.5,1.5494,0.2427,6.384,0,0.6063558633029238,0.87
1980,2026-03-01,13,555,182,0.4822,34.3,1.7876,0.3211,5.567,0,0.6155443195693793,0.87
1980,2026-03-01,19,555,182,0.4822,34.4,1.5704,0.26,6.041,0,0.6794074260195664,0.87
1980,2026-03-01,22,555,182,0.4822,34.2,1.7914,0.2442,7.335,0,0.6670383555377717,0.87
1980,2026-03-01,27,555,182,0.4822,34.2,1.5463,0.2764,5.595,0,0.628376156274293,0.87
1980,2026-03-01,16,555,182,0.4822,34.2,1.4309,0.2653,5.394,0,0.5963131628290215,0.87
1980,2026-04-01,4,556,183,0.4821,34.2,1.5031,0.2968,5.065,0,0.5644832546777223,0.27
1980,2026-04-01,13,556,183,0.4821,34.2,1.5119,0.2615,5.783,0,0.7002375572479613,0.27
1980,2026-04-01,19,556,183,0.4821,34.1,1.7213,0.2321,7.415,0,0.6358482661820875,0.27
1980,2026-04-01,22,556,183,0.4821,34.2,1.8494,0.3774,4.9,0,0.7167405380894437,0.27
