asof,target,target_date,horizon_months,seed,nowcast_qq,forecast_next_qq,actual_qq,error_qq,gdp_global_loading,collapsed,cols,gdp_obs,deflator_skipped,seconds
2023-01-01,2022Q4,2022-12-01,1,4,0.9403,,0.8252,0.1152,1.4586,0,517,170,cpi_monthly_live,28.7
2023-01-01,2022Q4,2022-12-01,1,13,0.7571,,0.8252,-0.068,1.726,0,517,170,cpi_monthly_live,30.5
2023-01-01,2022Q4,2022-12-01,1,19,0.8005,,0.8252,-0.0246,1.4141,0,517,170,cpi_monthly_live,30.6
2023-02-01,2022Q4,2022-12-01,2,4,0.5869,,0.8252,-0.2383,1.6238,0,518,170,cpi_monthly_live,31.0
2023-02-01,2022Q4,2022-12-01,2,13,0.5606,,0.8252,-0.2645,1.2663,0,518,170,cpi_monthly_live,30.7
2023-02-01,2022Q4,2022-12-01,2,19,0.5528,,0.8252,-0.2723,1.4469,0,518,170,cpi_monthly_live,30.8
2023-04-01,2023Q1,2023-03-01,1,4,0.7376,,0.4779,0.2597,1.4688,0,520,171,cpi_monthly_live,33.9
2023-04-01,2023Q1,2023-03-01,1,13,0.7281,,0.4779,0.2501,1.2422,0,520,171,cpi_monthly_live,32.2
2023-04-01,2023Q1,2023-03-01,1,19,0.6827,,0.4779,0.2048,1.5448,0,520,171,cpi_monthly_live,31.4
2023-05-01,2023Q1,2023-03-01,2,4,0.7144,,0.4779,0.2365,1.3039,0,521,171,cpi_monthly_live,32.1
2023-05-01,2023Q1,2023-03-01,2,13,0.6911,,0.4779,0.2132,1.3094,0,521,171,cpi_monthly_live,31.3
2023-05-01,2023Q1,2023-03-01,2,19,0.6081,,0.4779,0.1302,1.7553,0,521,171,cpi_monthly_live,31.9
2023-06-01,2023Q1,2023-03-01,3,4,0.5914,0.4806,0.4779,0.1134,1.5703,0,522,171,cpi_monthly_live,32.6
2023-06-01,2023Q1,2023-03-01,3,13,0.6762,0.598,0.4779,0.1983,1.4442,0,522,171,cpi_monthly_live,32.4
2023-06-01,2023Q1,2023-03-01,3,19,0.6914,0.6406,0.4779,0.2135,1.4894,0,522,171,cpi_monthly_live,32.4
2023-07-01,2023Q2,2023-06-01,1,4,0.4978,,0.4551,0.0426,1.5093,0,523,172,cpi_monthly_live,32.6
2023-07-01,2023Q2,2023-06-01,1,13,0.5461,,0.4551,0.091,1.3815,0,523,172,cpi_monthly_live,32.4
2023-07-01,2023Q2,2023-06-01,1,19,0.6211,,0.4551,0.166,1.222,0,523,172,cpi_monthly_live,32.2
2023-08-01,2023Q2,2023-06-01,2,4,0.5561,,0.4551,0.101,1.4174,0,524,172,cpi_monthly_live,32.6
2023-08-01,2023Q2,2023-06-01,2,13,0.4637,,0.4551,0.0085,1.4151,0,524,172,cpi_monthly_live,32.6
2023-08-01,2023Q2,2023-06-01,2,19,0.5314,,0.4551,0.0763,1.2134,0,524,172,cpi_monthly_live,31.9
2023-09-01,2023Q2,2023-06-01,3,4,0.5348,0.4305,0.4551,0.0796,1.4161,0,525,172,cpi_monthly_live,32.5
2023-09-01,2023Q2,2023-06-01,3,13,0.6131,0.6444,0.4551,0.158,1.2497,0,525,172,cpi_monthly_live,32.7
2023-09-01,2023Q2,2023-06-01,3,19,0.6085,0.6069,0.4551,0.1534,1.456,0,525,172,cpi_monthly_live,32.5
2023-10-01,2023Q3,2023-09-01,1,4,0.5513,,0.4032,0.1481,1.5245,0,526,173,cpi_monthly_live,32.0
2023-10-01,2023Q3,2023-09-01,1,13,0.5796,,0.4032,0.1763,1.5452,0,526,173,cpi_monthly_live,32.6
2023-10-01,2023Q3,2023-09-01,1,19,0.5293,,0.4032,0.1261,1.3879,0,526,173,cpi_monthly_live,32.7
2023-11-01,2023Q3,2023-09-01,2,4,0.4624,,0.4032,0.0592,1.5441,0,527,173,cpi_monthly_live,32.7
2023-11-01,2023Q3,2023-09-01,2,13,0.5147,,0.4032,0.1115,1.2423,0,527,173,cpi_monthly_live,32.5
2023-11-01,2023Q3,2023-09-01,2,19,0.5149,,0.4032,0.1117,1.6278,0,527,173,cpi_monthly_live,32.3
2023-12-01,2023Q3,2023-09-01,3,4,0.5706,0.6393,0.4032,0.1674,1.5824,0,528,173,cpi_monthly_live,32.5
2023-12-01,2023Q3,2023-09-01,3,13,0.5581,0.5815,0.4032,0.1549,1.3652,0,528,173,cpi_monthly_live,32.8
2023-12-01,2023Q3,2023-09-01,3,19,0.6041,0.7883,0.4032,0.2009,1.4128,0,528,173,cpi_monthly_live,33.1
2024-01-01,2023Q4,2023-12-01,1,4,0.458,,-0.0078,0.4658,1.2751,0,529,174,cpi_monthly_live,34.0
2024-01-01,2023Q4,2023-12-01,1,13,0.2698,,-0.0078,0.2775,1.5963,0,529,174,cpi_monthly_live,34.8
