quarter,first_release_qoq,latest_qoq_jun2026,revision
2019Q2,0.4814,0.2567,-0.2247
2019Q3,0.4390,0.5765,+0.1375
2019Q4,0.5265,0.5882,+0.0617
2020Q1,-0.3059,-0.1569,+0.1489
2020Q2,-6.9971,-6.7896,+0.2075
2020Q3,3.3281,3.4382,+0.1101
2020Q4,3.1277,3.4275,+0.2999
2021Q1,1.7868,2.2494,+0.4625
2021Q2,0.6668,0.7496,+0.0827
2021Q3,-1.9221,-1.7581,+0.1639
2021Q4,3.4268,3.6773,+0.2505
2022Q1,0.7544,1.0029,+0.2485
2022Q2,0.8929,0.9043,+0.0114
2022Q3,0.6470,0.4555,-0.1915
2022Q4,0.4799,0.8542,+0.3743
2023Q1,0.2332,0.5706,+0.3374
2023Q2,0.3557,0.3478,-0.0079
2023Q3,0.2120,0.3706,+0.1586
2023Q4,0.2395,0.0325,-0.2071
2024Q1,0.1275,0.3446,+0.2171
2024Q2,0.2246,0.1689,-0.0558
2024Q3,0.3337,0.2727,-0.0609
2024Q4,0.5833,0.4406,-0.1428
2025Q1,0.2111,0.3923,+0.1811
2025Q2,0.6010,0.7804,+0.1794
2025Q3,0.3913,0.5036,+0.1123
2025Q4,0.7925,0.9124,+0.1199
2026Q1,0.2743,0.2862,+0.0119
2026Q2,0.4195,0.4195,+0.0000
