month,emp_mm_pct_first,emp_mm_pct_latest_jul2026,emp_revision,ur_first,ur_latest_jul2026,ur_revision
2023-01,-0.0837,0.1651,+0.2488,3.67,3.66,-0.01
2023-02,0.4691,0.2800,-0.1891,3.54,3.61,+0.07
2023-03,0.3832,0.6506,+0.2674,3.52,3.60,+0.07
2023-04,-0.0309,0.0062,+0.0371,3.66,3.70,+0.04
2023-05,0.5449,0.6290,+0.0841,3.55,3.59,+0.04
2023-06,0.2328,0.0673,-0.1655,3.47,3.52,+0.05
2023-07,-0.1043,0.0108,+0.1151,3.71,3.71,-0.00
2023-08,0.4618,0.5222,+0.0604,3.69,3.68,-0.01
2023-09,0.0472,-0.0436,-0.0908,3.56,3.56,-0.00
2023-10,0.3894,0.3958,+0.0064,3.72,3.78,+0.06
2023-11,0.4330,0.3421,-0.0909,3.86,3.93,+0.08
2023-12,-0.4564,-0.3762,+0.0803,3.88,3.99,+0.11
2024-01,0.0034,-0.0116,-0.0150,4.06,4.09,+0.03
2024-02,0.8229,0.7540,-0.0689,3.70,3.74,+0.04
2024-03,-0.0462,-0.1516,-0.1054,3.84,3.90,+0.06
2024-04,0.2698,0.2686,-0.0012,4.05,4.08,+0.03
2024-05,0.2770,0.1980,-0.0790,4.00,4.01,+0.00
2024-06,0.3495,0.1588,-0.1907,4.05,4.03,-0.02
2024-07,0.4041,0.4092,+0.0051,4.22,4.19,-0.03
2024-08,0.3293,0.2269,-0.1025,4.16,4.13,-0.03
2024-09,0.4432,0.2537,-0.1895,4.07,4.01,-0.05
2024-10,0.1096,-0.0158,-0.1254,4.13,4.09,-0.04
2024-11,0.2456,0.1287,-0.1169,3.93,3.94,+0.00
2024-12,0.3877,0.3262,-0.0615,3.98,4.00,+0.02
2025-01,0.3015,0.2261,-0.0754,4.11,4.13,+0.02
2025-02,-0.3623,-0.5173,-0.1551,4.05,4.07,+0.02
2025-03,0.2221,0.2119,-0.0102,4.05,4.08,+0.03
2025-04,0.6112,0.7391,+0.1280,4.07,4.05,-0.01
2025-05,-0.0168,-0.0772,-0.0604,4.06,4.10,+0.04
2025-06,0.0136,-0.1729,-0.1865,4.32,4.32,+0.00
2025-07,0.1679,0.3156,+0.1477,4.24,4.24,-0.01
2025-08,-0.0368,-0.0996,-0.0629,4.24,4.24,+0.01
2025-09,0.1021,0.0636,-0.0385,4.46,4.44,-0.03
2025-10,0.2880,0.2274,-0.0606,4.34,4.33,-0.00
2025-11,-0.1454,-0.2677,-0.1222,4.32,4.32,-0.00
2025-12,0.4458,0.3925,-0.0533,4.10,4.12,+0.01
2026-01,0.1214,0.2461,+0.1246,4.08,4.08,+0.01
2026-02,0.3329,0.1506,-0.1823,4.28,4.31,+0.03
2026-03,0.1212,0.1356,+0.0144,4.26,4.28,+0.03
2026-04,-0.1263,-0.2370,-0.1108,4.49,4.49,+0.00
2026-05,0.2745,0.2594,-0.0150,4.36,4.38,+0.02
2026-06,0.5177,0.5443,+0.0266,4.43,4.43,+0.00
