asof,target,target_date,horizon_months,seed,target_series,nowcast_qq,forecast_next_qq,actual_qq,first_print_qq,error_qq,error_first_print_qq,gdp_global_loading,collapsed,collapse_floor,cols,gdp_obs,deflator_skipped,seconds
2023-01-01,2022Q4,2022-12-01,1,4,first_print,0.667,,0.8252,0.4799,-0.1581,0.1871,0.7524,0,-1.0,517,170,cpi_monthly_live,33.8
2023-01-01,2022Q4,2022-12-01,1,13,first_print,0.7076,,0.8252,0.4799,-0.1175,0.2277,0.7727,0,-1.0,517,170,cpi_monthly_live,30.0
2023-01-01,2022Q4,2022-12-01,1,19,first_print,0.8574,,0.8252,0.4799,0.0322,0.3775,0.8428,0,-1.0,517,170,cpi_monthly_live,30.4
2023-02-01,2022Q4,2022-12-01,2,4,first_print,0.5463,,0.8252,0.4799,-0.2788,0.0664,0.7888,0,-1.0,518,170,cpi_monthly_live,30.6
2023-02-01,2022Q4,2022-12-01,2,13,first_print,0.7056,,0.8252,0.4799,-0.1195,0.2257,0.8011,0,-1.0,518,170,cpi_monthly_live,30.5
2023-02-01,2022Q4,2022-12-01,2,19,first_print,0.6113,,0.8252,0.4799,-0.2138,0.1314,0.8619,0,-1.0,518,170,cpi_monthly_live,30.5
2023-04-01,2023Q1,2023-03-01,1,4,first_print,0.6058,,0.4779,0.2332,0.1279,0.3726,1.0815,0,-1.0,520,171,cpi_monthly_live,30.7
2023-04-01,2023Q1,2023-03-01,1,13,first_print,0.5873,,0.4779,0.2332,0.1094,0.3541,0.9939,0,-1.0,520,171,cpi_monthly_live,30.7
2023-04-01,2023Q1,2023-03-01,1,19,first_print,0.5985,,0.4779,0.2332,0.1206,0.3653,0.9423,0,-1.0,520,171,cpi_monthly_live,30.8
2023-05-01,2023Q1,2023-03-01,2,4,first_print,0.4894,,0.4779,0.2332,0.0115,0.2562,0.9315,0,-1.0,521,171,cpi_monthly_live,31.5
2023-05-01,2023Q1,2023-03-01,2,13,first_print,0.4817,,0.4779,0.2332,0.0038,0.2485,0.8127,0,-1.0,521,171,cpi_monthly_live,31.5
2023-05-01,2023Q1,2023-03-01,2,19,first_print,0.546,,0.4779,0.2332,0.0681,0.3128,1.0404,0,-1.0,521,171,cpi_monthly_live,31.5
2023-06-01,2023Q1,2023-03-01,3,4,first_print,0.4624,0.4655,0.4779,0.2332,-0.0155,0.2292,0.9515,0,-1.0,522,171,cpi_monthly_live,32.0
2023-06-01,2023Q1,2023-03-01,3,13,first_print,0.539,0.463,0.4779,0.2332,0.0611,0.3058,0.9361,0,-1.0,522,171,cpi_monthly_live,31.9
2023-06-01,2023Q1,2023-03-01,3,19,first_print,0.3358,0.3366,0.4779,0.2332,-0.1421,0.1026,0.6848,0,-1.0,522,171,cpi_monthly_live,31.6
2023-07-01,2023Q2,2023-06-01,1,4,first_print,0.4046,,0.4551,0.3557,-0.0505,0.0489,0.904,0,-1.0,523,172,cpi_monthly_live,31.9
2023-07-01,2023Q2,2023-06-01,1,13,first_print,0.4809,,0.4551,0.3557,0.0258,0.1252,1.1145,0,-1.0,523,172,cpi_monthly_live,32.0
2023-07-01,2023Q2,2023-06-01,1,19,first_print,0.3218,,0.4551,0.3557,-0.1333,-0.0339,1.1743,0,-1.0,523,172,cpi_monthly_live,31.6
2023-08-01,2023Q2,2023-06-01,2,4,first_print,0.377,,0.4551,0.3557,-0.0781,0.0213,0.8289,0,-1.0,524,172,cpi_monthly_live,32.1
2023-08-01,2023Q2,2023-06-01,2,13,first_print,0.3126,,0.4551,0.3557,-0.1425,-0.0431,0.8563,0,-1.0,524,172,cpi_monthly_live,32.0
2023-08-01,2023Q2,2023-06-01,2,19,first_print,0.5199,,0.4551,0.3557,0.0648,0.1642,0.8486,0,-1.0,524,172,cpi_monthly_live,32.2
2023-09-01,2023Q2,2023-06-01,3,4,first_print,0.5222,0.5385,0.4551,0.3557,0.0671,0.1665,0.7318,0,-1.0,525,172,cpi_monthly_live,31.8
2023-09-01,2023Q2,2023-06-01,3,13,first_print,0.474,0.5249,0.4551,0.3557,0.0188,0.1183,0.7709,0,-1.0,525,172,cpi_monthly_live,32.1
2023-09-01,2023Q2,2023-06-01,3,19,first_print,0.4421,0.4411,0.4551,0.3557,-0.013,0.0864,0.9695,0,-1.0,525,172,cpi_monthly_live,32.3
2023-10-01,2023Q3,2023-09-01,1,4,first_print,0.3567,,0.4032,0.212,-0.0465,0.1447,0.7931,0,-1.0,526,173,cpi_monthly_live,31.8
2023-10-01,2023Q3,2023-09-01,1,13,first_print,0.3382,,0.4032,0.212,-0.065,0.1262,0.8232,0,-1.0,526,173,cpi_monthly_live,32.2
2023-10-01,2023Q3,2023-09-01,1,19,first_print,0.4845,,0.4032,0.212,0.0812,0.2725,0.9425,0,-1.0,526,173,cpi_monthly_live,32.5
2023-11-01,2023Q3,2023-09-01,2,4,first_print,0.485,,0.4032,0.212,0.0818,0.273,0.8266,0,-1.0,527,173,cpi_monthly_live,32.4
2023-11-01,2023Q3,2023-09-01,2,13,first_print,0.4289,,0.4032,0.212,0.0257,0.2169,0.7089,0,-1.0,527,173,cpi_monthly_live,32.5
2023-11-01,2023Q3,2023-09-01,2,19,first_print,0.5064,,0.4032,0.212,0.1032,0.2944,0.8269,0,-1.0,527,173,cpi_monthly_live,32.2
2023-12-01,2023Q3,2023-09-01,3,4,first_print,0.4299,0.4853,0.4032,0.212,0.0267,0.2179,0.9232,0,-1.0,528,173,cpi_monthly_live,32.3
2023-12-01,2023Q3,2023-09-01,3,13,first_print,0.4709,0.5492,0.4032,0.212,0.0676,0.2589,0.8739,0,-1.0,528,173,cpi_monthly_live,32.5
2023-12-01,2023Q3,2023-09-01,3,19,first_print,0.4623,0.4912,0.4032,0.212,0.0591,0.2503,0.8826,0,-1.0,528,173,cpi_monthly_live,32.5
2024-01-01,2023Q4,2023-12-01,1,4,first_print,0.3479,,-0.0078,0.2395,0.3557,0.1084,0.8878,0,-1.0,529,174,cpi_monthly_live,32.6
2024-01-01,2023Q4,2023-12-01,1,13,first_print,0.3836,,-0.0078,0.2395,0.3914,0.1441,0.8458,0,-1.0,529,174,cpi_monthly_live,32.6
2024-01-01,2023Q4,2023-12-01,1,19,first_print,0.371,,-0.0078,0.2395,0.3788,0.1315,0.8136,0,-1.0,529,174,cpi_monthly_live,32.5
2024-02-01,2023Q4,2023-12-01,2,4,first_print,0.3839,,-0.0078,0.2395,0.3917,0.1444,1.02,0,-1.0,530,174,cpi_monthly_live,32.7
2024-02-01,2023Q4,2023-12-01,2,13,first_print,0.2665,,-0.0078,0.2395,0.2743,0.027,0.9267,0,-1.0,530,174,cpi_monthly_live,32.0
2024-02-01,2023Q4,2023-12-01,2,19,first_print,0.3664,,-0.0078,0.2395,0.3741,0.1269,0.8829,0,-1.0,530,174,cpi_monthly_live,31.8
2024-03-01,2023Q4,2023-12-01,3,4,first_print,0.3497,0.4292,-0.0078,0.2395,0.3575,0.1102,0.8096,0,-1.0,531,174,cpi_monthly_live,31.7
2024-03-01,2023Q4,2023-12-01,3,13,first_print,0.4001,0.3831,-0.0078,0.2395,0.4079,0.1606,0.8922,0,-1.0,531,174,cpi_monthly_live,31.7
2024-03-01,2023Q4,2023-12-01,3,19,first_print,0.419,0.491,-0.0078,0.2395,0.4268,0.1795,1.3418,0,-1.0,531,174,cpi_monthly_live,31.6
2024-04-01,2024Q1,2024-03-01,1,4,first_print,0.561,,0.2443,0.1275,0.3166,0.4335,0.98,0,-1.0,532,175,cpi_monthly_live,31.8
2024-04-01,2024Q1,2024-03-01,1,13,first_print,0.4679,,0.2443,0.1275,0.2236,0.3404,0.9124,0,-1.0,532,175,cpi_monthly_live,31.8
2024-04-01,2024Q1,2024-03-01,1,19,first_print,0.6199,,0.2443,0.1275,0.3756,0.4924,1.0442,0,-1.0,532,175,cpi_monthly_live,31.8
2024-05-01,2024Q1,2024-03-01,2,4,first_print,0.4752,,0.2443,0.1275,0.2308,0.3477,1.0291,0,-1.0,533,175,cpi_monthly_live,31.8
2024-05-01,2024Q1,2024-03-01,2,13,first_print,0.4199,,0.2443,0.1275,0.1755,0.2924,0.9632,0,-1.0,533,175,cpi_monthly_live,31.7
2024-05-01,2024Q1,2024-03-01,2,19,first_print,0.4468,,0.2443,0.1275,0.2025,0.3193,0.8925,0,-1.0,533,175,cpi_monthly_live,31.7
2024-06-01,2024Q1,2024-03-01,3,4,first_print,0.4207,0.3524,0.2443,0.1275,0.1764,0.2932,0.7534,0,-1.0,534,175,cpi_monthly_live,31.6
2024-06-01,2024Q1,2024-03-01,3,13,first_print,0.4328,0.4967,0.2443,0.1275,0.1885,0.3053,0.8814,0,-1.0,534,175,cpi_monthly_live,31.8
2024-06-01,2024Q1,2024-03-01,3,19,first_print,0.3911,0.4574,0.2443,0.1275,0.1468,0.2636,0.8386,0,-1.0,534,175,cpi_monthly_live,31.9
2024-07-01,2024Q2,2024-06-01,1,4,first_print,0.3912,,0.2518,0.2246,0.1394,0.1666,0.9162,0,-1.0,535,176,cpi_monthly_live,32.0
2024-07-01,2024Q2,2024-06-01,1,13,first_print,0.3523,,0.2518,0.2246,0.1005,0.1277,0.7402,0,-1.0,535,176,cpi_monthly_live,31.9
2024-07-01,2024Q2,2024-06-01,1,19,first_print,0.3069,,0.2518,0.2246,0.0551,0.0823,1.0708,0,-1.0,535,176,cpi_monthly_live,31.8
2024-08-01,2024Q2,2024-06-01,2,4,first_print,0.3137,,0.2518,0.2246,0.0619,0.0891,0.9157,0,-1.0,536,176,cpi_monthly_live,32.0
2024-08-01,2024Q2,2024-06-01,2,13,first_print,0.3072,,0.2518,0.2246,0.0554,0.0826,1.0555,0,-1.0,536,176,cpi_monthly_live,32.1
2024-08-01,2024Q2,2024-06-01,2,19,first_print,0.3407,,0.2518,0.2246,0.0889,0.1161,0.8611,0,-1.0,536,176,cpi_monthly_live,31.9
2024-09-01,2024Q2,2024-06-01,3,4,first_print,0.4019,0.3694,0.2518,0.2246,0.1502,0.1773,0.8612,0,-1.0,537,176,cpi_monthly_live,31.9
2024-09-01,2024Q2,2024-06-01,3,13,first_print,0.2554,0.296,0.2518,0.2246,0.0036,0.0308,1.014,0,-1.0,537,176,cpi_monthly_live,32.0
2024-09-01,2024Q2,2024-06-01,3,19,first_print,0.462,0.5549,0.2518,0.2246,0.2102,0.2374,0.9521,0,-1.0,537,176,cpi_monthly_live,32.1
2024-10-01,2024Q3,2024-09-01,1,4,first_print,0.2954,,0.3056,0.3337,-0.0102,-0.0383,0.8112,0,-1.0,538,177,cpi_monthly_live,32.0
2024-10-01,2024Q3,2024-09-01,1,13,first_print,0.3303,,0.3056,0.3337,0.0247,-0.0034,0.7453,0,-1.0,538,177,cpi_monthly_live,32.1
2024-10-01,2024Q3,2024-09-01,1,19,first_print,0.2737,,0.3056,0.3337,-0.0319,-0.06,0.8399,0,-1.0,538,177,cpi_monthly_live,32.1
2024-11-01,2024Q3,2024-09-01,2,4,first_print,0.3967,,0.3056,0.3337,0.091,0.063,0.8412,0,-1.0,539,177,,32.0
2024-11-01,2024Q3,2024-09-01,2,13,first_print,0.4276,,0.3056,0.3337,0.122,0.0939,0.8864,0,-1.0,539,177,,32.1
2024-11-01,2024Q3,2024-09-01,2,19,first_print,0.2956,,0.3056,0.3337,-0.01,-0.0381,0.9475,0,-1.0,539,177,,32.1
2024-12-01,2024Q3,2024-09-01,3,4,first_print,0.4072,0.4482,0.3056,0.3337,0.1016,0.0735,0.8902,0,-1.0,540,177,,32.3
2024-12-01,2024Q3,2024-09-01,3,13,first_print,0.3216,0.5274,0.3056,0.3337,0.0159,-0.0121,0.8737,0,-1.0,540,177,,32.4
2024-12-01,2024Q3,2024-09-01,3,19,first_print,0.3939,0.5114,0.3056,0.3337,0.0883,0.0602,0.8491,0,-1.0,540,177,,32.2
2025-01-01,2024Q4,2024-12-01,1,4,first_print,0.6316,,0.4372,0.5833,0.1944,0.0483,0.9552,0,-1.0,541,178,,32.4
2025-01-01,2024Q4,2024-12-01,1,13,first_print,0.5508,,0.4372,0.5833,0.1137,-0.0325,0.8442,0,-1.0,541,178,,32.4
2025-01-01,2024Q4,2024-12-01,1,19,first_print,0.6557,,0.4372,0.5833,0.2185,0.0724,0.823,0,-1.0,541,178,,32.3
2025-02-01,2024Q4,2024-12-01,2,4,first_print,0.583,,0.4372,0.5833,0.1458,-0.0003,1.0176,0,-1.0,542,178,,32.5
2025-02-01,2024Q4,2024-12-01,2,13,first_print,0.5711,,0.4372,0.5833,0.134,-0.0122,0.7746,0,-1.0,542,178,,32.4
2025-02-01,2024Q4,2024-12-01,2,19,first_print,0.6186,,0.4372,0.5833,0.1815,0.0353,0.8651,0,-1.0,542,178,,32.3
2025-03-01,2024Q4,2024-12-01,3,4,first_print,0.6307,0.6289,0.4372,0.5833,0.1935,0.0474,0.9476,0,-1.0,543,178,,32.4
2025-03-01,2024Q4,2024-12-01,3,13,first_print,0.6789,0.7228,0.4372,0.5833,0.2417,0.0956,0.8585,0,-1.0,543,178,,32.7
2025-03-01,2024Q4,2024-12-01,3,19,first_print,0.572,0.5095,0.4372,0.5833,0.1348,-0.0113,0.9301,0,-1.0,543,178,,32.6
2025-04-01,2025Q1,2025-03-01,1,4,first_print,0.5923,,0.2604,0.2111,0.3319,0.3812,0.9114,0,-1.0,544,179,,32.6
2025-04-01,2025Q1,2025-03-01,1,13,first_print,0.5687,,0.2604,0.2111,0.3084,0.3576,0.9426,0,-1.0,544,179,,32.8
