as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected
2022-03-07,2022 Q1,2022-03-01,-0.11669465932184002,0.7544,-0.8710946593218399,FALSE,2,14
2022-03-14,2022 Q1,2022-03-01,-0.021308267355260663,0.7544,-0.7757082673552607,FALSE,2,14
2022-03-21,2022 Q1,2022-03-01,0.8701270306347386,0.7544,0.11572703063473866,TRUE,3,14
2022-03-28,2022 Q1,2022-03-01,0.8701270306347386,0.7544,0.11572703063473866,TRUE,3,14
2022-04-04,2022 Q1,2022-03-01,0.9485628525701366,0.7544,0.19416285257013666,TRUE,3,14
2022-04-11,2022 Q1,2022-03-01,1.0567995162486938,0.7544,0.3023995162486939,TRUE,3,14
2022-04-18,2022 Q1,2022-03-01,0.9822866192748343,0.7544,0.22788661927483433,TRUE,3,14
2022-04-25,2022 Q1,2022-03-01,0.9822866192748343,0.7544,0.22788661927483433,TRUE,3,14
2022-05-02,2022 Q1,2022-03-01,0.9933487767000292,0.7544,0.23894877670002923,TRUE,3,14
2022-05-09,2022 Q1,2022-03-01,0.9983646893902959,0.7544,0.24396468939029592,TRUE,3,14
2022-05-16,2022 Q1,2022-03-01,0.9926101514710326,0.7544,0.23821015147103264,TRUE,3,14
2022-05-23,2022 Q1,2022-03-01,0.9926101514710326,0.7544,0.23821015147103264,TRUE,3,14
2022-05-30,2022 Q2,2022-06-01,0.8013198214767778,0.8929,-0.0915801785232222,TRUE,2,14
2022-06-06,2022 Q2,2022-06-01,0.8677043865617762,0.8929,-0.02519561343822385,TRUE,2,14
2022-06-13,2022 Q2,2022-06-01,0.8697334645743292,0.8929,-0.02316653542567082,TRUE,2,14
2022-06-20,2022 Q2,2022-06-01,1.1728343148571023,0.8929,0.2799343148571023,TRUE,3,14
2022-06-27,2022 Q2,2022-06-01,1.1728343148571023,0.8929,0.2799343148571023,TRUE,3,14
2022-07-04,2022 Q2,2022-06-01,1.175396256729546,0.8929,0.2824962567295459,TRUE,3,14
2022-07-11,2022 Q2,2022-06-01,1.16785607424099,0.8929,0.27495607424099,TRUE,3,14
2022-07-18,2022 Q2,2022-06-01,1.5241577443347514,0.8929,0.6312577443347513,TRUE,3,14
2022-07-25,2022 Q2,2022-06-01,1.5241577443347514,0.8929,0.6312577443347513,TRUE,3,14
2022-08-01,2022 Q2,2022-06-01,1.5393749703215316,0.8929,0.6464749703215316,TRUE,3,14
2022-08-08,2022 Q2,2022-06-01,1.549713550385682,0.8929,0.656813550385682,TRUE,3,14
2022-08-15,2022 Q2,2022-06-01,1.5490674205454442,0.8929,0.6561674205454442,TRUE,3,14
2022-08-22,2022 Q2,2022-06-01,1.5535416210938824,0.8929,0.6606416210938824,TRUE,3,14
2022-08-29,2022 Q3,2022-09-01,0.31850370206448547,0.647,-0.32849629793551455,TRUE,2,19
2022-09-05,2022 Q3,2022-09-01,0.43322989611112417,0.647,-0.21377010388887585,TRUE,2,19
2022-09-12,2022 Q3,2022-09-01,0.503946231234504,0.647,-0.14305376876549603,TRUE,2,19
2022-09-19,2022 Q3,2022-09-01,0.6824124784566657,0.647,0.03541247845666573,TRUE,3,19
2022-09-26,2022 Q3,2022-09-01,0.6824124784566657,0.647,0.03541247845666573,TRUE,3,19
2022-10-03,2022 Q3,2022-09-01,0.841127752921545,0.647,0.19412775292154494,TRUE,3,19
2022-10-10,2022 Q3,2022-09-01,0.8155681207822476,0.647,0.1685681207822476,TRUE,3,19
2022-10-17,2022 Q3,2022-09-01,0.6664872571428762,0.647,0.019487257142876135,TRUE,3,19
2022-10-24,2022 Q3,2022-09-01,0.6664872571428762,0.647,0.019487257142876135,TRUE,3,19
2022-10-31,2022 Q3,2022-09-01,0.6817847406815103,0.647,0.03478474068151027,TRUE,3,19
2022-11-07,2022 Q3,2022-09-01,0.3105081569644519,0.647,-0.33649184303554813,TRUE,3,19
2022-11-14,2022 Q3,2022-09-01,0.3106780721705852,0.647,-0.33632192782941484,TRUE,3,19
2022-11-21,2022 Q3,2022-09-01,0.3175246681327051,0.647,-0.32947533186729494,TRUE,3,19
2022-11-28,2022 Q3,2022-09-01,0.3175246681327051,0.647,-0.32947533186729494,TRUE,3,19
2022-12-05,2022 Q4,2022-12-01,0.4120755109586768,0.4799,-0.06782448904132321,TRUE,2,19
2022-12-12,2022 Q4,2022-12-01,0.2984441056640211,0.4799,-0.18145589433597892,TRUE,2,19
2022-12-19,2022 Q4,2022-12-01,0.5282868961059926,0.4799,0.04838689610599256,TRUE,3,19
2022-12-26,2022 Q4,2022-12-01,0.5282868961059926,0.4799,0.04838689610599256,TRUE,3,19
2023-01-02,2022 Q4,2022-12-01,0.38426639020893055,0.4799,-0.09563360979106944,TRUE,3,19
2023-01-09,2022 Q4,2022-12-01,0.37036451191463376,0.4799,-0.10953548808536623,TRUE,3,19
2023-01-16,2022 Q4,2022-12-01,0.33617320642635834,0.4799,-0.14372679357364165,TRUE,3,19
2023-01-23,2022 Q4,2022-12-01,0.33617320642635834,0.4799,-0.14372679357364165,TRUE,3,19
2023-01-30,2022 Q4,2022-12-01,0.29441287171534436,0.4799,-0.18548712828465563,TRUE,3,19
2023-02-06,2022 Q4,2022-12-01,0.2832147532176016,0.4799,-0.1966852467823984,TRUE,3,19
2023-02-13,2022 Q4,2022-12-01,0.2845732833569296,0.4799,-0.19532671664307039,TRUE,3,19
2023-02-20,2022 Q4,2022-12-01,0.2893568594350146,0.4799,-0.1905431405649854,TRUE,3,19
2023-02-27,2022 Q4,2022-12-01,0.2893568594350146,0.4799,-0.1905431405649854,TRUE,3,19
2023-03-06,2023 Q1,2023-03-01,0.14171728083157398,0.2332,-0.09148271916842601,TRUE,2,19
2023-03-13,2023 Q1,2023-03-01,0.0645396563626821,0.2332,-0.1686603436373179,TRUE,2,19
2023-03-20,2023 Q1,2023-03-01,0.22939123622445115,0.2332,-0.00380876377554884,TRUE,3,19
2023-03-27,2023 Q1,2023-03-01,0.22939123622445115,0.2332,-0.00380876377554884,TRUE,3,19
2023-04-03,2023 Q1,2023-03-01,0.10015213090853768,0.2332,-0.13304786909146232,TRUE,3,19
2023-04-10,2023 Q1,2023-03-01,0.0622418724715429,0.2332,-0.1709581275284571,TRUE,3,19
2023-04-17,2023 Q1,2023-03-01,0.24591629821620323,0.2332,0.012716298216203237,TRUE,3,19
2023-04-24,2023 Q1,2023-03-01,0.24591629821620323,0.2332,0.012716298216203237,TRUE,3,19
2023-05-01,2023 Q1,2023-03-01,0.22112471506453618,0.2332,-0.01207528493546381,TRUE,3,19
2023-05-08,2023 Q1,2023-03-01,0.21501816590327238,0.2332,-0.018181834096727606,TRUE,3,19
2023-05-15,2023 Q1,2023-03-01,0.20918614284153592,0.2332,-0.024013857158464075,TRUE,3,19
2023-05-22,2023 Q1,2023-03-01,0.21102149342405288,0.2332,-0.02217850657594711,TRUE,3,19
2023-05-29,2023 Q1,2023-03-01,0.21102149342405288,0.2332,-0.02217850657594711,TRUE,3,19
2023-06-05,2023 Q2,2023-06-01,0.4081639672479475,0.3557,0.052463967247947496,TRUE,2,19
2023-06-12,2023 Q2,2023-06-01,0.29781400708766087,0.3557,-0.057885992912339146,TRUE,2,19
2023-06-19,2023 Q2,2023-06-01,0.4009411664849031,0.3557,0.04524116648490306,TRUE,3,19
2023-06-26,2023 Q2,2023-06-01,0.4009411664849031,0.3557,0.04524116648490306,TRUE,3,19
2023-07-03,2023 Q2,2023-06-01,0.49709572617631453,0.3557,0.14139572617631452,TRUE,3,19
2023-07-10,2023 Q2,2023-06-01,0.4302644168052318,0.3557,0.07456441680523179,TRUE,3,19
2023-07-17,2023 Q2,2023-06-01,0.48915762993178125,0.3557,0.13345762993178123,TRUE,3,19
2023-07-24,2023 Q2,2023-06-01,0.48915762993178125,0.3557,0.13345762993178123,TRUE,3,19
2023-07-31,2023 Q2,2023-06-01,0.48899639533200817,0.3557,0.13329639533200816,TRUE,3,19
2023-08-07,2023 Q2,2023-06-01,0.45084162869725986,0.3557,0.09514162869725984,TRUE,3,19
2023-08-14,2023 Q2,2023-06-01,0.450724104034275,0.3557,0.09502410403427497,TRUE,3,19
2023-08-21,2023 Q2,2023-06-01,0.4489500165139446,0.3557,0.0932500165139446,TRUE,3,19
2023-08-28,2023 Q2,2023-06-01,0.4489500165139446,0.3557,0.0932500165139446,TRUE,3,19
2023-09-04,2023 Q3,2023-09-01,0.1807981116832622,0.212,-0.031201888316737786,TRUE,2,19
2023-09-11,2023 Q3,2023-09-01,0.1923873598200616,0.212,-0.019612640179938384,TRUE,2,19
2023-09-18,2023 Q3,2023-09-01,0.2533322445763563,0.212,0.041332244576356286,TRUE,3,19
2023-09-25,2023 Q3,2023-09-01,0.2533322445763563,0.212,0.041332244576356286,TRUE,3,19
2023-10-02,2023 Q3,2023-09-01,0.19194160696966092,0.212,-0.020058393030339072,TRUE,3,19
2023-10-09,2023 Q3,2023-09-01,0.20717034204688137,0.212,-0.004829657953118627,TRUE,3,19
2023-10-16,2023 Q3,2023-09-01,0.24530289287055007,0.212,0.03330289287055008,TRUE,3,19
2023-10-23,2023 Q3,2023-09-01,0.24530289287055007,0.212,0.03330289287055008,TRUE,3,19
2023-10-30,2023 Q3,2023-09-01,0.2594228878363316,0.212,0.04742288783633161,TRUE,3,19
2023-11-06,2023 Q3,2023-09-01,0.2595793488758871,0.212,0.04757934887588708,TRUE,3,19
2023-11-13,2023 Q3,2023-09-01,0.25986428468711453,0.212,0.04786428468711454,TRUE,3,19
2023-11-20,2023 Q3,2023-09-01,0.2605459168373337,0.212,0.0485459168373337,TRUE,3,19
2023-11-27,2023 Q3,2023-09-01,0.2605459168373337,0.212,0.0485459168373337,TRUE,3,19
2023-12-04,2023 Q4,2023-12-01,0.4905853295021122,0.2395,0.2510853295021122,TRUE,2,17
2023-12-11,2023 Q4,2023-12-01,0.3260293938437683,0.2395,0.08652939384376829,TRUE,2,17
2023-12-18,2023 Q4,2023-12-01,0.4477471109232635,0.2395,0.20824711092326353,TRUE,3,17
2023-12-25,2023 Q4,2023-12-01,0.4477471109232635,0.2395,0.20824711092326353,TRUE,3,17
2024-01-01,2023 Q4,2023-12-01,0.4576160895970656,0.2395,0.21811608959706563,TRUE,3,17
2024-01-08,2023 Q4,2023-12-01,0.4106135203977955,0.2395,0.17111352039779548,TRUE,3,17
2024-01-15,2023 Q4,2023-12-01,0.25945412395465384,0.2395,0.019954123954653846,TRUE,3,17
2024-01-22,2023 Q4,2023-12-01,0.2599598518057612,0.2395,0.02045985180576121,TRUE,3,17
2024-01-29,2023 Q4,2023-12-01,0.2599598518057612,0.2395,0.02045985180576121,TRUE,3,17
2024-02-05,2023 Q4,2023-12-01,0.25414307442337186,0.2395,0.014643074423371871,TRUE,3,17
2024-02-12,2023 Q4,2023-12-01,0.2540208981479599,0.2395,0.014520898147959926,TRUE,3,17
2024-02-19,2023 Q4,2023-12-01,0.2533471011716953,0.2395,0.013847101171695297,TRUE,3,17
2024-02-26,2023 Q4,2023-12-01,0.2533471011716953,0.2395,0.013847101171695297,TRUE,3,17
2024-03-04,2024 Q1,2024-03-01,0.08534817927307416,0.1275,-0.042151820726925845,TRUE,2,17
2024-03-11,2024 Q1,2024-03-01,0.10100702995689641,0.1275,-0.026492970043103595,TRUE,2,17
2024-03-18,2024 Q1,2024-03-01,0.6697109662029509,0.1275,0.5422109662029508,TRUE,3,17
