as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected
2022-03-07,2022 Q1,2022-03-01,1.3527391736605336,1.00287138241024,0.34986779125029366,TRUE,2,9
2022-03-14,2022 Q1,2022-03-01,1.3527391736605336,1.00287138241024,0.34986779125029366,TRUE,2,9
2022-03-21,2022 Q1,2022-03-01,1.1488032346326715,1.00287138241024,0.14593185222243155,TRUE,2,9
2022-03-28,2022 Q1,2022-03-01,1.1488032346326715,1.00287138241024,0.14593185222243155,TRUE,2,9
2022-04-04,2022 Q1,2022-03-01,1.8047731941673733,1.00287138241024,0.8019018117571333,TRUE,3,9
2022-04-11,2022 Q1,2022-03-01,1.8047731941673733,1.00287138241024,0.8019018117571333,TRUE,3,9
2022-04-18,2022 Q1,2022-03-01,1.4709518035249842,1.00287138241024,0.46808042111474424,TRUE,3,9
2022-04-25,2022 Q1,2022-03-01,1.4709518035249842,1.00287138241024,0.46808042111474424,TRUE,3,9
2022-05-02,2022 Q1,2022-03-01,1.421382011175707,1.00287138241024,0.41851062876546696,TRUE,3,9
2022-05-09,2022 Q1,2022-03-01,1.421382011175707,1.00287138241024,0.41851062876546696,TRUE,3,9
2022-05-16,2022 Q1,2022-03-01,1.4452097576057161,1.00287138241024,0.44233837519547614,TRUE,3,9
2022-05-23,2022 Q1,2022-03-01,1.4452097576057161,1.00287138241024,0.44233837519547614,TRUE,3,9
2022-05-30,2022 Q2,2022-06-01,1.554352566528781,0.904296687395623,0.650055879133158,TRUE,1,13
2022-06-06,2022 Q2,2022-06-01,1.984400669664231,0.904296687395623,1.080103982268608,TRUE,2,13
2022-06-13,2022 Q2,2022-06-01,1.984400669664231,0.904296687395623,1.080103982268608,TRUE,2,13
2022-06-20,2022 Q2,2022-06-01,1.641229188813242,0.904296687395623,0.736932501417619,TRUE,2,13
2022-06-27,2022 Q2,2022-06-01,1.641229188813242,0.904296687395623,0.736932501417619,TRUE,2,13
2022-07-04,2022 Q2,2022-06-01,1.9831757846224751,0.904296687395623,1.078879097226852,TRUE,3,13
2022-07-11,2022 Q2,2022-06-01,2.006233270976346,0.904296687395623,1.101936583580723,TRUE,3,13
2022-07-18,2022 Q2,2022-06-01,1.9539122045387622,0.904296687395623,1.0496155171431392,TRUE,3,13
2022-07-25,2022 Q2,2022-06-01,1.9539122045387622,0.904296687395623,1.0496155171431392,TRUE,3,13
2022-08-01,2022 Q2,2022-06-01,1.9551214121307852,0.904296687395623,1.050824724735162,TRUE,3,13
2022-08-08,2022 Q2,2022-06-01,1.9533755625986708,0.904296687395623,1.049078875203048,TRUE,3,13
2022-08-15,2022 Q2,2022-06-01,1.9536505101578223,0.904296687395623,1.0493538227621992,TRUE,3,13
2022-08-22,2022 Q2,2022-06-01,1.9536505101578223,0.904296687395623,1.0493538227621992,TRUE,3,13
2022-08-29,2022 Q3,2022-09-01,0.6064108411898322,0.455542743789072,0.15086809740076024,TRUE,1,13
2022-09-05,2022 Q3,2022-09-01,0.6022196856953694,0.455542743789072,0.14667694190629743,TRUE,2,13
2022-09-12,2022 Q3,2022-09-01,0.6022196856953694,0.455542743789072,0.14667694190629743,TRUE,2,13
2022-09-19,2022 Q3,2022-09-01,1.0562916370814128,0.455542743789072,0.6007488932923408,TRUE,2,13
2022-09-26,2022 Q3,2022-09-01,1.0562916370814128,0.455542743789072,0.6007488932923408,TRUE,2,13
2022-10-03,2022 Q3,2022-09-01,1.2133361348985199,0.455542743789072,0.7577933911094479,TRUE,3,13
2022-10-10,2022 Q3,2022-09-01,1.208947034106662,0.455542743789072,0.7534042903175899,TRUE,3,13
2022-10-17,2022 Q3,2022-09-01,0.8419688526416904,0.455542743789072,0.3864261088526184,TRUE,3,13
2022-10-24,2022 Q3,2022-09-01,0.8419688526416904,0.455542743789072,0.3864261088526184,TRUE,3,13
2022-10-31,2022 Q3,2022-09-01,0.8413853524767577,0.455542743789072,0.3858426086876857,TRUE,3,13
2022-11-07,2022 Q3,2022-09-01,0.8397947667528364,0.455542743789072,0.3842520229637644,TRUE,3,13
2022-11-14,2022 Q3,2022-09-01,0.8397947667528364,0.455542743789072,0.3842520229637644,TRUE,3,13
2022-11-21,2022 Q3,2022-09-01,0.8392497127209578,0.455542743789072,0.38370696893188583,TRUE,3,13
2022-11-28,2022 Q3,2022-09-01,0.8392497127209578,0.455542743789072,0.38370696893188583,TRUE,3,13
2022-12-05,2022 Q4,2022-12-01,0.7449522149285004,0.854224045436336,-0.10927183050783562,TRUE,2,13
2022-12-12,2022 Q4,2022-12-01,0.7449522149285004,0.854224045436336,-0.10927183050783562,TRUE,2,13
2022-12-19,2022 Q4,2022-12-01,1.0453117323945957,0.854224045436336,0.19108768695825973,TRUE,2,13
2022-12-26,2022 Q4,2022-12-01,1.0453117323945957,0.854224045436336,0.19108768695825973,TRUE,2,13
2023-01-02,2022 Q4,2022-12-01,0.9905676447537358,0.854224045436336,0.1363435993173998,TRUE,3,13
2023-01-09,2022 Q4,2022-12-01,0.9859437365719517,0.854224045436336,0.13171969113561566,TRUE,3,13
2023-01-16,2022 Q4,2022-12-01,0.9952590459497288,0.854224045436336,0.1410350005133928,TRUE,3,13
2023-01-23,2022 Q4,2022-12-01,0.9952590459497288,0.854224045436336,0.1410350005133928,TRUE,3,13
2023-01-30,2022 Q4,2022-12-01,0.9923462613673119,0.854224045436336,0.13812221593097584,TRUE,3,13
2023-02-06,2022 Q4,2022-12-01,0.9834270589361473,0.854224045436336,0.12920301349981134,TRUE,3,13
2023-02-13,2022 Q4,2022-12-01,0.9834270589361473,0.854224045436336,0.12920301349981134,TRUE,3,13
2023-02-20,2022 Q4,2022-12-01,0.9855138586871379,0.854224045436336,0.1312898132508019,TRUE,3,13
2023-02-27,2022 Q4,2022-12-01,0.9855138586871379,0.854224045436336,0.1312898132508019,TRUE,3,13
2023-03-06,2023 Q1,2023-03-01,0.6624632627984364,0.570569523858588,0.09189373893984842,TRUE,2,13
2023-03-13,2023 Q1,2023-03-01,0.6754294473752585,0.570569523858588,0.1048599235166705,TRUE,2,13
2023-03-20,2023 Q1,2023-03-01,0.8717763753045766,0.570569523858588,0.3012068514459887,TRUE,2,13
2023-03-27,2023 Q1,2023-03-01,0.8717763753045766,0.570569523858588,0.3012068514459887,TRUE,2,13
2023-04-03,2023 Q1,2023-03-01,0.5886131356212695,0.570569523858588,0.018043611762681544,TRUE,3,13
2023-04-10,2023 Q1,2023-03-01,0.5840026308658037,0.570569523858588,0.013433107007215783,TRUE,3,13
2023-04-17,2023 Q1,2023-03-01,1.0896711604523135,0.570569523858588,0.5191016365937255,TRUE,3,13
2023-04-24,2023 Q1,2023-03-01,1.0896711604523135,0.570569523858588,0.5191016365937255,TRUE,3,13
2023-05-01,2023 Q1,2023-03-01,1.0824406707291783,0.570569523858588,0.5118711468705903,TRUE,3,13
2023-05-08,2023 Q1,2023-03-01,1.0722742936732936,0.570569523858588,0.5017047698147057,TRUE,3,13
2023-05-15,2023 Q1,2023-03-01,1.0689616863915457,0.570569523858588,0.4983921625329577,TRUE,3,13
2023-05-22,2023 Q1,2023-03-01,1.0689616863915457,0.570569523858588,0.4983921625329577,TRUE,3,13
2023-05-29,2023 Q1,2023-03-01,1.0689616863915457,0.570569523858588,0.4983921625329577,TRUE,3,13
2023-06-05,2023 Q2,2023-06-01,0.49711872370776716,0.347783108710842,0.14933561499692516,TRUE,2,13
2023-06-12,2023 Q2,2023-06-01,0.49711872370776716,0.347783108710842,0.14933561499692516,TRUE,2,13
2023-06-19,2023 Q2,2023-06-01,0.8443670242113375,0.347783108710842,0.49658391550049547,TRUE,2,13
2023-06-26,2023 Q2,2023-06-01,0.8443670242113375,0.347783108710842,0.49658391550049547,TRUE,2,13
2023-07-03,2023 Q2,2023-06-01,1.2035442090413844,0.347783108710842,0.8557611003305423,TRUE,3,13
2023-07-10,2023 Q2,2023-06-01,1.1977670139764647,0.347783108710842,0.8499839052656226,TRUE,3,13
2023-07-17,2023 Q2,2023-06-01,0.8569012285061866,0.347783108710842,0.5091181197953445,TRUE,3,13
2023-07-24,2023 Q2,2023-06-01,0.8569012285061866,0.347783108710842,0.5091181197953445,TRUE,3,13
2023-07-31,2023 Q2,2023-06-01,0.857145746864371,0.347783108710842,0.509362638153529,TRUE,3,13
2023-08-07,2023 Q2,2023-06-01,0.8508756930934299,0.347783108710842,0.503092584382588,TRUE,3,13
2023-08-14,2023 Q2,2023-06-01,0.8508756930934299,0.347783108710842,0.503092584382588,TRUE,3,13
2023-08-21,2023 Q2,2023-06-01,0.8487646060006978,0.347783108710842,0.5009814972898559,TRUE,3,13
2023-08-28,2023 Q2,2023-06-01,0.8487646060006978,0.347783108710842,0.5009814972898559,TRUE,3,13
2023-09-04,2023 Q3,2023-09-01,0.25736779670161786,0.370603958314564,-0.11323616161294614,TRUE,2,13
2023-09-11,2023 Q3,2023-09-01,0.25736779670161786,0.370603958314564,-0.11323616161294614,TRUE,2,13
2023-09-18,2023 Q3,2023-09-01,0.5667318497869923,0.370603958314564,0.19612789147242832,TRUE,2,13
2023-09-25,2023 Q3,2023-09-01,0.5667318497869923,0.370603958314564,0.19612789147242832,TRUE,2,13
2023-10-02,2023 Q3,2023-09-01,0.6513745715529727,0.370603958314564,0.28077061323840874,TRUE,3,13
2023-10-09,2023 Q3,2023-09-01,0.650821338822417,0.370603958314564,0.280217380507853,TRUE,3,13
2023-10-16,2023 Q3,2023-09-01,0.470931356392429,0.370603958314564,0.100327398077865,TRUE,3,13
2023-10-23,2023 Q3,2023-09-01,0.470931356392429,0.370603958314564,0.100327398077865,TRUE,3,13
2023-10-30,2023 Q3,2023-09-01,0.47123173866144724,0.370603958314564,0.10062778034688324,TRUE,3,13
2023-11-06,2023 Q3,2023-09-01,0.4743746574104335,0.370603958314564,0.1037706990958695,TRUE,3,13
2023-11-13,2023 Q3,2023-09-01,0.4743746574104335,0.370603958314564,0.1037706990958695,TRUE,3,13
2023-11-20,2023 Q3,2023-09-01,0.47412175288884645,0.370603958314564,0.10351779457428245,TRUE,3,13
2023-11-27,2023 Q3,2023-09-01,0.47412175288884645,0.370603958314564,0.10351779457428245,TRUE,3,13
2023-12-04,2023 Q4,2023-12-01,0.784596295462886,0.0324652008952597,0.7521310945676263,TRUE,2,13
2023-12-11,2023 Q4,2023-12-01,0.7692441435780728,0.0324652008952597,0.7367789426828131,TRUE,2,13
2023-12-18,2023 Q4,2023-12-01,0.8766127738742879,0.0324652008952597,0.8441475729790282,TRUE,2,13
2023-12-25,2023 Q4,2023-12-01,0.8766127738742879,0.0324652008952597,0.8441475729790282,TRUE,2,13
2024-01-01,2023 Q4,2023-12-01,0.8756702766041919,0.0324652008952597,0.8432050757089322,TRUE,2,13
2024-01-08,2023 Q4,2023-12-01,0.6323028490054831,0.0324652008952597,0.5998376481102233,TRUE,3,13
2024-01-15,2023 Q4,2023-12-01,0.41329192329617737,0.0324652008952597,0.38082672240091764,TRUE,3,13
2024-01-22,2023 Q4,2023-12-01,0.41329192329617737,0.0324652008952597,0.38082672240091764,TRUE,3,13
2024-01-29,2023 Q4,2023-12-01,0.41329192329617737,0.0324652008952597,0.38082672240091764,TRUE,3,13
2024-02-05,2023 Q4,2023-12-01,0.4136343917495387,0.0324652008952597,0.381169190854279,TRUE,3,13
2024-02-12,2023 Q4,2023-12-01,0.4136343917495387,0.0324652008952597,0.381169190854279,TRUE,3,13
2024-02-19,2023 Q4,2023-12-01,0.41438669434966846,0.0324652008952597,0.38192149345440873,TRUE,3,13
2024-02-26,2023 Q4,2023-12-01,0.41438669434966846,0.0324652008952597,0.38192149345440873,TRUE,3,13
2024-03-04,2024 Q1,2024-03-01,0.15274060320947996,0.344587773415594,-0.19184717020611403,TRUE,2,13
2024-03-11,2024 Q1,2024-03-01,0.16152789214776403,0.344587773415594,-0.18305988126782996,TRUE,2,13
2024-03-18,2024 Q1,2024-03-01,0.9322585790297473,0.344587773415594,0.5876708056141533,TRUE,2,13
2024-03-25,2024 Q1,2024-03-01,0.9322585790297473,0.344587773415594,0.5876708056141533,TRUE,2,13
2024-04-01,2024 Q1,2024-03-01,0.925440798904906,0.344587773415594,0.5808530254893121,TRUE,2,13
2024-04-08,2024 Q1,2024-03-01,0.8483664572211895,0.344587773415594,0.5037786838055955,TRUE,3,13
2024-04-15,2024 Q1,2024-03-01,0.8322693099470289,0.344587773415594,0.48768153653143487,TRUE,3,13
2024-04-22,2024 Q1,2024-03-01,0.8322693099470289,0.344587773415594,0.48768153653143487,TRUE,3,13
2024-04-29,2024 Q1,2024-03-01,0.8322693099470289,0.344587773415594,0.48768153653143487,TRUE,3,13
2024-05-06,2024 Q1,2024-03-01,0.8299337512027111,0.344587773415594,0.4853459777871171,TRUE,3,13
2024-05-13,2024 Q1,2024-03-01,0.8299337512027111,0.344587773415594,0.4853459777871171,TRUE,3,13
2024-05-20,2024 Q1,2024-03-01,0.823475985111905,0.344587773415594,0.478888211696311,TRUE,3,13
2024-05-27,2024 Q1,2024-03-01,0.823475985111905,0.344587773415594,0.478888211696311,TRUE,3,13
2024-06-03,2024 Q2,2024-06-01,0.2892253083557177,0.168870327560744,0.1203549807949737,TRUE,2,13
2024-06-10,2024 Q2,2024-06-01,0.292208538080068,0.168870327560744,0.12333821051932403,TRUE,2,13
2024-06-17,2024 Q2,2024-06-01,0.47735355008980057,0.168870327560744,0.3084832225290566,TRUE,2,13
2024-06-24,2024 Q2,2024-06-01,0.47735355008980057,0.168870327560744,0.3084832225290566,TRUE,2,13
2024-07-01,2024 Q2,2024-06-01,0.47573415537903585,0.168870327560744,0.30686382781829186,TRUE,2,13
2024-07-08,2024 Q2,2024-06-01,0.48594952994072854,0.168870327560744,0.31707920237998455,TRUE,3,13
2024-07-15,2024 Q2,2024-06-01,0.7216862566253425,0.168870327560744,0.5528159290645984,TRUE,3,13
2024-07-22,2024 Q2,2024-06-01,0.7216862566253425,0.168870327560744,0.5528159290645984,TRUE,3,13
2024-07-29,2024 Q2,2024-06-01,0.7216862566253425,0.168870327560744,0.5528159290645984,TRUE,3,13
2024-08-05,2024 Q2,2024-06-01,0.7164785961224766,0.168870327560744,0.5476082685617325,TRUE,3,13
2024-08-12,2024 Q2,2024-06-01,0.7164785961224766,0.168870327560744,0.5476082685617325,TRUE,3,13
2024-08-19,2024 Q2,2024-06-01,0.7160189696433327,0.168870327560744,0.5471486420825886,TRUE,3,13
2024-08-26,2024 Q2,2024-06-01,0.7160189696433327,0.168870327560744,0.5471486420825886,TRUE,3,13
2024-09-02,2024 Q3,2024-09-01,0.552315470205179,0.272742693382466,0.27957277682271303,TRUE,2,13
2024-09-09,2024 Q3,2024-09-01,0.5492933398376829,0.272742693382466,0.27655064645521693,TRUE,2,13
2024-09-16,2024 Q3,2024-09-01,0.8187426148923199,0.272742693382466,0.5459999215098539,TRUE,2,13
2024-09-23,2024 Q3,2024-09-01,0.8187426148923199,0.272742693382466,0.5459999215098539,TRUE,2,13
2024-09-30,2024 Q3,2024-09-01,0.8188497081777325,0.272742693382466,0.5461070147952665,TRUE,2,13
2024-10-07,2024 Q3,2024-09-01,0.5605667479173044,0.272742693382466,0.28782405453483845,TRUE,3,13
2024-10-14,2024 Q3,2024-09-01,0.5605667479173044,0.272742693382466,0.28782405453483845,TRUE,3,13
2024-10-21,2024 Q3,2024-09-01,0.9263965938217313,0.272742693382466,0.6536539004392654,TRUE,3,13
2024-10-28,2024 Q3,2024-09-01,0.9263965938217313,0.272742693382466,0.6536539004392654,TRUE,3,13
2024-11-04,2024 Q3,2024-09-01,0.9214282997340469,0.272742693382466,0.6486856063515809,TRUE,3,13
2024-11-11,2024 Q3,2024-09-01,0.9214282997340469,0.272742693382466,0.6486856063515809,TRUE,3,13
2024-11-18,2024 Q3,2024-09-01,0.923639347380333,0.272742693382466,0.6508966539978671,TRUE,3,13
2024-11-25,2024 Q3,2024-09-01,0.923639347380333,0.272742693382466,0.6508966539978671,TRUE,3,13
2024-12-02,2024 Q4,2024-12-01,0.5373259227638937,0.440573086311669,0.09675283645222466,TRUE,2,14
