as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected,next_target_quarter,next_target_quarter_date,qoq_growth_forecast_next,qoq_actual_next,n_months_in_next_quarter
2012-01-02,2011 Q4,2011-12-01,0.2823482315298457,0.4332,-0.1508517684701543,TRUE,3,12,NA,NA,NA,NA,NA
2012-01-09,2011 Q4,2011-12-01,0.2823482315298457,0.4332,-0.1508517684701543,TRUE,3,12,NA,NA,NA,NA,NA
2012-01-16,2011 Q4,2011-12-01,0.3385212302581031,0.4332,-0.09467876974189687,TRUE,3,12,2012 Q1,2012-03-01,0.5100777458038309,1.2957,1
2012-01-23,2011 Q4,2011-12-01,0.3385212302581031,0.4332,-0.09467876974189687,TRUE,3,12,2012 Q1,2012-03-01,0.5100777458038309,1.2957,1
2012-01-30,2011 Q4,2011-12-01,0.31664533666235184,0.4332,-0.11655466333764813,TRUE,3,12,2012 Q1,2012-03-01,0.46988559930503326,1.2957,1
2012-02-06,2011 Q4,2011-12-01,0.31664533666235184,0.4332,-0.11655466333764813,TRUE,3,12,2012 Q1,2012-03-01,0.46988559930503326,1.2957,1
2012-02-13,2011 Q4,2011-12-01,0.3152891885772841,0.4332,-0.11791081142271587,TRUE,3,12,2012 Q1,2012-03-01,0.4666341448624468,1.2957,1
2012-02-20,2011 Q4,2011-12-01,0.321396968687382,0.4332,-0.11180303131261798,TRUE,3,12,2012 Q1,2012-03-01,0.7017234987488391,1.2957,2
2012-02-27,2011 Q4,2011-12-01,0.321396968687382,0.4332,-0.11180303131261798,TRUE,3,12,2012 Q1,2012-03-01,0.7017234987488391,1.2957,2
2012-03-05,2012 Q1,2012-03-01,0.6493440599872605,1.2957,-0.6463559400127395,TRUE,2,12,NA,NA,NA,NA,NA
2012-03-12,2012 Q1,2012-03-01,0.6338049555062103,1.2957,-0.6618950444937898,TRUE,2,12,NA,NA,NA,NA,NA
2012-03-19,2012 Q1,2012-03-01,0.4496849766444603,1.2957,-0.8460150233555398,TRUE,3,12,NA,NA,NA,NA,NA
