as_of,horizon,target,first,v2,v3_raw,v3,combo,months_with_data_v2,months_with_data_v3,days_to_release
2023-01-02,current,2022Q4,0.4799,0.3843,0.7175,0.7175,0.5509,3,,58
2023-01-09,current,2022Q4,0.4799,0.3704,0.6775,0.6775,0.5239,3,,51
2023-01-16,current,2022Q4,0.4799,0.3362,0.6407,0.6407,0.4884,3,,44
2023-01-23,current,2022Q4,0.4799,0.3362,0.6327,0.6327,0.4844,3,,37
2023-01-30,current,2022Q4,0.4799,0.2944,0.6105,0.6105,0.4525,3,,30
2023-02-06,current,2022Q4,0.4799,0.2832,0.6564,0.6564,0.4698,3,,23
2023-02-06,next,2023Q1,0.2332,-0.0128,0.5573,0.5573,0.2722,1,1,121
2023-02-13,current,2022Q4,0.4799,0.2846,0.6393,0.6393,0.4619,3,,16
2023-02-13,next,2023Q1,0.2332,-0.0474,0.6533,0.6533,0.303,2,1,114
2023-02-20,current,2022Q4,0.4799,0.2894,0.6574,0.6574,0.4734,3,,9
2023-02-20,next,2023Q1,0.2332,0.2492,0.6233,0.6233,0.4363,2,1,107
2023-03-13,current,2023Q1,0.2332,0.0645,0.5149,0.5149,0.2897,2,,86
2023-03-20,current,2023Q1,0.2332,0.2294,0.5581,0.5581,0.3937,3,,79
2023-03-27,current,2023Q1,0.2332,0.2294,0.5652,0.5652,0.3973,3,,72
2023-04-03,current,2023Q1,0.2332,0.1002,0.5985,0.5985,0.3493,3,,65
2023-04-10,current,2023Q1,0.2332,0.0622,0.5316,0.5316,0.2969,3,,58
2023-04-17,current,2023Q1,0.2332,0.2459,0.5694,0.5694,0.4077,3,,51
2023-04-24,current,2023Q1,0.2332,0.2459,0.5632,0.5632,0.4046,3,,44
2023-05-01,current,2023Q1,0.2332,0.2211,0.4894,0.4894,0.3553,3,,37
2023-05-08,current,2023Q1,0.2332,0.215,0.4566,0.4566,0.3358,3,,30
2023-05-08,next,2023Q2,0.3557,0.2835,0.4383,0.4383,0.3609,1,1,121
2023-05-15,current,2023Q1,0.2332,0.2092,0.4162,0.4162,0.3127,3,,23
2023-05-15,next,2023Q2,0.3557,0.5138,0.4144,0.4144,0.4641,1,1,114
2023-05-22,current,2023Q1,0.2332,0.211,0.4211,0.4211,0.3161,3,,16
2023-05-22,next,2023Q2,0.3557,0.4163,0.4229,0.4229,0.4196,2,1,107
2023-05-29,current,2023Q1,0.2332,0.211,0.4265,0.4265,0.3188,3,,9
2023-05-29,next,2023Q2,0.3557,0.4163,0.4376,0.4376,0.4269,2,1,100
2023-06-05,current,2023Q2,0.3557,0.4082,0.4922,0.4922,0.4502,2,,93
2023-06-12,current,2023Q2,0.3557,0.2978,0.4124,0.4124,0.3551,2,,86
2023-06-19,current,2023Q2,0.3557,0.4009,0.4066,0.4066,0.4038,3,,79
2023-06-26,current,2023Q2,0.3557,0.4009,0.4718,0.4718,0.4364,3,,72
2023-07-03,current,2023Q2,0.3557,0.4971,0.4214,0.4214,0.4592,3,,65
2023-07-10,current,2023Q2,0.3557,0.4303,0.4122,0.4122,0.4212,3,,58
2023-07-17,current,2023Q2,0.3557,0.4892,0.4224,0.4224,0.4558,3,,51
2023-07-24,current,2023Q2,0.3557,0.4892,0.4687,0.4687,0.4789,3,,44
2023-07-31,current,2023Q2,0.3557,0.489,0.445,0.445,0.467,3,,37
2023-08-07,current,2023Q2,0.3557,0.4508,0.3724,0.3724,0.4116,3,,30
2023-08-07,next,2023Q3,0.212,0.4689,0.4218,0.4218,0.4454,1,1,121
2023-08-14,current,2023Q2,0.3557,0.4507,0.4077,0.4077,0.4292,3,,23
2023-08-14,next,2023Q3,0.212,0.4585,0.4614,0.4614,0.46,1,1,114
2023-08-21,current,2023Q2,0.3557,0.449,0.4004,0.4004,0.4247,3,,16
2023-08-21,next,2023Q3,0.212,0.308,0.4538,0.4538,0.3809,2,1,107
2023-08-28,current,2023Q2,0.3557,0.449,0.3902,0.3902,0.4196,3,,9
2023-08-28,next,2023Q3,0.212,0.308,0.4267,0.4267,0.3673,2,1,100
2023-09-04,current,2023Q3,0.212,0.1808,0.4238,0.4238,0.3023,2,,93
2023-09-11,current,2023Q3,0.212,0.1924,0.4842,0.4842,0.3383,2,,86
2023-09-18,current,2023Q3,0.212,0.2533,0.5202,0.5202,0.3868,3,,79
2023-09-25,current,2023Q3,0.212,0.2533,0.432,0.432,0.3427,3,,72
2023-10-02,current,2023Q3,0.212,0.1919,0.4044,0.4044,0.2982,3,,65
2023-10-09,current,2023Q3,0.212,0.2072,0.3339,0.3339,0.2705,3,,58
2023-10-16,current,2023Q3,0.212,0.2453,0.3876,0.3876,0.3165,3,,51
2023-10-23,current,2023Q3,0.212,0.2453,0.4589,0.4589,0.3521,3,,44
2023-10-30,current,2023Q3,0.212,0.2594,0.4411,0.4411,0.3503,3,,37
2023-11-06,current,2023Q3,0.212,0.2596,0.4951,0.4951,0.3773,3,,30
2023-11-06,next,2023Q4,0.2395,0.5631,0.6118,0.6118,0.5875,1,1,121
2023-11-13,current,2023Q3,0.212,0.2599,0.4847,0.4847,0.3723,3,,23
2023-11-13,next,2023Q4,0.2395,0.4572,0.5626,0.5626,0.5099,1,1,114
2023-11-20,current,2023Q3,0.212,0.2605,0.514,0.514,0.3873,3,,16
2023-11-20,next,2023Q4,0.2395,0.5345,0.6265,0.6265,0.5805,2,1,107
2023-11-27,current,2023Q3,0.212,0.2605,0.514,0.514,0.3873,3,,9
2023-11-27,next,2023Q4,0.2395,0.5345,0.6265,0.6265,0.5805,2,1,100
2023-12-04,current,2023Q4,0.2395,0.4906,0.4059,0.4059,0.4482,2,,93
2023-12-11,current,2023Q4,0.2395,0.326,0.2903,0.108,0.217,2,,86
2023-12-18,current,2023Q4,0.2395,0.4477,0.328,0.1457,0.2967,3,,79
2023-12-25,current,2023Q4,0.2395,0.4477,0.3716,0.1893,0.3185,3,,72
2024-01-01,current,2023Q4,0.2395,0.4576,0.371,0.1887,0.3232,3,,65
2024-01-08,current,2023Q4,0.2395,0.4106,0.3372,0.1549,0.2828,3,,58
2024-01-15,current,2023Q4,0.2395,0.2595,0.3894,0.2071,0.2333,3,,51
2024-01-22,current,2023Q4,0.2395,0.26,0.4251,0.2428,0.2514,3,,44
2024-01-29,current,2023Q4,0.2395,0.26,0.3206,0.1383,0.1991,3,,37
2024-02-05,current,2023Q4,0.2395,0.2541,0.3405,0.1582,0.2062,3,,30
2024-02-05,next,2024Q1,0.1275,0.0341,0.385,0.2027,0.1184,1,1,121
2024-02-12,current,2023Q4,0.2395,0.254,0.3599,0.1776,0.2158,3,,23
2024-02-12,next,2024Q1,0.1275,0.0377,0.4269,0.2446,0.1412,1,1,114
2024-02-19,current,2023Q4,0.2395,0.2533,0.363,0.1807,0.217,3,,16
2024-02-19,next,2024Q1,0.1275,0.1528,0.4465,0.2642,0.2085,2,1,107
2024-02-26,current,2023Q4,0.2395,0.2533,0.3657,0.1834,0.2184,3,,9
2024-02-26,next,2024Q1,0.1275,0.1528,0.4632,0.2809,0.2169,2,1,100
2024-03-04,current,2024Q1,0.1275,0.0853,0.3939,0.2116,0.1485,2,,93
2024-03-11,current,2024Q1,0.1275,0.101,0.3911,0.2131,0.1571,2,,86
2024-03-18,current,2024Q1,0.1275,0.6697,0.4654,0.2874,0.4786,3,,79
2024-03-25,current,2024Q1,0.1275,0.6697,0.4579,0.2799,0.4748,3,,72
2024-04-01,current,2024Q1,0.1275,0.7008,0.561,0.383,0.5419,3,,65
2024-04-08,current,2024Q1,0.1275,0.6119,0.5236,0.3456,0.4788,3,,58
