as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected,target,first,release,v2,c2,asof,model,k,v3,v3_raw,v2_bc,combo,combo_raw,combo_bc2,h,bucket
2023-01-02,2022 Q4,2022-12-01,0.3842663902089305,0.4799,-0.0956336097910694,True,3,19,2022Q4,0.4799,2023-03-01,0.3842663902089305,0.0,2023-01-02,0.7175,3,0.7175,0.7175,0.3842663902089305,0.5508831951044653,0.5508831951044653,0.5508831951044653,58,30-60d
2023-01-09,2022 Q4,2022-12-01,0.3703645119146337,0.4799,-0.1095354880853662,True,3,19,2022Q4,0.4799,2023-03-01,0.3703645119146337,0.0,2023-01-09,0.6775,3,0.6775,0.6775,0.3703645119146337,0.5239322559573169,0.5239322559573169,0.5239322559573169,51,30-60d
2023-01-16,2022 Q4,2022-12-01,0.3361732064263583,0.4799,-0.1437267935736416,True,3,19,2022Q4,0.4799,2023-03-01,0.3361732064263583,0.0,2023-01-16,0.6407,3,0.6407,0.6407,0.3361732064263583,0.48843660321317917,0.48843660321317917,0.48843660321317917,44,30-60d
2023-01-23,2022 Q4,2022-12-01,0.3361732064263583,0.4799,-0.1437267935736416,True,3,19,2022Q4,0.4799,2023-03-01,0.3361732064263583,0.0,2023-01-23,0.6327,3,0.6327,0.6327,0.3361732064263583,0.48443660321317916,0.48443660321317916,0.48443660321317916,37,30-60d
2023-01-30,2022 Q4,2022-12-01,0.2944128717153443,0.4799,-0.1854871282846556,True,3,19,2022Q4,0.4799,2023-03-01,0.2944128717153443,0.0,2023-01-30,0.6105,3,0.6105,0.6105,0.2944128717153443,0.45245643585767215,0.45245643585767215,0.45245643585767215,30,<30d
2023-02-06,2022 Q4,2022-12-01,0.2832147532176016,0.4799,-0.1966852467823984,True,3,19,2022Q4,0.4799,2023-03-01,0.2832147532176016,0.0,2023-02-06,0.6564,3,0.6564,0.6564,0.2832147532176016,0.4698073766088008,0.4698073766088008,0.4698073766088008,23,<30d
2023-02-13,2022 Q4,2022-12-01,0.2845732833569296,0.4799,-0.1953267166430703,True,3,19,2022Q4,0.4799,2023-03-01,0.2845732833569296,0.0,2023-02-13,0.6393,3,0.6393,0.6393,0.2845732833569296,0.4619366416784648,0.4619366416784648,0.4619366416784648,16,<30d
2023-02-20,2022 Q4,2022-12-01,0.2893568594350146,0.4799,-0.1905431405649854,True,3,19,2022Q4,0.4799,2023-03-01,0.2893568594350146,0.0,2023-02-20,0.6574,3,0.6574,0.6574,0.2893568594350146,0.4733784297175073,0.4733784297175073,0.4733784297175073,9,<30d
2023-03-13,2023 Q1,2023-03-01,0.0645396563626821,0.2332,-0.1686603436373179,True,2,19,2023Q1,0.2332,2023-06-07,0.0645396563626821,0.0,2023-03-13,0.5149,3,0.5149,0.5149,0.0645396563626821,0.28971982818134107,0.28971982818134107,0.28971982818134107,86,60-90d
2023-03-20,2023 Q1,2023-03-01,0.2293912362244511,0.2332,-0.0038087637755488,True,3,19,2023Q1,0.2332,2023-06-07,0.2293912362244511,0.0,2023-03-20,0.5581,3,0.5581,0.5581,0.2293912362244511,0.3937456181122256,0.3937456181122256,0.3937456181122256,79,60-90d
