asof,target,target_date,horizon_months,seed,target_series,nowcast_qq,forecast_next_qq,actual_qq,first_print_qq,error_qq,error_first_print_qq,next_target,next_first_print_qq,next_months_with_data,gdp_global_loading,collapsed,collapse_floor,cols,gdp_obs,deflator_skipped,seconds
2023-01-02,2022Q4,2022-12-01,1,19,first_print,0.7278,0.6419,0.8252,0.4799,-0.0973,0.2479,2023Q1,0.2332,0,1.0047,0,0.5,517,170,cpi_monthly_live,63.0
2023-01-09,2022Q4,2022-12-01,1,19,first_print,0.6775,0.6008,0.8252,0.4799,-0.1477,0.1976,2023Q1,0.2332,0,0.9005,0,0.5,517,170,cpi_monthly_live,64.6
2023-01-16,2022Q4,2022-12-01,1,19,first_print,0.6407,0.4355,0.8252,0.4799,-0.1844,0.1608,2023Q1,0.2332,0,0.9163,0,0.5,517,170,cpi_monthly_live,64.0
2023-01-23,2022Q4,2022-12-01,1,19,first_print,0.6327,0.4414,0.8252,0.4799,-0.1924,0.1528,2023Q1,0.2332,0,0.8673,0,0.5,517,170,cpi_monthly_live,63.4
2023-01-30,2022Q4,2022-12-01,1,19,first_print,0.6661,0.5105,0.8252,0.4799,-0.1591,0.1862,2023Q1,0.2332,0,0.8985,0,0.5,517,170,cpi_monthly_live,64.5
2023-02-06,2022Q4,2022-12-01,2,19,first_print,0.6564,0.5573,0.8252,0.4799,-0.1687,0.1765,2023Q1,0.2332,1,1.013,0,0.5,518,170,cpi_monthly_live,64.7
2023-02-13,2022Q4,2022-12-01,2,19,first_print,0.6393,0.7021,0.8252,0.4799,-0.1858,0.1594,2023Q1,0.2332,1,1.122,0,0.5,518,170,cpi_monthly_live,65.4
2023-02-20,2022Q4,2022-12-01,2,19,first_print,0.6574,0.6119,0.8252,0.4799,-0.1677,0.1775,2023Q1,0.2332,1,1.0052,0,0.5,518,170,cpi_monthly_live,63.2
2023-03-13,2023Q1,2023-03-01,0,19,first_print,0.4692,0.4407,0.4779,0.2332,-0.0087,0.236,2023Q2,0.3557,0,0.9385,0,0.5,519,171,cpi_monthly_live,67.4
2023-03-20,2023Q1,2023-03-01,0,19,first_print,0.4879,0.4839,0.4779,0.2332,0.01,0.2547,2023Q2,0.3557,0,0.8697,0,0.5,519,171,cpi_monthly_live,70.2
2023-03-27,2023Q1,2023-03-01,0,19,first_print,0.5652,0.6327,0.4779,0.2332,0.0873,0.332,2023Q2,0.3557,0,0.8221,0,0.5,519,171,cpi_monthly_live,69.8
2023-04-03,2023Q1,2023-03-01,1,19,first_print,0.5985,0.6452,0.4779,0.2332,0.1206,0.3653,2023Q2,0.3557,0,0.9423,0,0.5,520,171,cpi_monthly_live,70.4
