asof,target,target_date,horizon_months,seed,target_series,nowcast_qq,forecast_next_qq,actual_qq,first_print_qq,error_qq,error_first_print_qq,gdp_global_loading,collapsed,collapse_floor,cols,gdp_obs,deflator_skipped,seconds
2023-01-02,2022Q4,2022-12-01,1,4,first_print,0.6285,,0.8252,0.4799,-0.1967,0.1486,0.9212,0,0.5,517,170,cpi_monthly_live,103.9
2023-01-09,2022Q4,2022-12-01,1,4,first_print,0.6786,,0.8252,0.4799,-0.1466,0.1987,0.8354,0,0.5,517,170,cpi_monthly_live,66.9
2023-01-16,2022Q4,2022-12-01,1,4,first_print,0.5058,,0.8252,0.4799,-0.3193,0.0259,0.7335,0,0.5,517,170,cpi_monthly_live,59.7
2023-01-23,2022Q4,2022-12-01,1,4,first_print,0.5911,,0.8252,0.4799,-0.234,0.1112,0.6415,0,0.5,517,170,cpi_monthly_live,59.9
2023-01-30,2022Q4,2022-12-01,1,4,first_print,0.5926,,0.8252,0.4799,-0.2326,0.1127,0.7162,0,0.5,517,170,cpi_monthly_live,59.9
2023-02-06,2022Q4,2022-12-01,2,4,first_print,0.5212,,0.8252,0.4799,-0.304,0.0413,0.8937,0,0.5,518,170,cpi_monthly_live,61.1
2023-02-13,2022Q4,2022-12-01,2,4,first_print,0.4596,,0.8252,0.4799,-0.3656,-0.0203,0.6882,0,0.5,518,170,cpi_monthly_live,62.9
2023-02-20,2022Q4,2022-12-01,2,4,first_print,0.7361,,0.8252,0.4799,-0.089,0.2562,1.0707,0,0.5,518,170,cpi_monthly_live,63.4
2023-03-13,2023Q1,2023-03-01,0,4,first_print,0.5479,,0.4779,0.2332,0.07,0.3147,0.6638,0,0.5,519,171,cpi_monthly_live,64.9
2023-03-20,2023Q1,2023-03-01,0,4,first_print,0.5991,,0.4779,0.2332,0.1212,0.3659,0.7824,0,0.5,519,171,cpi_monthly_live,64.8
2023-03-27,2023Q1,2023-03-01,0,4,first_print,0.6319,,0.4779,0.2332,0.154,0.3987,0.9741,0,0.5,519,171,cpi_monthly_live,61.4
2023-04-03,2023Q1,2023-03-01,1,4,first_print,0.6058,,0.4779,0.2332,0.1279,0.3726,1.0815,0,0.5,520,171,cpi_monthly_live,64.9
2023-04-10,2023Q1,2023-03-01,1,4,first_print,0.5316,,0.4779,0.2332,0.0537,0.2984,0.9761,0,0.5,520,171,cpi_monthly_live,67.5
