date,value
2021-01-01,95
2021-02-01,104.3
2021-03-01,112.9
2021-04-01,117.9
2021-05-01,128.1
2021-06-01,125.7
2021-07-01,126.1
2021-08-01,119.8
2021-09-01,118.7
2021-10-01,129
2021-11-01,140
2021-12-01,136.8
2022-01-01,135.1
2022-02-01,153.6
2022-03-01,155.5
2022-04-01,155.9
2022-05-01,155.9
2022-06-01,158.6
2022-07-01,157.1
2022-08-01,156.9
2022-09-01,156.6
2022-10-01,156.8
2022-11-01,159.8
2022-12-01,154.6
2023-01-01,153.5
2023-02-01,152
2023-03-01,147.3
2023-04-01,146.4
2023-05-01,146.8
2023-06-01,142.5
2023-07-01,143.5
2023-08-01,144.2
2023-09-01,143
2023-10-01,138.7
2023-11-01,132.3
2023-12-01,131.9
2024-01-01,134.8
2024-02-01,126.3
2024-03-01,125.2
2024-04-01,122.4
2024-05-01,120.4
2024-06-01,116.5
2024-07-01,114.4
2024-08-01,111.5
2024-09-01,116.3
2024-10-01,117.9
2024-11-01,117
2024-12-01,116.1
2025-01-01,116.1
2025-02-01,114.7
2025-03-01,115.2
2025-04-01,114.9
2025-05-01,114
2025-06-01,115.7
2025-07-01,114.9
2025-08-01,114
2025-09-01,111.5
2025-10-01,109.7
2025-11-01,109.3
2025-12-01,107.8
2026-01-01,114.5
2026-02-01,118.2
2026-03-01,114.6
