date,value
1973-03-01,119.2
1973-06-01,117
1973-09-01,108.4
1973-12-01,103.8
1974-03-01,103.2
1974-06-01,95.6
1974-09-01,90.6
1974-12-01,92.2
1975-03-01,114
1975-06-01,104.2
1975-09-01,100.8
1975-12-01,103
1976-01-01,113.6
1976-03-01,107
1976-04-01,110.2
1976-06-01,107
1976-07-01,105.6
1976-09-01,108
1976-10-01,108.8
1976-11-01,101.2
1977-01-01,104.2
1977-03-01,98.6
1977-04-01,101.6
1977-06-01,103.8
1977-07-01,99.4
1977-09-01,105
1977-10-01,104.4
1977-11-01,109.4
1978-01-01,119.2
1978-03-01,114.8
1978-04-01,110.8
1978-06-01,109.6
1978-07-01,101.6
1978-09-01,91.2
1978-10-01,104.4
1978-11-01,103.6
1979-01-01,110.2
1979-03-01,106.2
1979-04-01,109.4
1979-06-01,92.6
1979-07-01,90.2
1979-09-01,99.4
1979-10-01,97.6
1979-11-01,98.8
1980-01-01,98.8
1980-03-01,100.8
1980-04-01,97.4
1980-06-01,101.6
1980-07-01,98.2
1980-09-01,104.4
1980-10-01,109.8
1980-11-01,106.4
1981-01-01,113.4
1981-03-01,111.8
1981-04-01,101.8
1981-06-01,100.8
1981-07-01,95
1981-09-01,92.4
1981-10-01,98.2
1981-11-01,98
1982-01-01,92.4
1982-03-01,91.8
1982-04-01,93.6
1982-06-01,92.2
1982-07-01,80.4
1982-09-01,84.6
1982-10-01,81.2
1982-11-01,75.2
1983-01-01,87.8
1983-03-01,97.4
1983-04-01,96
1983-06-01,95.4
1983-07-01,98.2
1983-09-01,100.6
1983-10-01,106.4
1983-11-01,113.2
1984-01-01,124.6
1984-03-01,120.8
1984-04-01,120.8
1984-06-01,115.6
1984-07-01,116.6
1984-09-01,118.2
1984-10-01,117.8
1984-11-01,114.6
1985-01-01,114.8
1985-03-01,110.2
1985-04-01,99.4
1985-06-01,98
1985-07-01,100.8
1985-09-01,106.8
1985-10-01,107.8
1985-11-01,94.8
1986-01-01,105.4
1986-03-01,103.8
1986-04-01,94.6
1986-05-01,94.8
1986-06-01,91.6
1986-07-01,79.8
1986-08-01,79.8
1986-09-01,78.8
1986-10-01,89.8
1986-11-01,85.6
1986-12-01,88.8
1987-01-01,90.4
1987-02-01,88
1987-03-01,86.8
1987-04-01,90.8
1987-05-01,91.8
1987-06-01,93.4
1987-07-01,98.6
1987-08-01,96.4
1987-09-01,94.8
1987-10-01,104
1987-11-01,87.2
1987-12-01,93
1988-01-01,100.4
1988-02-01,98.8
1988-03-01,103.6
1988-04-01,106.2
1988-05-01,104
1988-06-01,104
1988-07-01,107.6
1988-08-01,108.2
1988-09-01,112.4
1988-10-01,108.8
1988-11-01,104.2
1988-12-01,105.8
1989-01-01,105
1989-02-01,94.6
1989-03-01,88.4
1989-04-01,88.4
1989-05-01,87.4
1989-06-01,72.8
1989-07-01,73
1989-08-01,78.8
1989-09-01,82
1989-10-01,79
1989-11-01,81
1989-12-01,80
1990-01-01,101.6
1990-02-01,95.6
1990-03-01,83.4
1990-04-01,88.3
1990-05-01,84.7
1990-06-01,83.1
1990-07-01,79.6
1990-08-01,83.9
1990-09-01,75.6
1990-10-01,71.4
1990-11-01,73.1
1990-12-01,71.3
1991-01-01,78.5
1991-02-01,85.4
1991-03-01,85
1991-04-01,87.2
1991-05-01,87.7
1991-06-01,88.6
1991-07-01,98.1
1991-08-01,95.2
1991-09-01,93.3
1991-10-01,95.8
1991-11-01,91.1
1991-12-01,83
1992-01-01,93.6
1992-02-01,95.9
1992-03-01,96.2
1992-04-01,105.4
1992-05-01,101.6
1992-06-01,97.7
1992-07-01,95.4
1992-08-01,96.9
1992-09-01,96.8
1992-10-01,101.2
1992-11-01,93.6
1992-12-01,92.9
1993-01-01,100.8
1993-02-01,100.4
1993-03-01,105.9
1993-04-01,102.3
1993-05-01,102.2
1993-06-01,96.2
1993-07-01,96.6
1993-08-01,100.8
1993-09-01,90.2
1993-10-01,103.5
1993-11-01,111.9
1993-12-01,108.5
1994-01-01,120.5
1994-02-01,127.5
1994-03-01,125.7
1994-04-01,127.7
1994-05-01,125.2
1994-06-01,128
1994-07-01,127.6
1994-08-01,123.8
1994-09-01,123.6
1994-10-01,124.6
1994-11-01,118.1
1994-12-01,118
1995-01-01,112.3
1995-02-01,112.4
1995-03-01,113.9
1995-04-01,114.7
1995-05-01,112
1995-06-01,112.4
1995-07-01,110.2
1995-08-01,115.5
1995-09-01,111.7
1995-10-01,116.2
1995-11-01,114.3
1995-12-01,111.9
1996-01-01,116.7
1996-02-01,119.1
1996-03-01,123.7
1996-04-01,121.5
1996-05-01,118.8
1996-06-01,117.8
1996-07-01,112.3
1996-08-01,114.4
1996-09-01,113.2
1996-10-01,111.3
1996-11-01,113.4
1996-12-01,113.2
1997-01-01,119.2
1997-02-01,115.1
1997-03-01,116.2
1997-04-01,112.5
1997-05-01,114.2
1997-06-01,115.5
1997-07-01,110.7
1997-08-01,111.7
1997-09-01,112.4
1997-10-01,112.8
1997-11-01,111.6
1997-12-01,110.6
1998-01-01,117.8
1998-02-01,116
1998-03-01,114.9
1998-04-01,110.2
1998-05-01,114.4
1998-06-01,109.8
1998-07-01,107.6
1998-08-01,111.1
1998-09-01,111
1998-10-01,113.9
1998-11-01,114.2
1998-12-01,114.7
1999-01-01,122.1
1999-02-01,121.8
1999-03-01,122.5
1999-04-01,119.6
1999-05-01,122.5
1999-06-01,122.2
1999-07-01,118.2
1999-08-01,122.8
1999-09-01,122.3
1999-10-01,119.6
1999-11-01,122.8
1999-12-01,122.2
2000-01-01,122.3
2000-02-01,119.9
2000-03-01,112.9
2000-04-01,116.6
2000-05-01,112
2000-06-01,108.7
2000-07-01,114.8
2000-08-01,119.1
2000-09-01,115.8
2000-10-01,115.6
2000-11-01,110.3
2000-12-01,112.3
2001-01-01,119.9
2001-02-01,109.5
2001-03-01,106.2
2001-04-01,103.6
2001-05-01,107.4
2001-06-01,108.6
