date,value
1976-09-01,35.8
1976-10-01,36.6
1976-11-01,37.2
1976-12-01,37.9
1977-01-01,38
1977-02-01,38.1
1977-03-01,38.6
1977-04-01,39.6
1977-05-01,40.3
1977-06-01,40.9
1977-07-01,41.5
1977-08-01,42
1977-09-01,42.5
1977-10-01,43.2
1977-11-01,43.6
1977-12-01,44.2
1978-01-01,44.5
1978-02-01,44.8
1978-03-01,45.3
1978-04-01,46.1
1978-05-01,47
1978-06-01,47.3
1978-07-01,47.6
1978-08-01,47.8
1978-09-01,48.4
1978-10-01,49.3
1978-11-01,49.9
1978-12-01,50.6
1979-01-01,50.7
1979-02-01,51.4
1979-03-01,52
1979-04-01,53.2
1979-05-01,54.1
1979-06-01,55.1
1979-07-01,55.7
1979-08-01,56.2
1979-09-01,57.1
1979-10-01,58
1979-11-01,58.9
1979-12-01,59.5
1980-01-01,59.9
1980-02-01,60.7
1980-03-01,61.5
1980-04-01,62.8
1980-05-01,64.1
1980-06-01,64.5
1980-07-01,65.6
1980-08-01,66.1
1980-09-01,66.6
1980-10-01,68
1980-11-01,68.8
1980-12-01,69.7
1981-01-01,70.6
1981-02-01,71.1
1981-03-01,72.2
1981-04-01,74
1981-05-01,75.8
1981-06-01,76.5
1981-07-01,77.9
1981-08-01,78.7
1981-09-01,79.5
1981-10-01,80.9
1981-11-01,81.8
1981-12-01,83
1982-01-01,84.3
1982-02-01,85
1982-03-01,86.2
1982-04-01,88.6
1982-05-01,89.6
1982-06-01,90
1982-07-01,91.2
1982-08-01,92
1982-09-01,92.7
1982-10-01,93.6
1982-11-01,94.2
1982-12-01,94.4
1983-01-01,94.9
1983-02-01,97
1983-03-01,99.2
1983-04-01,100.2
1983-05-01,101.1
1983-06-01,101.5
1983-07-01,101.8
1983-08-01,102.3
1983-09-01,102.6
1983-10-01,103.3
1983-11-01,104.7
1983-12-01,106.3
1984-01-01,106.9
1984-02-01,107.2
1984-03-01,109.1
1984-04-01,111.6
1984-05-01,112.6
1984-06-01,115.4
1984-07-01,115.2
1984-08-01,116.7
1984-09-01,118.8
1984-10-01,121.6
1984-11-01,123.4
1984-12-01,125.2
1985-01-01,126.7
1985-02-01,127.9
1985-03-01,130
1985-04-01,132.6
1985-05-01,135.3
1985-06-01,138.1
1985-07-01,140.6
1985-08-01,143
1985-09-01,145.7
1985-10-01,149.6
1985-11-01,152.2
1985-12-01,154.2
1986-01-01,155.2
1986-02-01,157.6
1986-03-01,159.7
1986-04-01,163.5
1986-05-01,165.9
1986-06-01,168.4
1986-07-01,173.1
1986-08-01,176.5
1986-09-01,178.2
1986-10-01,181.2
1986-11-01,182.4
1986-12-01,184.6
1987-01-01,186.1
1987-02-01,187.8
1987-03-01,189.8
1987-04-01,194.6
1987-05-01,198.1
