date,value
1976-09-01,20.2
1976-10-01,20.7
1976-11-01,21
1976-12-01,21.4
1977-01-01,21.1
1977-02-01,21.1
1977-03-01,21.3
1977-04-01,21.9
1977-05-01,22.4
1977-06-01,22.7
1977-07-01,23
1977-08-01,23.2
1977-09-01,23.4
1977-10-01,23.8
1977-11-01,24
1977-12-01,24.2
1978-01-01,24.4
1978-02-01,24.5
1978-03-01,24.8
1978-04-01,25.2
1978-05-01,25.9
1978-06-01,25.8
1978-07-01,25.9
1978-08-01,25.9
1978-09-01,26.2
1978-10-01,26.8
1978-11-01,27
1978-12-01,27.4
1979-01-01,27.3
1979-02-01,27.6
1979-03-01,28.1
1979-04-01,28.9
1979-05-01,29.5
1979-06-01,30.1
1979-07-01,30.5
1979-08-01,30.8
1979-09-01,31.4
1979-10-01,31.9
1979-11-01,32.6
1979-12-01,33
1980-01-01,33.1
1980-02-01,33.6
1980-03-01,34.1
1980-04-01,34.7
1980-05-01,35.7
1980-06-01,35.6
1980-07-01,36.4
1980-08-01,36.7
1980-09-01,36.9
1980-10-01,37.8
1980-11-01,38.2
1980-12-01,38.7
1981-01-01,39.2
1981-02-01,39.5
1981-03-01,40.1
1981-04-01,41.5
1981-05-01,42.9
1981-06-01,43
1981-07-01,43.9
1981-08-01,44.4
1981-09-01,44.9
1981-10-01,45.9
1981-11-01,46.6
1981-12-01,47.4
1982-01-01,48.4
1982-02-01,48.9
1982-03-01,49.8
1982-04-01,51.7
1982-05-01,52.3
1982-06-01,52.4
1982-07-01,53.4
1982-08-01,54
1982-09-01,54.4
1982-10-01,55.1
1982-11-01,55.4
1982-12-01,55.3
1983-01-01,55.6
1983-02-01,57.4
1983-03-01,59
1983-04-01,59.5
1983-05-01,60.1
1983-06-01,60.1
1983-07-01,60.1
1983-08-01,60.3
1983-09-01,60.2
1983-10-01,60.4
1983-11-01,61.3
1983-12-01,62.3
1984-01-01,62.4
1984-02-01,62.2
1984-03-01,63.6
1984-04-01,65.3
1984-05-01,65.5
1984-06-01,68
1984-07-01,67.8
1984-08-01,68.5
1984-09-01,69.9
1984-10-01,71.8
1984-11-01,73
1984-12-01,73.9
1985-01-01,74.5
1985-02-01,75.1
1985-03-01,76.6
1985-04-01,78.3
1985-05-01,80
1985-06-01,82
1985-07-01,83.6
1985-08-01,85.3
1985-09-01,87.4
1985-10-01,90.3
1985-11-01,92.2
1985-12-01,93.5
1986-01-01,94
1986-02-01,95.8
1986-03-01,97.5
1986-04-01,100.9
1986-05-01,103
1986-06-01,106.2
1986-07-01,110.7
1986-08-01,113.7
1986-09-01,114.9
1986-10-01,117.4
1986-11-01,118.1
1986-12-01,119.8
1987-01-01,120.6
1987-02-01,121.8
1987-03-01,123.5
1987-04-01,127.7
1987-05-01,130.5
1987-06-01,131.4
1987-07-01,135
1987-08-01,137.5
1987-09-01,139.5
1987-10-01,142.7
1987-11-01,146.4
1987-12-01,150.3
1988-01-01,154.7
1988-02-01,157.7
1988-03-01,161.1
1988-04-01,164.8
1988-05-01,168.2
1988-06-01,173.1
1988-07-01,176.1
1988-08-01,178.2
1988-09-01,181.9
1988-10-01,186.5
1988-11-01,189.5
1988-12-01,192
1989-01-01,176.6
1989-02-01,178.7
1989-03-01,181.5
1989-04-01,184.2
1989-05-01,188.6
1989-06-01,191.8
1989-07-01,192.8
1989-08-01,195.6
1989-09-01,198.7
1989-10-01,202.5
1989-11-01,204.2
1989-12-01,205.7
1990-01-01,201.3
1990-02-01,204.3
1990-03-01,208.8
1990-04-01,212.1
1990-05-01,213.2
1990-06-01,215
1990-07-01,216.4
1990-08-01,217.1
1990-09-01,218.2
1990-10-01,220
1990-11-01,219.9
1990-12-01,221
1991-01-01,220.2
1991-02-01,219.9
1991-03-01,219.3
1991-04-01,218.6
1991-05-01,217.6
1991-06-01,217
1991-07-01,215.9
1991-08-01,215.1
1991-09-01,214.4
1991-10-01,213.2
1991-11-01,212.3
1991-12-01,210.7
1992-01-01,209.3
1992-02-01,208.4
1992-03-01,206.5
1992-04-01,204.5
1992-05-01,204.1
1992-06-01,204
1992-07-01,199.7
1992-08-01,199.3
1992-09-01,200
1992-10-01,198.9
1992-11-01,197.4
1992-12-01,194.7
1993-01-01,194.4
1993-02-01,194.5
1993-03-01,194
1993-04-01,193.7
1993-05-01,193.6
1993-06-01,192.4
1993-07-01,191.6
1993-08-01,191
1993-09-01,191.1
1993-10-01,191.1
1993-11-01,191.3
1993-12-01,190.6
1994-01-01,188.9
1994-02-01,188.3
1994-03-01,188.6
1994-04-01,189
1994-05-01,189.6
1994-06-01,190.2
1994-07-01,191.9
1994-08-01,192.1
1994-09-01,191.8
1994-10-01,193.9
1994-11-01,194.4
1994-12-01,194.1
1995-01-01,193.3
1995-02-01,194.2
1995-03-01,195
1995-04-01,196.3
1995-05-01,198.2
1995-06-01,199.8
1995-07-01,200.9
1995-08-01,201.8
1995-09-01,207.2
1995-10-01,209.5
1995-11-01,212.3
1995-12-01,216.2
1996-01-01,217.7
1996-02-01,220.8
1996-03-01,224.3
1996-04-01,226.8
1996-05-01,227.3
1996-06-01,228.7
1996-07-01,232.9
1996-08-01,232.5
1996-09-01,234.3
1996-10-01,237.2
1996-11-01,237.5
1996-12-01,238.9
1997-01-01,239
1997-02-01,238.4
1997-03-01,240.9
1997-04-01,242.3
1997-05-01,245
1997-06-01,246.7
1997-07-01,252.7
1997-08-01,254.5
1997-09-01,257.3
1997-10-01,259.9
1997-11-01,262.5
1997-12-01,266.8
1998-01-01,266.7
1998-02-01,266
1998-03-01,269.4
1998-04-01,269.6
1998-05-01,270.1
1998-06-01,273.8
1998-07-01,277.9
1998-08-01,277.9
1998-09-01,281.6
1998-10-01,284.6
1998-11-01,286.4
1998-12-01,289.5
1999-01-01,290.1
1999-02-01,289.9
1999-03-01,293.5
1999-04-01,295.9
1999-05-01,295.8
1999-06-01,298.3
1999-07-01,299.4
1999-08-01,299.8
1999-09-01,302.4
1999-10-01,305.8
1999-11-01,307.5
1999-12-01,305.9
2000-01-01,305.4
2000-02-01,308.9
2000-03-01,310.8
2000-04-01,311
2000-05-01,314.3
2000-06-01,318.5
2000-07-01,320.1
2000-08-01,323.6
2000-09-01,325
2000-10-01,329.1
2000-11-01,329.1
2000-12-01,332.5
2001-01-01,333.7
2001-02-01,341.2
2001-03-01,342.5
2001-04-01,340.4
2001-05-01,342.3
2001-06-01,345.7
2001-07-01,340.2
2001-08-01,339.6
2001-09-01,345.4
2001-10-01,344.5
2001-11-01,349.2
2001-12-01,346.1
2002-01-01,342.9
2002-02-01,345.2
2002-03-01,348.4
2002-04-01,366.8
2002-05-01,366.7
2002-06-01,372.2
2002-07-01,372.2
2002-08-01,372
2002-09-01,378.3
2002-10-01,377.3
2002-11-01,372.4
2002-12-01,372.1
2003-01-01,372.8
2003-02-01,374.7
2003-03-01,379.8
2003-04-01,375
2003-05-01,374.4
2003-06-01,378.2
2003-07-01,365.9
2003-08-01,368.1
2003-09-01,370.7
2003-10-01,375.4
2003-11-01,377.9
2003-12-01,380.2
2004-01-01,380.7
2004-02-01,379.4
2004-03-01,381.8
2004-04-01,384.2
2004-05-01,387.8
2004-06-01,393.9
2004-07-01,394.7
2004-08-01,400.5
2004-09-01,402
2004-10-01,409.2
2004-11-01,411.8
2004-12-01,415.5
2005-01-01,415.6
2005-02-01,421.3
2005-03-01,424.5
2005-04-01,430.1
2005-05-01,435.6
2005-06-01,440
2005-07-01,442.1
2005-08-01,451.5
2005-09-01,456.7
2005-10-01,464.4
2005-11-01,471
2005-12-01,478.3
2006-01-01,482.1
2006-02-01,489.7
2006-03-01,497.1
2006-04-01,505.6
2006-05-01,511.3
2006-06-01,516.9
2006-07-01,521.7
2006-08-01,526.1
2006-09-01,531.1
2006-10-01,540.5
2006-11-01,551.3
2006-12-01,556.9
2007-01-01,562
2007-02-01,573.9
2007-03-01,581.4
2007-04-01,592.7
2007-05-01,601.9
2007-06-01,614.3
