date,value
1985-01-01,403.1
1985-02-01,454.3
1985-03-01,519.6
1985-04-01,465.9
1985-05-01,594.6
1985-06-01,579.5
1985-07-01,564
1985-08-01,563.6
1985-09-01,609
1985-10-01,603.7
1985-11-01,589.8
1985-12-01,589.7
1986-01-01,723.7
1986-02-01,644.6
1986-03-01,639.4
1986-04-01,713.6
1986-05-01,672.4
1986-06-01,685.7
1986-07-01,711.4
1986-08-01,714.6
1986-09-01,699.9
1986-10-01,755.5
1986-11-01,634.4
1986-12-01,756.1
1987-01-01,760.8
1987-02-01,804
1987-03-01,758.8
1987-04-01,812.6
1987-05-01,784.5
1987-06-01,784.3
1987-07-01,861.3
1987-08-01,797
1987-09-01,815.3
1987-10-01,813.3
1987-11-01,782.4
1987-12-01,901.9
1988-01-01,798.9
1988-02-01,1369.8
1988-03-01,1272.2
1988-04-01,794.2
1988-05-01,840.6
1988-06-01,894.7
1988-07-01,851.1
1988-08-01,938.6
1988-09-01,917.3
1988-10-01,918.3
1988-11-01,979.8
1988-12-01,915.8
1989-01-01,964
1989-02-01,860.7
1989-03-01,921.6
1989-04-01,1020.8
1989-05-01,1006.7
1989-06-01,990.2
1989-07-01,966.2
1989-08-01,1033.4
1989-09-01,1016.1
1989-10-01,939.8
1989-11-01,1044.9
1989-12-01,993.1
1990-01-01,1082.8
1990-02-01,1022
1990-03-01,1053.8
1990-04-01,1017.7
1990-05-01,902.2
1990-06-01,893.8
1990-07-01,1368.9
1990-08-01,920.8
1990-09-01,921.2
1990-10-01,1134.8
1990-11-01,1083.9
1990-12-01,1138.8
1991-01-01,1096.7
1991-02-01,1080.3
1991-03-01,1133.3
1991-04-01,1118.3
1991-05-01,1126.2
1991-06-01,1177.1
1991-07-01,1178.5
1991-08-01,1165
1991-09-01,1186.4
1991-10-01,1201.9
1991-11-01,1181.2
1991-12-01,1239.2
1992-01-01,1238.8
1992-02-01,1246.4
1992-03-01,1238.7
1992-04-01,1283.3
1992-05-01,1253.8
1992-06-01,1212.8
1992-07-01,1248.6
1992-08-01,1310
1992-09-01,1281.7
1992-10-01,1317.5
1992-11-01,1328.8
1992-12-01,1285.1
1993-01-01,1308.4
1993-02-01,1325.3
1993-03-01,1297.6
1993-04-01,1311.1
1993-05-01,1377.4
1993-06-01,1397.8
1993-07-01,1367.9
1993-08-01,1347.8
1993-09-01,1292.4
1993-10-01,1368.3
1993-11-01,1317.6
1993-12-01,1328.7
1994-01-01,1404.4
1994-02-01,1428.4
1994-03-01,1472
1994-04-01,1458.3
1994-05-01,1482.8
1994-06-01,1459.7
1994-07-01,1495
1994-08-01,1483.5
1994-09-01,1562.3
1994-10-01,1578.3
1994-11-01,1500.8
1994-12-01,1749.8
1995-01-01,1585.6
1995-02-01,1588.1
1995-03-01,1599.6
1995-04-01,1654.8
1995-05-01,1622.7
1995-06-01,1701
1995-07-01,1790.8
1995-08-01,1707.7
1995-09-01,1781.7
1995-10-01,1774.4
1995-11-01,1783
1995-12-01,2027
1996-01-01,1839.5
1996-02-01,1892.2
1996-03-01,1934.4
1996-04-01,1934.4
1996-05-01,1878.5
1996-06-01,1952.3
1996-07-01,1977.3
1996-08-01,2006.9
1996-09-01,2053.1
1996-10-01,2007.5
1996-11-01,2089.7
1996-12-01,2341.5
1997-01-01,2099.5
1997-02-01,2176.6
1997-03-01,2152.7
1997-04-01,2342
1997-05-01,2412.8
1997-06-01,2439.2
1997-07-01,2434.8
1997-08-01,2544.9
1997-09-01,2649.3
1997-10-01,2612.3
1997-11-01,2752.4
1997-12-01,2847.3
1998-01-01,2878.6
1998-02-01,2947.3
1998-03-01,3141.8
1998-04-01,2962.1
1998-05-01,3167.5
1998-06-01,3251
1998-07-01,3202.3
1998-08-01,3456
1998-09-01,3379.4
1998-10-01,3575.8
1998-11-01,3726.3
1998-12-01,3607.7
1999-01-01,3936.9
1999-02-01,3907.9
1999-03-01,4043.3
1999-04-01,4116.1
1999-05-01,4233
1999-06-01,4136.7
1999-07-01,4649.8
1999-08-01,4768.2
1999-09-01,4484.4
1999-10-01,4910.3
1999-11-01,4850.1
1999-12-01,4859.3
2000-01-01,4984.6
2000-02-01,5216.6
2000-03-01,5159
2000-04-01,5302.9
2000-05-01,5642.8
2000-06-01,6040.5
2000-07-01,5752.9
2000-08-01,5719.6
2000-09-01,6053.8
2000-10-01,6101.4
2000-11-01,6159.4
2000-12-01,6342.3
2001-01-01,6333.7
2001-02-01,6657.9
2001-03-01,6823.1
2001-04-01,6881.6
2001-05-01,6423.5
2001-06-01,6847.4
2001-07-01,6994.7
2001-08-01,6980.2
2001-09-01,7142.1
2001-10-01,7077.8
2001-11-01,7273.8
2001-12-01,7596.3
2002-01-01,9132
2002-02-01,9207
2002-03-01,9420.5
