date,value
1990-01-01,75.4
1990-02-01,76.2
1990-03-01,76.89999999999999
1990-04-01,76.9
1990-05-01,77.60000000000001
1990-06-01,78.39999999999999
1990-07-01,79.1
1990-08-01,80
1990-09-01,80.6
1990-10-01,81.4
1990-11-01,82.2
1990-12-01,83.2
1991-01-01,83.89999999999999
1991-02-01,84.5
1991-03-01,85.2
1991-04-01,85.8
1991-05-01,86.4
1991-06-01,87.2
1991-07-01,87.89999999999999
1991-08-01,88.5
1991-09-01,89.19999999999999
1991-10-01,90.5
1991-11-01,91.6
1991-12-01,93
1992-01-01,93.3
1992-02-01,93.9
1992-03-01,94.8
1992-04-01,95.7
1992-05-01,96.60000000000001
1992-06-01,97.6
1992-07-01,99.9
1992-08-01,100.80000000000001
1992-09-01,101.7
1992-10-01,103.39999999999999
1992-11-01,104.8
1992-12-01,106.4
1993-01-01,107.80000000000001
1993-02-01,108.80000000000001
1993-03-01,110.1
1993-04-01,111.8
1993-05-01,113.19999999999999
1993-06-01,114.9
1993-07-01,116.3
1993-08-01,117.8
1993-09-01,119.7
1993-10-01,121.7
1993-11-01,123.4
1993-12-01,125.9
1994-01-01,127.8
1994-02-01,129.7
1994-03-01,132
1994-04-01,134.4
1994-05-01,136.9
1994-06-01,139.5
1994-07-01,141.9
1994-08-01,144.4
1994-09-01,146.3
1994-10-01,148.4
1994-11-01,150.5
1994-12-01,152.9
1995-01-01,154.4
1995-02-01,155.8
1995-03-01,157.4
1995-04-01,158.6
1995-05-01,159.8
1995-06-01,161.2
1995-07-01,162.6
1995-08-01,163.9
1995-09-01,165.4
1995-10-01,168.2
1995-11-01,170
1995-12-01,172.29999999999998
1996-01-01,173.7
1996-02-01,175.1
1996-03-01,176.5
1996-04-01,178.1
1996-05-01,179.7
1996-06-01,181.2
1996-07-01,183.4
1996-08-01,185.1
1996-09-01,186.79999999999998
1996-10-01,188.39999999999998
1996-11-01,189.7
1996-12-01,192.1
1997-01-01,193.2
1997-02-01,194.7
1997-03-01,196
1997-04-01,198.29999999999998
1997-05-01,200.60000000000002
1997-06-01,202.7
1997-07-01,205.4
1997-08-01,207.7
1997-09-01,209.60000000000002
1997-10-01,211.60000000000002
1997-11-01,213.39999999999998
1997-12-01,216.10000000000002
1998-01-01,217.39999999999998
1998-02-01,219.2
1998-03-01,221
1998-04-01,224.3
1998-05-01,227
1998-06-01,229.9
1998-07-01,232.6
1998-08-01,234.9
1998-09-01,236.5
1998-10-01,238.10000000000002
1998-11-01,240.5
1998-12-01,243.4
1999-01-01,245.10000000000002
1999-02-01,247
1999-03-01,249.3
1999-04-01,252.6
1999-05-01,255.10000000000002
1999-06-01,258
1999-07-01,262.1
1999-08-01,265.3
1999-09-01,268.8
1999-10-01,271.8
1999-11-01,274.4
1999-12-01,280.5
2000-01-01,284.5
2000-02-01,288.70000000000005
2000-03-01,293.2
2000-04-01,296.7
2000-05-01,300.4
2000-06-01,304.7
2000-07-01,316.7
2000-08-01,319.7
2000-09-01,322
2000-10-01,324.4
2000-11-01,328
2000-12-01,330.3
2001-01-01,333.1
2001-02-01,336.6
2001-03-01,340
2001-04-01,343.4
2001-05-01,348.4
2001-06-01,353.29999999999995
2001-07-01,357.9
2001-08-01,363.1
2001-09-01,367.4
2001-10-01,374
2001-11-01,379.70000000000005
2001-12-01,385.20000000000005
2002-01-01,391.9
2002-02-01,397.29999999999995
2002-03-01,402.4
2002-04-01,403
2002-05-01,407.90000000000003
2002-06-01,413.5
2002-07-01,420.9
2002-08-01,427.1
2002-09-01,434.1
2002-10-01,439.2
2002-11-01,444.4
2002-12-01,451.20000000000005
2003-01-01,456.9
2003-02-01,462.5
2003-03-01,469.20000000000005
2003-04-01,475.1
2003-05-01,482.5
2003-06-01,492.6
2003-07-01,500.5
2003-08-01,508.1
2003-09-01,517.5
2003-10-01,525.7
2003-11-01,534.8
2003-12-01,544.0999999999999
2004-01-01,551.6
2004-02-01,558.7
2004-03-01,570.1
2004-04-01,577.5
2004-05-01,585.5
2004-06-01,594.5
2004-07-01,602.0999999999999
2004-08-01,609.2
2004-09-01,617
2004-10-01,624.9
2004-11-01,633.3
2004-12-01,642.3
2005-01-01,657.9000000000001
2005-02-01,658
2005-03-01,659.0999999999999
2005-04-01,665.9
2005-05-01,673.2
2005-06-01,682
2005-07-01,686.7
2005-08-01,693
2005-09-01,699.2
2005-10-01,707.3
2005-11-01,715.7
2005-12-01,723.7
2006-01-01,730.1
2006-02-01,736.9000000000001
2006-03-01,743.3
2006-04-01,751.6
2006-05-01,762.5999999999999
2006-06-01,774.6999999999999
2006-07-01,783.9000000000001
2006-08-01,793.4
2006-09-01,799
2006-10-01,806.5999999999999
2006-11-01,813.7
2006-12-01,819.6
2007-01-01,825.6
2007-02-01,831.5
2007-03-01,840.5
2007-04-01,847.9000000000001
2007-05-01,857.2
2007-06-01,872.4000000000001
2007-07-01,878.4
2007-08-01,886.3
2007-09-01,892.8
2007-10-01,900.2
2007-11-01,908.4000000000001
2007-12-01,917.2
2008-01-01,923.3000000000001
2008-02-01,928.8
2008-03-01,935.7
2008-04-01,942.5
2008-05-01,949.4
2008-06-01,962.9000000000001
2008-07-01,968.0999999999999
2008-08-01,972.0999999999999
2008-09-01,980.8
2008-10-01,984.9
2008-11-01,986.3
2008-12-01,993.2
2009-01-01,997.1999999999999
2009-02-01,1001.7
2009-03-01,1011.2
2009-04-01,1017.6
2009-05-01,1025.1999999999998
2009-06-01,1037.6
2009-07-01,1043.3
2009-08-01,1049.9
2009-09-01,1056.8
2009-10-01,1064.3
2009-11-01,1071.1
2009-12-01,1079.6
2010-01-01,1084.9
2010-02-01,1092
2010-03-01,1100.8000000000002
2010-04-01,1107.3
2010-05-01,1115.7
2010-06-01,1125.7
2010-07-01,1130.6999999999998
2010-08-01,1136.4
2010-09-01,1140.9
2010-10-01,1146.8
2010-11-01,1152.7
2010-12-01,1160.5
2011-01-01,1165.4
2011-02-01,1170.1
2011-03-01,1175.2
2011-04-01,1180.2
2011-05-01,1187
2011-06-01,1187.2
2011-07-01,1192
2011-08-01,1196.7
2011-09-01,1201.2
2011-10-01,1206
2011-11-01,1206.6
2011-12-01,1211.6
2012-01-01,1216.1
2012-02-01,1220.6
2012-03-01,1225.4
2012-04-01,1230.1
2012-05-01,1236.3
2012-06-01,1243.6
2012-07-01,1251.2
2012-08-01,1254.8
2012-09-01,1256.4
2012-10-01,1260.6999999999998
2012-11-01,1266
2012-12-01,1270.3
2013-01-01,1274
2013-02-01,1277.1
2013-03-01,1282
2013-04-01,1287.8000000000002
2013-05-01,1294
2013-06-01,1302.5
2013-07-01,1299.1
2013-08-01,1303.9
2013-09-01,1309
2013-10-01,1314.2
2013-11-01,1321.6
2013-12-01,1329.6999999999998
2014-01-01,1333.5
2014-02-01,1339.3
2014-03-01,1345.6
2014-04-01,1353.8
2014-05-01,1362.1
2014-06-01,1372.7
2014-07-01,1378.3
2014-08-01,1384.7
2014-09-01,1391.9
2014-10-01,1400.2
2014-11-01,1409.4
2014-12-01,1418.8
2015-01-01,1426.6
2015-02-01,1433.3
2015-03-01,1442.3000000000002
2015-04-01,1450.7
2015-05-01,1460.1
2015-06-01,1473.8000000000002
2015-07-01,1480.1
2015-08-01,1488.8
2015-09-01,1496.6999999999998
2015-10-01,1497.9
2015-11-01,1508.1999999999998
2015-12-01,1517.4
2016-01-01,1524.5
2016-02-01,1531.4
2016-03-01,1538.3
2016-04-01,1545.4
2016-05-01,1554.1
2016-06-01,1565
2016-07-01,1570
2016-08-01,1577.6999999999998
2016-09-01,1585.3000000000002
2016-10-01,1595.1
2016-11-01,1604.9
2016-12-01,1615.1999999999998
2017-01-01,1630.2
2017-02-01,1637.5
2017-03-01,1646
2017-04-01,1654.1
2017-05-01,1664.5
2017-06-01,1677.8000000000002
