date,value
1978-02-01,5997.4225675
1978-03-01,6002.8757297
1978-04-01,6030.6724777
1978-05-01,6033.0860827
1978-06-01,6033.814623
1978-07-01,6030.452414
1978-08-01,6036.2741545
1978-09-01,6030.8036539
1978-10-01,6035.7932808
1978-11-01,6028.1120829
1978-12-01,6053.0798643
1979-01-01,6050.9434393
1979-02-01,6063.4302248
1979-03-01,6055.5338042
1979-04-01,6064.5982668
1979-05-01,6070.2242379
1979-06-01,6099.3486111
1979-07-01,6097.4174578
1979-08-01,6114.7511244
1979-09-01,6116.7698184
1979-10-01,6152.0615673
1979-11-01,6180.3996451
1979-12-01,6183.8818706
1980-01-01,6203.7519221
1980-02-01,6221.7908982
1980-03-01,6232.7949858
1980-04-01,6246.6025731
1980-05-01,6267.9022853
1980-06-01,6275.3664428
1980-07-01,6306.5696626
1980-08-01,6315.5692972
1980-09-01,6317.6430563
1980-10-01,6306.9421621
1980-11-01,6328.5467486
1980-12-01,6351.3973128
1981-01-01,6357.3324141
1981-02-01,6372.7877259
1981-03-01,6376.5106386
1981-04-01,6404.0288084
1981-05-01,6405.0949465
1981-06-01,6420.8078437
1981-07-01,6418.4361352
1981-08-01,6434.4408181
1981-09-01,6459.224763
1981-10-01,6429.8137759
1981-11-01,6416.8631302
1981-12-01,6430.0354899
1982-01-01,6469.0773363
1982-02-01,6450.344727
1982-03-01,6443.1059575
1982-04-01,6455.7352816
1982-05-01,6432.7855059
1982-06-01,6420.7828063
1982-07-01,6419.8930195
1982-08-01,6416.4048482
1982-09-01,6400.7314464
1982-10-01,6402.8762793
1982-11-01,6345.635825
1982-12-01,6295.5588264
1983-01-01,6296.5661589
1983-02-01,6289.3607433
1983-03-01,6255.7088925
1983-04-01,6232.9118184
1983-05-01,6263.8076871
1983-06-01,6271.1586308
1983-07-01,6276.6765565
1983-08-01,6283.0150166
1983-09-01,6316.7205405
1983-10-01,6317.2683519
1983-11-01,6354.2053321
1983-12-01,6378.969236
1984-01-01,6379.984816
1984-02-01,6392.0476794
1984-03-01,6447.5929636
1984-04-01,6454.1322641
1984-05-01,6479.5031053
1984-06-01,6501.6047444
1984-07-01,6510.5507006
1984-08-01,6508.0112665
1984-09-01,6537.9586875
1984-10-01,6534.7183496
1984-11-01,6549.9918625
1984-12-01,6553.754793
1985-01-01,6561.4052304
1985-02-01,6626.1294896
1985-03-01,6600.9282958
1985-04-01,6611.2068913
1985-05-01,6646.1892643
1985-06-01,6660.1497012
1985-07-01,6685.3839114
1985-08-01,6727.4246498
1985-09-01,6771.7136968
1985-10-01,6756.2008924
1985-11-01,6855.2412577
1985-12-01,6822.6376012
1986-01-01,6869.2860007
1986-02-01,6892.1780488
1986-03-01,6902.5646698
1986-04-01,6971.4056016
1986-05-01,6965.0254032
1986-06-01,7005.3956696
1986-07-01,6987.5747005
1986-08-01,6969.2158668
1986-09-01,6994.270455
1986-10-01,7018.7939732
1986-11-01,7008.0019027
1986-12-01,7024.5682323
1987-01-01,7024.8828129
1987-02-01,7056.5844713
1987-03-01,7070.0789739
1987-04-01,7084.5791796
1987-05-01,7089.7773983
1987-06-01,7125.4487092
1987-07-01,7171.2249818
1987-08-01,7149.664786
1987-09-01,7137.5405054
1987-10-01,7167.1498859
1987-11-01,7157.1462971
1987-12-01,7234.8551407
1988-01-01,7296.5356588
1988-02-01,7282.0198711
1988-03-01,7329.5673686
1988-04-01,7359.8722263
1988-05-01,7343.0324831
