date,value
2013-09-01,3.331
2013-10-01,3.351
2013-11-01,3.462
2013-12-01,3.461
2014-01-01,3.409
2014-02-01,3.408
2014-03-01,3.411
2014-04-01,3.398
2014-05-01,3.2
2014-06-01,3.118
2014-07-01,2.937
2014-08-01,2.922
2014-09-01,3.041
2014-10-01,2.839
2014-11-01,2.767
2014-12-01,2.435
2015-01-01,2.208
2015-02-01,2.012
2015-03-01,1.978
2015-04-01,1.947
2015-05-01,2.271
2015-06-01,2.288
2015-07-01,2.204
2015-08-01,2.1
2015-09-01,2.101
2015-10-01,2.072
2015-11-01,2.279
2015-12-01,2.284
2016-01-01,2.147
2016-02-01,1.991
2016-03-01,2.134
2016-04-01,2.091
2016-05-01,1.832
2016-06-01,1.721
2016-07-01,1.615
2016-08-01,1.537
2016-09-01,1.695
2016-10-01,1.842
2016-11-01,2.016
2016-12-01,2.242
2017-01-01,2.211
2017-02-01,2.217
2017-03-01,2.294
2017-04-01,2.088
2017-05-01,2.05
2017-06-01,1.987
2017-07-01,2.212
2017-08-01,2.186
2017-09-01,2.297
2017-10-01,2.338
2017-11-01,2.172
2017-12-01,2.272
2018-01-01,2.408
2018-02-01,2.415
2018-03-01,2.357
2018-04-01,2.415
2018-05-01,2.415
2018-06-01,2.357
2018-07-01,2.29
2018-08-01,2.239
2018-09-01,2.248
2018-10-01,2.278
2018-11-01,2.32
2018-12-01,2.097
2019-01-01,1.912
2019-02-01,1.743
2019-03-01,1.589
2019-04-01,1.481
2019-05-01,1.291
2019-06-01,1.066
2019-07-01,0.996
2019-08-01,0.713
2019-09-01,0.81
2019-10-01,0.766
2019-11-01,0.858
2019-12-01,0.874
2020-01-01,0.853
2020-02-01,0.738
2020-03-01,0.5
2020-04-01,0.421
2020-05-01,0.395
2020-06-01,0.403
2020-07-01,0.425
2020-08-01,0.425
2020-09-01,0.393
2020-10-01,0.291
2020-11-01,0.286
2020-12-01,0.343
2021-01-01,0.373
2021-02-01,0.485
2021-03-01,0.708
2021-04-01,0.692
2021-05-01,0.7
2021-06-01,0.732
2021-07-01,0.637
2021-08-01,0.575
2021-09-01,0.664
2021-10-01,1.105
2021-11-01,1.376
2021-12-01,1.324
2022-01-01,1.543
2022-02-01,1.813
2022-03-01,2.21
2022-04-01,2.774
2022-05-01,3.091
2022-06-01,3.495
2022-07-01,3.158
2022-08-01,3.149
2022-09-01,3.504
2022-10-01,3.61
2022-11-01,3.421
2022-12-01,3.306
2023-01-01,3.329
2023-02-01,3.465
2023-03-01,3.203
2023-04-01,3.055
2023-05-01,3.216
2023-06-01,3.78
2023-07-01,3.909
2023-08-01,3.858
2023-09-01,3.935
2023-10-01,4.235
2023-11-01,4.253
2023-12-01,3.86
2024-01-01,3.8
2024-02-01,3.779
2024-03-01,3.714
2024-04-01,3.917
2024-05-01,4.02
2024-06-01,3.976
2024-07-01,4.055
2024-08-01,3.64
2024-09-01,3.559
2024-10-01,3.892
2024-11-01,4.168
2024-12-01,3.934
2025-01-01,4.038
2025-02-01,3.963
2025-03-01,3.905
2025-04-01,3.6
2025-05-01,3.668
2025-06-01,3.523
2025-07-01,3.604
2025-08-01,3.591
2025-09-01,3.654
2025-10-01,3.646
2025-11-01,3.904
2025-12-01,4.254
2026-01-01,4.301
2026-02-01,4.373
2026-03-01,4.621
2026-04-01,4.683
