date,value
1978-02-01,5079.3159697
1978-03-01,5095.059196
1978-04-01,5119.4540516
1978-05-01,5118.7534854
1978-06-01,5104.131977
1978-07-01,5096.5619289
1978-08-01,5098.1304445
1978-09-01,5106.9854116
1978-10-01,5107.7601576
1978-11-01,5103.6665206
1978-12-01,5112.5982043
1979-01-01,5120.3625675
1979-02-01,5129.3708767
1979-03-01,5124.0937055
1979-04-01,5121.1448457
1979-05-01,5118.5187576
1979-06-01,5153.0861818
1979-07-01,5148.4192532
1979-08-01,5166.8151251
1979-09-01,5161.6290839
1979-10-01,5186.1096754
1979-11-01,5207.644737
1979-12-01,5211.3169286
1980-01-01,5216.3918465
1980-02-01,5242.4536809
1980-03-01,5252.8206757
1980-04-01,5261.0057657
1980-05-01,5303.4895228
1980-06-01,5282.8932548
1980-07-01,5294.5802334
1980-08-01,5306.9466037
1980-09-01,5295.6668807
1980-10-01,5296.4251189
1980-11-01,5298.0015197
1980-12-01,5326.9273658
1981-01-01,5340.727353
1981-02-01,5349.0569817
1981-03-01,5340.0627576
1981-04-01,5379.3319692
1981-05-01,5363.448186
1981-06-01,5380.6430531
1981-07-01,5383.3172946
1981-08-01,5393.3382027
1981-09-01,5411.0181589
1981-10-01,5390.3957203
1981-11-01,5386.5695127
1981-12-01,5413.882669
1982-01-01,5435.0751244
1982-02-01,5417.6706126
1982-03-01,5403.2141501
1982-04-01,5403.0932891
1982-05-01,5385.886515
1982-06-01,5374.1220782
1982-07-01,5359.0548987
1982-08-01,5340.5394428
1982-09-01,5333.1308951
1982-10-01,5301.8026966
1982-11-01,5268.2054549
1982-12-01,5198.1189755
1983-01-01,5200.7574974
1983-02-01,5184.4472173
1983-03-01,5160.4388179
1983-04-01,5167.2352231
1983-05-01,5187.8858525
1983-06-01,5191.0038094
1983-07-01,5202.5527519
1983-08-01,5202.0723539
1983-09-01,5262.0369162
1983-10-01,5242.3676435
1983-11-01,5262.9212733
1983-12-01,5274.3507632
1984-01-01,5275.4522535
1984-02-01,5282.3788027
1984-03-01,5327.8445536
1984-04-01,5319.3501908
1984-05-01,5339.4399535
1984-06-01,5363.7058221
1984-07-01,5358.4612289
1984-08-01,5373.0051748
1984-09-01,5365.9162203
1984-10-01,5372.5985588
1984-11-01,5398.9786318
1984-12-01,5408.7503037
1985-01-01,5406.9870847
1985-02-01,5439.8252324
1985-03-01,5443.9691004
1985-04-01,5434.9371716
1985-05-01,5456.8531305
1985-06-01,5467.0507862
1985-07-01,5482.554895
1985-08-01,5520.9527239
1985-09-01,5551.7509693
1985-10-01,5524.1690458
1985-11-01,5597.3412865
1985-12-01,5591.5130247
1986-01-01,5629.1002039
1986-02-01,5654.7930289
1986-03-01,5638.7570222
1986-04-01,5652.930636
1986-05-01,5654.4698253
