date,value
1978-07-01,907139.034368
1978-08-01,910530.453237
1978-09-01,908787.925527
1978-10-01,910151.258549
1978-11-01,908885.552387
1978-12-01,913259.654595
1979-01-01,910982.117357
1979-02-01,915858.057688
1979-03-01,917715.011671
1979-04-01,927218.120375
1979-05-01,926706.85751
1979-06-01,947576.719813
1979-07-01,922414.827677
1979-08-01,929200.442449
1979-09-01,929754.332664
1979-10-01,932679.789964
1979-11-01,935875.17146
1979-12-01,937910.329959
1980-01-01,941128.995337
1980-02-01,940302.512926
1980-03-01,941877.98734
1980-04-01,940320.078523
1980-05-01,947844.199639
1980-06-01,980849.391423
1980-07-01,955868.658722
1980-08-01,953751.734705
1980-09-01,957792.60333
1980-10-01,961123.073345
1980-11-01,956963.45369
1980-12-01,958530.731486
1981-01-01,956164.595504
1981-02-01,960391.499089
1981-03-01,959933.606924
1981-04-01,976911.74781
1981-05-01,963142.579664
1981-06-01,966168.343947
1981-07-01,968189.176566
1981-08-01,964437.34492
1981-09-01,976581.77678
1981-10-01,965064.760077
1981-11-01,957267.5792
1981-12-01,969490.544088
1982-01-01,967051.980345
1982-02-01,968609.184936
1982-03-01,967322.894931
1982-04-01,960818.72252
1982-05-01,959004.761192
1982-06-01,954932.516349
1982-07-01,954612.839045
1982-08-01,950012.625068
1982-09-01,946009.797092
1982-10-01,952479.083852
1982-11-01,937733.173547
1982-12-01,928493.835698
1983-01-01,920032.677556
1983-02-01,921897.904205
1983-03-01,924040.794698
1983-04-01,915337.116199
1983-05-01,917496.644339
1983-06-01,920444.41178
1983-07-01,922700.848518
1983-08-01,930612.213575
1983-09-01,932465.202193
1983-10-01,937420.554803
1983-11-01,947714.626819
1983-12-01,947571.872334
1984-01-01,957359.745839
1984-02-01,946555.995149
1984-03-01,957248.056888
1984-04-01,970854.235104
1984-05-01,970705.912365
1984-06-01,968913.029953
1984-07-01,969424.362945
1984-08-01,973467.213394
1984-09-01,971593.527946
1984-10-01,972828.896944
1984-11-01,971140.816519
1984-12-01,976724.117232
1985-01-01,977033.952199
1985-02-01,978780.488675
1985-03-01,979368.869438
1985-04-01,976655.111105
1985-05-01,991581.365862
1985-06-01,989363.644926
1985-07-01,992004.059272
1985-08-01,999751.552478
1985-09-01,1003014.747713
1985-10-01,1004333.259228
1985-11-01,1016182.154914
1985-12-01,1016521.950013
1986-01-01,1030303.678951
1986-02-01,1024164.460134
1986-03-01,1032533.910108
1986-04-01,1038867.283914
1986-05-01,1023680.725868
1986-06-01,1042653.169943
1986-07-01,1038546.54894
1986-08-01,1039029.279497
1986-09-01,1040284.555797
1986-10-01,1046334.390935
1986-11-01,1041290.000671
1986-12-01,1044766.025922
1987-01-01,1037393.924086
1987-02-01,1046335.797897
1987-03-01,1045633.709305
1987-04-01,1064637.487942
1987-05-01,1047491.57516
1987-06-01,1060324.593078
1987-07-01,1068763.238672
1987-08-01,1057898.584464
1987-09-01,1066296.695994
1987-10-01,1070740.518763
1987-11-01,1069001.762344
1987-12-01,1081177.786003
1988-01-01,1082129.565649
1988-02-01,1089666.384612
1988-03-01,1087514.395232
1988-04-01,1074424.55978
1988-05-01,1096417.171457
1988-06-01,1090605.138872
1988-07-01,1072824.951868
1988-08-01,1104545.53088
1988-09-01,1113486.252272
1988-10-01,1118251.562753
1988-11-01,1124761.623083
1988-12-01,1122897.929443
1989-01-01,1129723.375876
1989-02-01,1146726.919537
1989-03-01,1144542.731532
1989-04-01,1137641.44713
1989-05-01,1148405.478683
1989-06-01,1151204.834949
1989-07-01,1152993.632725
1989-08-01,1164809.017851
1989-09-01,1162377.968431
1989-10-01,1167182.261447
1989-11-01,1172415.877484
1989-12-01,1168575.247845
1990-01-01,1153943.722541
1990-02-01,1166275.59743
1990-03-01,1172315.938269
1990-04-01,1183055.80981
1990-05-01,1173043.22637
1990-06-01,1172707.656871
1990-07-01,1184283.392047
1990-08-01,1164647.608527
1990-09-01,1165025.029103
1990-10-01,1150157.0788129999
1990-11-01,1149451.688593
1990-12-01,1151776.127774
1991-01-01,1142433.906902
1991-02-01,1138416.587115
1991-03-01,1131661.112332
1991-04-01,1126447.154349
1991-05-01,1130761.237956
1991-06-01,1123573.996855
1991-07-01,1127664.542953
1991-08-01,1120620.148604
1991-09-01,1125018.06436
1991-10-01,1127160.602168
1991-11-01,1124943.406562
1991-12-01,1120921.779346
1992-01-01,1121178.12617
1992-02-01,1118754.350144
1992-03-01,1125159.432489
1992-04-01,1119790.947579
1992-05-01,1117202.84025
1992-06-01,1122630.212118
1992-07-01,1122578.296389
1992-08-01,1124343.465015
1992-09-01,1122409.802771
1992-10-01,1121939.88643
1992-11-01,1116387.397571
1992-12-01,1119384.724369
1993-01-01,1127757.778544
1993-02-01,1125522.031893
1993-03-01,1137974.245342
1993-04-01,1130088.851129
1993-05-01,1128686.847774
1993-06-01,1130359.844693
1993-07-01,1127433.718976
1993-08-01,1135811.246785
1993-09-01,1133655.858713
1993-10-01,1139283.100719
1993-11-01,1156260.657804
1993-12-01,1156527.256747
1994-01-01,1157687.084859
1994-02-01,1154567.987938
1994-03-01,1158461.953007
1994-04-01,1164263.572304
1994-05-01,1174234.370919
1994-06-01,1172631.201217
1994-07-01,1182694.760824
1994-08-01,1189273.011001
1994-09-01,1190048.912806
1994-10-01,1189088.998849
1994-11-01,1191188.701597
1994-12-01,1195718.238216
1995-01-01,1199996.237547
1995-02-01,1204761.381274
1995-03-01,1207019.955014
1995-04-01,1225018.542295
1995-05-01,1218126.037107
1995-06-01,1223871.002379
1995-07-01,1224949.778813
1995-08-01,1222971.527501
1995-09-01,1227399.575872
1995-10-01,1229679.629704
1995-11-01,1232887.366947
1995-12-01,1228342.190107
1996-01-01,1240500.503896
1996-02-01,1233869.904742
1996-03-01,1234038.475082
1996-04-01,1238277.661193
1996-05-01,1224975.723139
1996-06-01,1229475.235164
1996-07-01,1231949.427894
1996-08-01,1233358.27214
1996-09-01,1230930.699469
1996-10-01,1235509.23287
1996-11-01,1231223.615079
1996-12-01,1229806.233372
1997-01-01,1236409.202573
1997-02-01,1239681.718035
1997-03-01,1239633.234847
1997-04-01,1239260.578809
1997-05-01,1236067.208735
1997-06-01,1239637.622148
1997-07-01,1234964.734625
1997-08-01,1234847.695053
1997-09-01,1242222.162564
1997-10-01,1242526.967304
1997-11-01,1249135.171185
1997-12-01,1252126.963556
1998-01-01,1250859.41994
1998-02-01,1248376.238825
1998-03-01,1248551.004127
1998-04-01,1252578.658356
1998-05-01,1249103.552904
1998-06-01,1255163.526316
1998-07-01,1253419.529042
1998-08-01,1249833.69434
1998-09-01,1252514.721304
1998-10-01,1259763.254334
1998-11-01,1260274.672295
1998-12-01,1260942.540718
1999-01-01,1257327.446929
1999-02-01,1263941.20271
1999-03-01,1271533.472904
1999-04-01,1271939.934161
1999-05-01,1269957.34596
1999-06-01,1262838.111568
1999-07-01,1274327.876717
1999-08-01,1286679.228469
1999-09-01,1285029.781726
1999-10-01,1299066.571259
1999-11-01,1299385.214017
1999-12-01,1305938.205735
2000-01-01,1321683.151717
2000-02-01,1297673.96827
2000-03-01,1299881.356887
2000-04-01,1294965.165891
2000-05-01,1309664.858286
2000-06-01,1333168.789844
2000-07-01,1336709.970001
2000-08-01,1321484.868102
2000-09-01,1323573.769265
2000-10-01,1309569.329359
2000-11-01,1302411.869297
2000-12-01,1297703.642939
2001-01-01,1304971.245834
2001-02-01,1305178.046509
2001-03-01,1300890.099545
2001-04-01,1303145.323338
2001-05-01,1311159.72274
2001-06-01,1301809.068899
2001-07-01,1306257.144343
2001-08-01,1302195.006519
2001-09-01,1306659.13242
2001-10-01,1303708.15162
2001-11-01,1308477.400127
2001-12-01,1313287.410243
2002-01-01,1297646.238497
2002-02-01,1319191.955649
2002-03-01,1330460.368228
2002-04-01,1316516.99243
2002-05-01,1323687.304881
2002-06-01,1316422.734983
2002-07-01,1319758.869091
2002-08-01,1330394.210988
2002-09-01,1332615.621071
2002-10-01,1325106.417381
2002-11-01,1344153.660929
2002-12-01,1343816.671943
2003-01-01,1350868.37338
2003-02-01,1349215.244618
2003-03-01,1349257.368286
2003-04-01,1347745.860608
2003-05-01,1342988.487419
2003-06-01,1348513.202577
2003-07-01,1350224.385204
2003-08-01,1345651.73693
2003-09-01,1347416.323717
2003-10-01,1352221.508366
2003-11-01,1358277.913647
2003-12-01,1360209.89357
2004-01-01,1357997.85918
2004-02-01,1363104.977831
2004-03-01,1364416.975709
2004-04-01,1367703.145708
2004-05-01,1365716.194675
2004-06-01,1372044.527719
2004-07-01,1356462.463716
2004-08-01,1372945.319775
2004-09-01,1379617.464367
2004-10-01,1385317.479071
2004-11-01,1388476.59061
2004-12-01,1396563.349551
2005-01-01,1408063.319744
2005-02-01,1407769.370519
2005-03-01,1413078.851388
2005-04-01,1416298.625755
2005-05-01,1414838.960354
2005-06-01,1424136.330718
2005-07-01,1418527.404121
2005-08-01,1425120.956691
2005-09-01,1419933.563375
2005-10-01,1416778.96479
2005-11-01,1416967.672722
2005-12-01,1424335.077438
2006-01-01,1405558.189395
2006-02-01,1423832.414862
2006-03-01,1429515.161723
2006-04-01,1424643.368426
2006-05-01,1446415.657858
2006-06-01,1441609.437297
2006-07-01,1450329.030879
2006-08-01,1454390.90155
2006-09-01,1457518.247911
2006-10-01,1462625.617055
2006-11-01,1456659.341696
2006-12-01,1471819.046346
2007-01-01,1438346.164663
2007-02-01,1470860.17125
2007-03-01,1481815.55726
2007-04-01,1481737.120681
2007-05-01,1490633.537221
2007-06-01,1484241.138413
2007-07-01,1494987.861091
2007-08-01,1495254.486279
2007-09-01,1483769.987679
2007-10-01,1511445.775469
2007-11-01,1513983.378876
2007-12-01,1506067.201877
2008-01-01,1504632.327854
2008-02-01,1522577.93231
2008-03-01,1521803.172037
2008-04-01,1526981.236249
2008-05-01,1530719.616623
2008-06-01,1532947.549163
2008-07-01,1548564.265782
2008-08-01,1541023.512729
2008-09-01,1536940.303193
2008-10-01,1536060.192028
2008-11-01,1528769.634543
2008-12-01,1525824.812494
2009-01-01,1546780.660195
2009-02-01,1512455.240201
2009-03-01,1511482.068942
2009-04-01,1517115.073483
2009-05-01,1503366.852278
2009-06-01,1507467.60125
2009-07-01,1500898.885811
2009-08-01,1503142.209107
2009-09-01,1516077.694502
2009-10-01,1508502.273153
2009-11-01,1528150.175134
2009-12-01,1529816.393519
2010-01-01,1533289.804075
2010-02-01,1536450.317229
2010-03-01,1525015.224913
2010-04-01,1537575.720275
2010-05-01,1554844.446361
2010-06-01,1554470.577225
2010-07-01,1548283.761568
2010-08-01,1563072.239675
2010-09-01,1562187.123135
2010-10-01,1568722.962998
2010-11-01,1571468.112718
2010-12-01,1570249.138945
2011-01-01,1581319.324084
2011-02-01,1580342.405429
2011-03-01,1581052.041162
2011-04-01,1554575.374372
2011-05-01,1575046.704604
2011-06-01,1583291.766659
2011-07-01,1583696.96352
2011-08-01,1585316.499459
2011-09-01,1582377.00963
2011-10-01,1593789.551983
2011-11-01,1586909.015775
2011-12-01,1589804.06992
2012-01-01,1590844.779456
2012-02-01,1587222.186606
2012-03-01,1596143.370872
2012-04-01,1595844.213716
2012-05-01,1606022.62664
2012-06-01,1578626.889349
2012-07-01,1588799.550773
2012-08-01,1587887.488501
2012-09-01,1598007.743817
2012-10-01,1586261.623704
2012-11-01,1600310.628614
2012-12-01,1600709.488257
2013-01-01,1600452.455015
2013-02-01,1602294.017789
2013-03-01,1595493.635241
2013-04-01,1607694.460637
2013-05-01,1605479.713712
2013-06-01,1603711.295289
2013-07-01,1613627.449329
2013-08-01,1618040.796735
2013-09-01,1605587.767677
2013-10-01,1603293.171432
2013-11-01,1602750.681632
2013-12-01,1601880.658831
2014-01-01,1594796.689783
