date,value
2012-07-01,43705.7
2012-08-01,44242.9
2012-09-01,44169
2012-10-01,44138.6
2012-11-01,43978.1
2012-12-01,44306.7
2013-01-01,44651.5
2013-02-01,44945.9
2013-03-01,44719.2
2013-04-01,44763.2
2013-05-01,45111.3
2013-06-01,44974.3
2013-07-01,45301.9
2013-08-01,45573.5
2013-09-01,45540.9
2013-10-01,45286.4
2013-11-01,45767.5
2013-12-01,46306.6
2014-01-01,46405.5
2014-02-01,46272
2014-03-01,46782.5
2014-04-01,46795.2
2014-05-01,46767.9
2014-06-01,46754.3
2014-07-01,47340.1
2014-08-01,46932.9
2014-09-01,47389
2014-10-01,47590.7
2014-11-01,47488.7
2014-12-01,47426.5
2015-01-01,47383.4
2015-02-01,48276.6
2015-03-01,48351.4
2015-04-01,48319.6
2015-05-01,48348.9
2015-06-01,48924.2
2015-07-01,49180
2015-08-01,49134.7
2015-09-01,49237.4
2015-10-01,49707.2
2015-11-01,49256.4
2015-12-01,49191.4
2016-01-01,49387.9
2016-02-01,49454
2016-03-01,49612.6
2016-04-01,50287.9
2016-05-01,50328.4
2016-06-01,50688.3
2016-07-01,50366.7
2016-08-01,50682.9
2016-09-01,50571
2016-10-01,50876.9
2016-11-01,50867.1
2016-12-01,51417.2
2017-01-01,51565.3
2017-02-01,51490
2017-03-01,51442.5
2017-04-01,51712.2
2017-05-01,52036.7
2017-06-01,52131.4
2017-07-01,52008.1
2017-08-01,51893.4
2017-09-01,52284
2017-10-01,52630.1
2017-11-01,53414.6
2017-12-01,53582.1
2018-01-01,53207.1
2018-02-01,54152.3
2018-03-01,53607.8
2018-04-01,54161.4
2018-05-01,54865.9
2018-06-01,55497.9
2018-07-01,54915.5
2018-08-01,55203.2
2018-09-01,55262.8
2018-10-01,55575.5
2018-11-01,55935.8
2018-12-01,55864.6
2019-01-01,55756.3
2019-02-01,55252.7
2019-03-01,55624.8
2019-04-01,54714.1
2019-05-01,55036.1
2019-06-01,54820.3
2019-07-01,55023.2
2019-08-01,55188.7
2019-09-01,54876.2
2019-10-01,55054.8
2019-11-01,54599.1
2019-12-01,55315.6
2020-01-01,55411.6
2020-02-01,53904.1
2020-03-01,52287.4
2020-04-01,41839.5
2020-05-01,49181.7
2020-06-01,52515.4
2020-07-01,54932.6
2020-08-01,51763.4
2020-09-01,51727.2
2020-10-01,52750.9
2020-11-01,54484.2
2020-12-01,54902.1
2021-01-01,54353.2
2021-02-01,53695.5
2021-03-01,54941
2021-04-01,55442.4
2021-05-01,55546.6
2021-06-01,54508.7
2021-07-01,52814.1
2021-08-01,51543.7
2021-09-01,53022.6
2021-10-01,56261.3
2021-11-01,58901.9
2021-12-01,59507.9
2022-01-01,59253.4
2022-02-01,61876
2022-03-01,63049
2022-04-01,64569.1
2022-05-01,65397.1
2022-06-01,66104.6
2022-07-01,67425.1
2022-08-01,67624
2022-09-01,68543.4
2022-10-01,69637.6
2022-11-01,69262.5
2022-12-01,69423.8
2023-01-01,70435.1
2023-02-01,70578.5
2023-03-01,70386
2023-04-01,71179.3
2023-05-01,71189
2023-06-01,71163.2
2023-07-01,71260.8
2023-08-01,71797.8
2023-09-01,72921.6
2023-10-01,72101.6
2023-11-01,72526.8
2023-12-01,72092.7
2024-01-01,73333
2024-02-01,73033
2024-03-01,72702.9
2024-04-01,73106.5
2024-05-01,73200.4
2024-06-01,73234.3
2024-07-01,73014.8
2024-08-01,73548.7
2024-09-01,73490.1
2024-10-01,74248.2
2024-11-01,74672.7
2024-12-01,74995.2
2025-01-01,75447.1
2025-02-01,75623
2025-03-01,75708.9
2025-04-01,75867.9
2025-05-01,76562
2025-06-01,76800.9
2025-07-01,76946.4
2025-08-01,76958
2025-09-01,77272.1
2025-10-01,78269.2
2025-11-01,79038.2
2025-12-01,78711.6
2026-01-01,78910.3
2026-02-01,79163.2
2026-03-01,80524.4
2026-04-01,79696.8
2026-05-01,80691.7
2026-06-01,81478.1
2026-07-01,82338.3
