"date","value"
2012-07-01,62392.0565808788
2012-08-01,62868.2227298916
2012-09-01,62483.3781298628
2012-10-01,62388.2845955152
2012-11-01,62109.4343839088
2012-12-01,62515.0275151686
2013-01-01,62930.2633680669
2013-02-01,63277.242311338
2013-03-01,62877.9355927436
2013-04-01,62871.8889731913
2013-05-01,63282.6750871758
2013-06-01,63006.0240963855
2013-07-01,63216.667222807
2013-08-01,63326.7039575349
2013-09-01,63038.062283737
2013-10-01,62530.9399349048
2013-11-01,63046.4196461953
2013-12-01,63631.0292703037
2014-01-01,63640.4307419434
2014-02-01,63334.7374375757
2014-03-01,63903.1420765027
2014-04-01,63816.8538676257
2014-05-01,63680.2945699034
2014-06-01,63550.2242761996
2014-07-01,64258.8591477395
2014-08-01,63620.1345149432
2014-09-01,64140.6334596643
2014-10-01,64376.6752684592
2014-11-01,64196.4727658424
2014-12-01,64069.8459875709
2015-01-01,63975.479062846
2015-02-01,65142.7633393699
2015-03-01,65195.2535059331
2015-04-01,64991.2810802512
2015-05-01,64889.7907382149
2015-06-01,65503.9496585888
2015-07-01,65763.5701391533
2015-08-01,65619.6610041558
2015-09-01,65663.9103761003
2015-10-01,66213.2531601843
2015-11-01,65521.3781288053
2015-12-01,65348.6116646738
2016-01-01,65661.6877918223
2016-02-01,65799.3164012532
2016-03-01,66028.6208732694
2016-04-01,66854.3143093681
2016-05-01,66801.9627277934
2016-06-01,67173.6249171637
2016-07-01,66605.0220631567
2016-08-01,66867.486983293
2016-09-01,66563.3061331929
2016-10-01,66845.6855005212
2016-11-01,66709.5688166743
2016-12-01,67317.8842628961
2017-01-01,67405.0006899005
2017-02-01,67206.9345553155
2017-03-01,67037.012902385
2017-04-01,67346.8793752946
2017-05-01,67728.1896238281
2017-06-01,67801.7689906348
2017-07-01,67516.8095091618
2017-08-01,67229.4388753005
2017-09-01,67606.0762766645
2017-10-01,67893.2276789827
2017-11-01,68737.2998216551
2017-12-01,68808.0133555927
2018-01-01,68225.8891782688
2018-02-01,69339.9133351732
2018-03-01,68538.42219665
2018-04-01,69162.3153803442
2018-05-01,69980.1563973158
2018-06-01,70698.1781118614
2018-07-01,69869.2015798033
2018-08-01,70141.1357918313
2018-09-01,70117.9753900799
2018-10-01,70385.0870393539
2018-11-01,70704.4011702373
2018-12-01,70494.1948510853
2019-01-01,70370.423864406
2019-02-01,69740.5405708612
2019-03-01,70206.2350119904
2019-04-01,68902.1582123107
2019-05-01,69189.806267705
2019-06-01,68772.2710163112
2019-07-01,68906.1326726473
2019-08-01,69001.1562735654
2019-09-01,68479.4759825327
2019-10-01,68541.8849134422
2019-11-01,67802.1536193908
2019-12-01,68533.209417596
2020-01-01,68592.0699034408
2020-02-01,66633.9567798107
2020-03-01,64542.8395061728
2020-04-01,51983.6458822957
2020-05-01,61514.6611860527
2020-06-01,66098.8167170191
2020-07-01,68799.9150486428
2020-08-01,64523.0195394873
2020-09-01,64126.0691706954
2020-10-01,65225.3985198706
2020-11-01,67131.52122402
2020-12-01,67434.7665847666
2021-01-01,66658.7063402433
2021-02-01,65698.5047191488
2021-03-01,67071.3326004642
2021-04-01,67535.4354067999
2021-05-01,67508.7730424489
2021-06-01,66070.328604341
2021-07-01,63870.146052175
2021-08-01,62178.7432142324
2021-09-01,63760.3703258386
2021-10-01,67403.7001317058
2021-11-01,70210.317392734
2021-12-01,70640.1519648581
2022-01-01,69821.6736151848
2022-02-01,72368.8185152738
2022-03-01,73215.339918652
2022-04-01,74572.4969049538
2022-05-01,75098.2929989739
2022-06-01,75437.4928644822
2022-07-01,76551.6654372127
2022-08-01,76285.9318162592
2022-09-01,76869.6188340807
2022-10-01,77629.4060024245
2022-11-01,76683.128798895
2022-12-01,76423.9955971381
2023-01-01,77165.8492226673
2023-02-01,76953.2738138514
2023-03-01,76415.8340573414
2023-04-01,77036.0917389078
2023-05-01,76845.9789542875
2023-06-01,76626.1440723592
2023-07-01,76502.608399583
2023-08-01,76732.1190664525
2023-09-01,77667.1279540132
2023-10-01,76623.7625842843
2023-11-01,76870.8537334018
2023-12-01,76291.9708029197
2024-01-01,77294.8116405219
2024-02-01,76727.3596795117
2024-03-01,76175.6629284142
2024-04-01,76242.3189748341
2024-05-01,76217.321060063
2024-06-01,75950.3163572244
2024-07-01,76096.9713903303
2024-08-01,76227.4261950142
2024-09-01,76165.9076795694
2024-10-01,76810.4822393875
2024-11-01,77212.9575045917
2024-12-01,77465.1378989774
2025-01-01,77704.3621124216
2025-02-01,77594.1141047983
2025-03-01,77402.2517911975
2025-04-01,77328.8514187612
2025-05-01,77949.9542230484
2025-06-01,77995.8346032714
2025-07-01,77958.0672401963
2025-08-01,77603.4662819135
2025-09-01,77475.7846184699
2025-10-01,78408.4941048902
2025-11-01,78975.3902245749
2025-12-01,78451.6547049442
2026-01-01,78234.5743519875
2026-02-01,78086.5798585965
2026-03-01,78978.0727630285
2026-04-01,78089.5771878073
