date,value
2023-02-01,85.3
2023-03-01,85.1
2023-04-01,85
2023-05-01,84.5
2023-06-01,83.5
2023-08-01,85
2023-09-01,84
2023-10-01,83.8
2023-11-01,83.6
2023-12-01,82.7
2024-01-01,83.7
2024-02-01,83.4
2024-03-01,83.2
2024-04-01,83.2
2024-05-01,83.3
2024-06-01,83.5
2024-07-01,82.7
2024-08-01,83
2024-09-01,83.1
2024-10-01,82
2024-11-01,82
2024-12-01,83
2025-01-01,82.1
2025-02-01,82
2025-03-01,82.9
2025-04-01,81.5
2025-05-01,82.4
2025-06-01,83.3
2025-07-01,82.4
2025-08-01,83.1
2025-09-01,83.4
2025-10-01,83.4
2025-11-01,83.5
2025-12-01,83.1
2026-01-01,82.8
2026-02-01,82.8
2026-03-01,83
2026-04-01,82.5
2026-05-01,81.9
