date,value
2023-02-01,15
2023-03-01,14
2023-04-01,12
2023-05-01,7
2023-06-01,9
2023-07-01,11
2023-08-01,14
2023-09-01,8
2023-10-01,12
2023-11-01,6
2023-12-01,6
2024-01-01,6
2024-02-01,10
2024-03-01,6
2024-04-01,6
2024-05-01,3
2024-06-01,2
2024-07-01,2
2024-08-01,2
2024-09-01,5
2024-10-01,5
2024-11-01,0
2024-12-01,4
2025-01-01,-2
2025-02-01,-1
2025-03-01,1
2025-04-01,-4
2025-05-01,-5
2025-06-01,4
2025-07-01,3
2025-08-01,5
2025-09-01,6
2025-10-01,10
2025-11-01,5
2025-12-01,8
2026-01-01,4
2026-02-01,4
2026-03-01,0
2026-04-01,0
2026-05-01,-1
2026-06-01,0
