date,value
2023-02-01,27
2023-03-01,26
2023-04-01,22
2023-05-01,15
2023-06-01,14
2023-07-01,18
2023-08-01,19
2023-09-01,16
2023-10-01,19
2023-11-01,13
2023-12-01,10
2024-01-01,10
2024-02-01,14
2024-03-01,14
2024-04-01,13
2024-05-01,11
2024-06-01,10
2024-07-01,10
2024-08-01,8
2024-09-01,12
2024-10-01,14
2024-11-01,6
2024-12-01,9
2025-01-01,7
2025-02-01,7
2025-03-01,6
2025-04-01,6
2025-05-01,5
2025-06-01,15
2025-07-01,13
2025-08-01,13
2025-09-01,16
2025-10-01,19
2025-11-01,14
2025-12-01,17
2026-01-01,11
2026-02-01,12
2026-03-01,11
2026-04-01,7
2026-05-01,8
