date,value
1978-02-01,918.1085184
1978-03-01,907.8182197
1978-04-01,911.216578
1978-05-01,914.333191
1978-06-01,929.6843572
1978-07-01,933.8904355
1978-08-01,938.1448786
1978-09-01,923.8143286
1978-10-01,928.0351839
1978-11-01,924.4476088
1978-12-01,940.4840438
1979-01-01,930.5844789
1979-02-01,934.0613334
1979-03-01,931.4418627
1979-04-01,943.4511789
1979-05-01,951.7063084
1979-06-01,946.2641069
1979-07-01,948.9983678
1979-08-01,947.9387456
1979-09-01,955.1448322
1979-10-01,965.9540777
1979-11-01,972.7570826
1979-12-01,972.5673969
1980-01-01,987.3632493
1980-02-01,979.3393282
1980-03-01,979.9762574
1980-04-01,985.6075398
1980-05-01,964.4139643
1980-06-01,992.4750301
1980-07-01,1011.9899344
1980-08-01,1008.6241169
1980-09-01,1021.9798376
1980-10-01,1010.5194723
1980-11-01,1030.5476115
1980-12-01,1024.4724486
1981-01-01,1016.6070848
1981-02-01,1023.7329928
1981-03-01,1036.4500588
1981-04-01,1024.6927729
1981-05-01,1041.6484373
1981-06-01,1040.1668606
1981-07-01,1035.1196416
1981-08-01,1041.1059427
1981-09-01,1048.2096757
1981-10-01,1039.420694
1981-11-01,1030.2961592
1981-12-01,1016.1552985
1982-01-01,1034.0038725
1982-02-01,1032.6756794
1982-03-01,1039.8941055
1982-04-01,1052.652155
1982-05-01,1046.9009897
1982-06-01,1046.6628705
1982-07-01,1060.8396919
1982-08-01,1075.8668981
1982-09-01,1067.6030282
1982-10-01,1101.0764113
1982-11-01,1077.4329064
1982-12-01,1097.4424985
1983-01-01,1095.8098211
1983-02-01,1104.9142445
1983-03-01,1095.2725175
1983-04-01,1065.6722536
1983-05-01,1075.9241351
1983-06-01,1080.1571373
1983-07-01,1074.121803
1983-08-01,1080.9456695
1983-09-01,1054.685945
1983-10-01,1074.9033051
1983-11-01,1091.2864901
1983-12-01,1104.6210955
1984-01-01,1104.5327517
1984-02-01,1109.6686463
1984-03-01,1119.7509838
1984-04-01,1134.7783395
1984-05-01,1140.0657564
1984-06-01,1137.9015174
1984-07-01,1152.0878931
1984-08-01,1135.0070465
1984-09-01,1172.0448806
1984-10-01,1162.1223969
1984-11-01,1151.0154966
1984-12-01,1145.0070658
1985-01-01,1154.4230489
1985-02-01,1186.3036616
1985-03-01,1156.9617907
1985-04-01,1176.2835914
1985-05-01,1189.3387558
1985-06-01,1193.101816
1985-07-01,1202.8279541
1985-08-01,1206.4747269
1985-09-01,1219.9650149
1985-10-01,1232.0342535
1985-11-01,1257.9021081
1985-12-01,1231.1269672
1986-01-01,1240.1896512
1986-02-01,1237.3844487
1986-03-01,1263.8109415
1986-04-01,1318.4735371
1986-05-01,1310.5585205
1986-06-01,1318.2516971
1986-07-01,1335.8831759
1986-08-01,1300.0596558
1986-09-01,1320.5489451
1986-10-01,1331.403494
1986-11-01,1330.837407
1986-12-01,1361.6931354
