date,value
1978-02-01,163.9044208
1978-03-01,155.7471596
1978-04-01,166.5880482
1978-05-01,168.4160685
1978-06-01,171.573585
1978-07-01,176.0766483
1978-08-01,175.7550376
1978-09-01,170.8368545
1978-10-01,167.9419464
1978-11-01,162.2549558
1978-12-01,161.1214046
1979-01-01,165.2980172
1979-02-01,170.8119865
1979-03-01,162.7776875
1979-04-01,184.8497846
1979-05-01,178.1982395
1979-06-01,178.4724613
1979-07-01,177.5139925
1979-08-01,173.9720355
1979-09-01,174.7301317
1979-10-01,176.1313933
1979-11-01,183.9287485
1979-12-01,190.1402549
1980-01-01,190.096679
1980-02-01,188.3548524
1980-03-01,193.435689
1980-04-01,190.1860413
1980-05-01,189.0632872
1980-06-01,195.8087468
1980-07-01,193.1306688
1980-08-01,200.8195674
1980-09-01,202.5279214
1980-10-01,197.4995213
1980-11-01,195.3000332
1980-12-01,188.5724136
1981-01-01,193.1772471
1981-02-01,189.8616027
1981-03-01,193.689337
1981-04-01,188.1354124
1981-05-01,189.2573081
1981-06-01,180.3149199
1981-07-01,197.8383764
1981-08-01,184.7785274
1981-09-01,186.0677086
1981-10-01,190.1851662
1981-11-01,192.200354
1981-12-01,199.3648367
1982-01-01,204.4423069
1982-02-01,197.2935654
1982-03-01,202.512155
1982-04-01,208.9078255
1982-05-01,218.0163763
1982-06-01,214.0714535
1982-07-01,223.4375173
1982-08-01,236.8496801
1982-09-01,236.4875012
1982-10-01,271.2020407
1982-11-01,284.3451024
1982-12-01,274.3930922
1983-01-01,262.558327
1983-02-01,270.3269412
1983-03-01,281.2314748
1983-04-01,263.4780578
1983-05-01,290.0976972
1983-06-01,286.5259094
1983-07-01,276.6765816
1983-08-01,273.9558615
1983-09-01,271.0721263
1983-10-01,256.5490026
1983-11-01,255.5503545
1983-12-01,239.2574145
1984-01-01,253.0567886
1984-02-01,250.6623791
1984-03-01,253.8915528
1984-04-01,261.5596782
1984-05-01,255.5388533
1984-06-01,250.7843053
1984-07-01,255.6435106
1984-08-01,246.3802852
1984-09-01,253.2825512
1984-10-01,254.6405419
1984-11-01,248.2185454
1984-12-01,231.9849441
1985-01-01,247.8505256
1985-02-01,256.0790706
1985-03-01,237.7668258
1985-04-01,238.4741982
1985-05-01,227.7270013
1985-06-01,227.8712183
1985-07-01,235.8000953
1985-08-01,239.5983107
1985-09-01,234.016834
1985-10-01,242.767085
1985-11-01,243.1299567
1985-12-01,230.3998827
1986-01-01,242.3572919
1986-02-01,255.8832325
1986-03-01,257.2345445
1986-04-01,280.1744598
1986-05-01,269.0310235
1986-06-01,283.6210591
1986-07-01,279.7336004
1986-08-01,277.5725144
1986-09-01,282.5288654
1986-10-01,272.5581984
1986-11-01,292.2573619
1986-12-01,298.3533565
1987-01-01,290.0275804
1987-02-01,294.5781875
1987-03-01,297.1795481
1987-04-01,299.3541592
1987-05-01,307.5112726
1987-06-01,315.8891969
1987-07-01,313.1076169
1987-08-01,324.1906666
1987-09-01,308.7781752
1987-10-01,308.5047175
1987-11-01,313.2013692
1987-12-01,312.8694323
1988-01-01,321.2972498
1988-02-01,317.0373704
1988-03-01,300.7422177
1988-04-01,305.5976661
1988-05-01,261.7230962
1988-06-01,314.3037572
1988-07-01,290.9053505
