date,value
2008-02-01,94.1
2008-03-01,85.6
2008-04-01,84.4
2008-05-01,84.6
2008-06-01,79.9
2008-07-01,74.5
2008-08-01,81.3
2008-09-01,87.0
2008-10-01,77.4
2008-11-01,80.8
2008-12-01,86.8
2009-01-01,84.9
2009-02-01,81.0
2009-03-01,80.8
2009-04-01,87.5
2009-05-01,83.8
2009-06-01,94.4
2009-07-01,103.2
2009-08-01,107.0
2009-09-01,112.6
2009-10-01,114.5
2009-11-01,111.6
2009-12-01,107.4
2010-01-01,113.4
2010-02-01,110.5
2010-03-01,110.7
2010-04-01,109.6
2010-05-01,101.9
2010-06-01,96.1
2010-07-01,106.8
2010-08-01,112.5
2010-09-01,106.9
2010-10-01,110.4
2010-11-01,104.6
2010-12-01,104.8
2011-01-01,98.8
2011-02-01,100.7
2011-03-01,98.3
2011-04-01,99.4
2011-05-01,98.2
2011-06-01,95.6
2011-07-01,87.7
2011-08-01,84.6
2011-09-01,91.5
2011-10-01,91.8
2011-11-01,97.6
2011-12-01,89.5
2012-01-01,91.7
2012-02-01,95.5
2012-03-01,90.7
2012-04-01,89.3
2012-05-01,90.0
2012-06-01,90.3
2012-07-01,93.6
2012-08-01,91.3
2012-09-01,92.7
2012-10-01,93.6
2012-11-01,98.5
2012-12-01,94.5
2013-01-01,95.0
2013-02-01,102.4
2013-03-01,104.4
2013-04-01,99.1
2013-05-01,92.1
2013-06-01,96.5
2013-07-01,96.4
2013-08-01,99.8
2013-09-01,104.4
2013-10-01,102.2
2013-11-01,104.2
2013-12-01,99.2
2014-01-01,103.3
2014-02-01,100.2
2014-03-01,99.5
2014-04-01,99.8
2014-05-01,93.0
2014-06-01,93.2
2014-07-01,95.0
2014-08-01,98.6
2014-09-01,94.0
2014-10-01,94.9
2014-11-01,96.7
2014-12-01,91.2
2015-01-01,93.4
2015-02-01,100.8
2015-03-01,99.6
2015-04-01,96.4
2015-05-01,102.4
2015-06-01,95.3
2015-07-01,92.3
2015-08-01,99.4
2015-09-01,93.9
2015-10-01,97.8
2015-11-01,101.6
2015-12-01,100.8
2016-01-01,97.3
2016-02-01,101.4
2016-03-01,99.1
2016-04-01,95.1
2016-05-01,103.2
2016-06-01,102.2
2016-07-01,99.1
2016-08-01,101.1
2016-09-01,101.4
2016-10-01,102.5
2016-11-01,101.4
2016-12-01,97.4
2017-01-01,97.5
2017-02-01,99.6
2017-03-01,99.7
2017-04-01,99.0
2017-05-01,97.9
2017-06-01,96.1
2017-07-01,96.5
2017-08-01,95.4
2017-09-01,97.8
2017-10-01,101.3
2017-11-01,99.6
2017-12-01,103.1
2018-01-01,105.0
2018-02-01,102.6
2018-03-01,102.8
2018-04-01,102.2
2018-05-01,101.6
2018-06-01,101.9
2018-07-01,105.8
2018-08-01,103.4
2018-09-01,100.3
2018-10-01,101.3
2018-11-01,104.1
2018-12-01,104.2
2019-01-01,99.3
2019-02-01,103.6
2019-03-01,98.6
2019-04-01,100.5
2019-05-01,101.1
2019-06-01,100.5
2019-07-01,96.4
2019-08-01,99.9
2019-09-01,98.2
2019-10-01,92.8
2019-11-01,96.9
2019-12-01,95.1
2020-01-01,93.4
2020-02-01,95.5
2020-03-01,91.9
2020-04-01,75.6
2020-05-01,88.0
2020-06-01,93.7
2020-07-01,88.0
2020-08-01,79.5
2020-09-01,93.8
2020-10-01,105.0
2020-11-01,107.6
2020-12-01,112.0
2021-01-01,107.0
2021-02-01,109.0
2021-03-01,111.9
2021-04-01,118.8
2021-05-01,113.1
2021-06-01,107.2
2021-07-01,108.8
2021-08-01,104.0
2021-09-01,106.1
2021-10-01,104.5
2021-11-01,105.2
2021-12-01,104.1
2022-01-01,93.4
2022-02-01,92.2
2022-03-01,88.3
2022-04-01,87.5
2022-05-01,82.6
2022-06-01,78.9
2022-07-01,76.5
2022-08-01,74.2
2022-09-01,77.1
2022-10-01,76.4
2022-11-01,71.2
2022-12-01,73.3
2023-01-01,77.0
2023-02-01,71.7
2023-03-01,71.7
2023-04-01,78.4
2023-05-01,72.2
2023-06-01,72.3
2023-07-01,74.3
2023-08-01,74.0
2023-09-01,72.9
2023-10-01,75.0
2023-11-01,73.1
2023-12-01,75.0
2024-01-01,74.0
2024-02-01,78.6
2024-03-01,77.2
2024-04-01,75.4
2024-05-01,75.1
2024-06-01,83.6
2024-07-01,82.7
2024-08-01,85.0
2024-09-01,84.6
2024-10-01,89.8
2024-11-01,94.6
2024-12-01,92.7
2025-01-01,92.0
2025-02-01,92.1
2025-03-01,95.8
2025-04-01,90.1
2025-05-01,92.0
2025-06-01,92.6
2025-07-01,93.2
2025-08-01,98.5
2025-09-01,95.4
2025-10-01,92.1
2025-11-01,103.9
2025-12-01,94.5
2026-01-01,92.9
2026-02-01,90.5
2026-03-01,91.6
2026-04-01,80.1
2026-05-01,83.0
2026-06-01,80.6
