,emp,ft_emp,pt_emp,ue,ud,hours,doe_ads,anz_ads,nab_cond,nab_profit,nab_trade,nab_emp,nab_forward,nab_stocks,nab_conf,nab_cu,aig_pmi,aig_psi,aig_pci,new_reg,anz_finance,anz_sent,wmi_finance,wmi_sent,rt,mv,arrivals,export,import,res_ba,hs_ba,nh_ba,alt_add,non_res_ba,acr,credit,credit_housing,credit_personal,credit_business,firmmbab90,fcmygbag3,fcmygbag5,fcmygbag10,scrigbag3,scrigbag5,scrigbag10,twi,asx200,icp,house_prices,mt103s,credit_card,debit_card
1/03/1978,-0.119968737,0.523183828,-1.267219317,-1.711890725,-0.268374101,,,,,,,,,,,,,,,-0.966362754,,,,1.507580871,,,,-0.229130719,1.018533348,0.262894813,0.084929447,0.566578325,1.080168624,-0.167746928,,0.426421025,0.043730699,1.077913974,0.093807374,,,0.013688358,0.043719154,,,,-0.364903582,,-0.30002598,,,,
1/04/1978,0.761490965,0.912573924,0.012645847,-0.206292664,0.238011843,,,,,,,,,,,,,,,-0.347395618,,,,1.159395496,,,,0.950863212,0.616325416,0.138117455,-0.550734821,0.933263518,-0.468461283,0.889851393,,-0.486963544,0.351213102,0.991469163,-0.566940912,,,0.070894015,-0.051003481,,,,0.059659876,,0.972176556,,,,
1/05/1978,-0.24933566,-0.242062119,-0.01927124,-0.312373773,-0.004080723,,,,,,,,,,,,,,,-0.065369583,,,,1.041773945,,,,-1.569328479,-0.82618787,-0.421144904,-0.057592525,-0.859382406,-0.297155657,-0.743139891,,0.781921801,0.145779685,0.858530709,0.743442309,,,0.04466167,-0.175707981,,,,-0.021441755,,0.189709186,,,,
1/06/1978,-0.311734354,-0.873103021,1.107880853,0.42789105,0.032902047,,,,,,,,,,,,,,,0.354699415,,,,0.704226785,,,,2.16243166,0.763204691,0.459835648,0.197922484,0.807565664,-0.080768219,0.040961503,,-0.329935582,0.179794997,0.998905352,-0.870805482,,,0.044698289,0.04567157,,,,-0.407958222,,-0.022805735,,,,
1/07/1978,-0.474487932,-0.554858726,0.079478983,-0.423849921,0.069100404,,,,,,,,,,,,,,,0.102324465,,,,0.368831798,,,,-0.037128066,0.90968866,-0.805509824,-0.153657253,-1.715359797,-1.339704825,-0.457778456,,-0.857625922,0.176813717,0.501522691,-1.032055173,,,0.04357717,0.046501048,,,,-0.592763157,,1.204920088,,,,
1/08/1978,-0.116288135,-0.143046259,0.084627584,1.282516244,-0.058184466,0.219089647,,,,,,,,,,,,,,0.502872523,,,,-0.546401725,,,,-1.81362448,-0.331142436,0.139970343,-0.022062469,0.404712479,1.272319523,1.074225407,,-0.186114329,-0.308174108,0.915068762,-0.282892462,,,-0.239647859,-0.269484503,,,,-0.382146724,,1.064834922,,,,
1/09/1978,-0.588424916,0.162971613,-1.61555119,-1.203858246,-0.182806789,-0.277152644,,,,,,,,,,,,,,0.320244986,,,,0.025323434,,,,-0.330152608,-0.238225986,0.450336897,1.562174735,-0.98476715,0.650355964,-0.380407493,,0.520822772,0.312482149,0.968928772,0.297045904,,,0.069920654,0.04435823,,,,0.025250663,,-0.40443328,,,,
1/10/1978,-0.127299521,-0.148257385,0.075552958,-0.46483672,-0.126494331,0.017938993,,,,,,,,,,,,,,0.529011312,,,,0.599772203,,,,1.317014051,0.836472367,0.594529697,0.502658602,0.973319494,-0.086188385,0.159246272,,0.91296213,1.138532656,0.853946916,0.620047084,,,-0.351732832,-0.300160553,,,,-0.563271255,,1.479443468,,,,
1/11/1978,-0.653559299,-0.39965164,-0.643376737,0.806966239,-0.204618435,-0.27775107,,,,,,,,,,,,,,0.734153648,,,,0.539707554,,,,1.806298284,0.731576304,0.031471365,0.128174008,-0.085381638,-0.551670186,0.379226507,,0.366097452,0.849828714,0.780887814,0.054516861,,,-0.120298802,-0.233255599,,,,0.515608989,,-1.346218466,,,,
1/12/1978,0.641943873,0.204657399,1.153987669,0.339784493,-0.081579972,0.378866393,,,,,,,,,,,,,,0.717931625,,,,0.719142599,,,,-0.39912899,-0.091686914,0.722738458,1.252480593,0.225438839,-0.131849257,-2.024643577,,0.694464649,0.664380696,0.657769744,0.452961298,,,0.047008133,0.048417646,,,,-0.162144427,,0.232939701,,,,
1/01/1979,-0.378396938,0.209985278,-1.216904103,-0.189080794,0.05914295,-0.31864967,,,,,,,,,,,,,,0.851248898,,,,0.747355842,,,,1.464784385,-0.961338346,-1.291743561,-2.223862622,-0.380782353,0.219472329,1.235771905,,-0.100971237,0.666157628,0.655330279,-0.510642311,,,0.191536733,0.210417244,,,,0.114191187,,0.857723778,,,,
1/02/1979,0.088566806,0.1329704,0.013921267,-0.578440999,0.097906819,0.273882908,,,,,,,,,,,,,,1.356231498,,,,1.077250715,,,,-0.709149682,-0.544411699,1.01984485,2.275477511,-0.466832841,-0.077934727,1.359138339,,0.983751484,0.908915267,0.562402817,0.835790866,,,0.444076166,0.524182571,,,,-0.116449361,,1.497988774,,,,
1/03/1979,-0.650867172,-0.443435277,-0.549559985,0.209619097,-0.263253006,0.05278175,,,,,,,,,,,,,,1.21184797,,,,0.727073205,,,,0.11262439,0.46302563,0.157994529,-0.559077013,1.271428016,0.799229274,-1.373672227,,0.524415954,-0.197273853,0.363268812,0.443539036,,,0.869932426,1.157310549,,,,0.016402029,,0.327492965,,,,
1/04/1979,0.002094407,-0.355041957,0.783829576,0.950868298,0.539298243,0.684302285,,,,,,,,,,,,,,1.159510125,,,,1.043735273,,,,0.634120267,0.429521246,-0.059263191,-0.070979582,-0.051087913,0.323546764,-0.354088531,,0.874195191,-0.067388396,0.542252814,1.248669435,,,1.098371016,1.000585077,,,,0.285401733,,0.222325178,,,,
1/05/1979,-0.132956258,-0.339964209,0.434438198,-1.464073899,-0.227158179,-0.063581553,,,,,,,,,,,,,,0.404876178,,,,0.289877115,,,,1.837019735,0.726671291,0.947518599,1.538290376,0.428300417,0.25965849,-0.306140515,,-0.054604453,0.53389582,0.301919997,-0.160637803,,,0.19648177,0.214999796,,,,0.189369294,,0.027613649,,,,
1/06/1979,0.795893268,1.368883823,-0.796242824,0.214618801,-0.042568021,1.863672881,,,,,,,,,,,,,,1.073826785,,,,-0.467230907,,,,-0.98343814,0.745772344,-0.35807844,-0.122128488,-0.773497789,0.172100648,0.88668937,,2.200442783,0.33890914,0.289829729,2.103136252,,,0.900619261,1.000595732,,,,0.055871693,,0.008601259,,,,
1/07/1979,-0.421665723,-0.422229618,-0.06203198,0.109008863,-0.07709568,-2.507460799,,,,,,,,,,,,,,0.172012366,,,,-0.66644495,,,,0.462424215,-1.737971237,0.765165663,0.084789061,1.763751857,-0.237556917,-0.71729862,,0.068263928,0.252556334,0.406462618,0.065861518,,,0.049267272,0.27175464,,,,0.144441034,,0.80393938,,,,
1/08/1979,0.320942871,0.615231957,-0.405108952,-0.780105605,-0.143749396,0.539071638,,,,,,,,,,,,,,-0.098090575,,,,-0.281773881,,,,-0.72407144,1.282682262,-0.701797051,-0.337969788,-1.231370683,-0.05516819,0.150917762,,0.93666663,0.314452412,0.084606618,0.977945909,,,0.050125397,0.051915221,,,,0.148097242,,0.462446199,,,,
1/09/1979,-0.251780233,-0.429045277,0.339085466,0.552761107,-0.026667887,-0.07076553,,,,,,,,,,,,,,-0.146081613,,,,0.105567882,,,,1.691255095,-1.597381448,0.367991064,0.790273151,-0.079286664,1.683563366,0.808376584,,1.205399934,0.433144346,0.049914217,1.271532305,,,0.076416897,0.049221988,,,,0.062069949,,7.458725241,,,,
1/10/1979,1.003386423,0.870115428,0.655449175,0.728050575,-0.006427706,0.178071292,,,,,,,,,,,,,,-0.305203936,,,,-0.040167371,,,,2.409613438,1.668566135,-0.163790373,0.203763071,-0.742774516,-1.26667076,-1.384859726,,0.270436986,0.220932647,0.475502246,0.218259543,,,0.019069269,0.049203993,,,,0.193052495,,-1.628503432,,,,
1/11/1979,0.750142254,0.759200641,0.294628452,-1.681460915,0.161079166,0.19076219,,,,,,,,,,,,,,0.241371009,,,,0.053024981,,,,0.004011016,1.060805978,0.599724353,0.28259656,1.236038302,0.419561063,3.227570704,,1.280726646,0.386297866,-0.434111956,1.52412346,,,0.043943365,0.077373974,,,,-0.02563997,,0.240753177,,,,
1/12/1979,-0.208561069,-0.043363436,-0.319860819,0.363669427,0.118543746,0.114286934,,,,,,,,,,,,,,0.156923243,,,,0.062824201,,,,-1.136591322,-0.24747062,-1.554538175,-2.040977283,-1.332552082,1.469707016,-2.290541399,,0.335364405,0.256239352,-0.547831617,0.43751361,,,0.100428258,0.046498763,,,,-0.069842769,,1.339327159,,,,
1/01/1980,0.449971276,0.053948172,0.980749276,0.116085558,-0.046831797,0.173444782,,,,,,,,,,,,,,0.971649394,,,,-0.080906701,,,,0.323661678,2.550746266,1.43437209,1.566477421,1.621879823,-0.652913498,0.48991552,,0.283385659,0.164212402,1.025314937,0.060584271,,,1.177552599,1.215939574,,,,0.015799848,,4.08057946,,,,
1/02/1980,0.317355561,0.919342563,-0.991866848,-0.744755878,-0.091581368,-0.24066913,,,,,,,,,,,,,,1.508710782,,,,0.148423735,,,,0.585315701,-2.685231726,0.06659511,1.255515128,-1.515813428,-0.166934009,0.446927538,,1.208570586,-0.137986855,1.170458941,1.174023123,,,1.403450552,0.35988934,,,,0.195724614,,0.323557757,,,,
1/03/1980,0.08915747,0.269873555,-0.250105465,-0.318634714,0.089160409,0.011981659,,,,,,,,,,,,,,1.788470727,,,,0.22527243,,,,-0.803787821,0.266778659,0.582948325,0.663354068,0.705064048,0.017293959,-0.729388268,,0.640522373,-0.535428295,0.247556497,0.677781257,,,0.899154482,2.106019909,,,,0.466055768,,-2.232502148,,,,
1/04/1980,0.16458054,0.13659483,0.178767329,0.868921336,-0.125819725,-0.06725665,,,,,,,,,,,,,,2.004623478,,,,-0.096637497,,,,-0.747330049,-2.055478198,-0.127708198,0.334933099,-0.902488233,0.400588888,-0.624075315,,0.495354963,4.898725518,0.026149135,-0.456488471,,,0.764693175,1.739655034,,,,0.116152653,,-1.729307645,,,,
1/05/1980,0.471359365,1.683938262,-2.15859508,0.642308722,-0.070979077,0.369286515,,,,,,,,,,,,,,2.635049307,,,,0.100551924,,,,-1.755910503,2.779944657,-0.441129149,-0.818607035,-0.012444161,0.5934156,0.105169462,,0.879100814,0.479732562,0.433737848,0.906385196,,,1.054760058,0.230476273,,,,0.206099759,,0.962868046,,,,
1/06/1980,-0.060456894,-1.116011672,2.132494868,0.372919646,0.133433365,2.983747307,,,,,,,,,,,,,,2.28538103,,,,0.299910437,,,,3.508268992,-0.264343728,0.375137547,0.447962311,0.447037603,-0.001254959,0.695119493,,-0.049044535,-0.144937093,0.396504587,-0.337815661,,,0.006543005,0.006787459,,,,0.165629992,,2.00858284,,,,
