date,emp,ft_emp,pt_emp,ue,ud,hours,doe_ads,anz_ads,nab_cond,nab_profit,nab_trade,nab_emp,nab_forward,nab_stocks,nab_conf,nab_cu,aig_pmi,aig_psi,aig_pci,new_reg,anz_finance,anz_sent,wmi_finance,wmi_sent,rt,mv,arrivals,export,import,res_ba,hs_ba,nh_ba,alt_add,non_res_ba,acr,credit,credit_housing,credit_personal,credit_business,firmmbab90,fcmygbag3,fcmygbag5,fcmygbag10,scrigbag3,scrigbag5,scrigbag10,twi,asx200,icp,house_prices,mt103s,credit_card,debit_card
1/02/1978,5997.694602,5079.602764,918.0918384,6.6450138,163.9008734,,,,,,,,,,,,,,,0.701423003,,,,119.12,,,,1171,1248,9863.378226,8363.479258,1499.898968,23881,202329,,45.39053599,16.14168827,8.719590727,23.09244037,9.55,,9.09,9.2,,-0.46,-0.35,88.5,,16.41123058,,,,
1/03/1978,6003.263006,5095.458324,907.804682,6.3030952,155.7457837,,,,,,,,,,,,,,,0.613644265,,,,114.9,,,,1170,1309,10065.18648,8397.80524,1667.381236,26068,196148,,45.96093008,16.32194987,8.859960475,23.34858786,10.04,,9.08,9.2,,-0.96,-0.84,87.5,,16.30105098,,,,
1/04/1978,6031.020306,5119.794268,911.2260378,6.267907,166.5885101,,,,,,,,,,,,,,,0.714236182,,,,110.9,,,,1228,1352,10179.20814,8198.34345,1980.864687,25441,241830,,46.32508138,16.52385658,8.996535611,23.48215821,10.86,,9.09,9.17,,-1.77,-1.69,87.5,,16.89690762,,,,
1/05/1978,6033.319564,5118.98996,914.3296046,6.2102219,168.4155012,,,,,,,,,,,,,,,0.760061247,,,,109.54,,,,1160,1321,9884.568092,8181.644323,1702.923769,25156,205669,,46.99019073,16.71476399,9.125945102,23.86679326,10.6,,9.09,9.1,,-1.51,-1.5,87.3,,17.06022256,,,,
1/06/1978,6034.029006,5104.354624,929.6743817,6.303332,171.5701107,,,,,,,,,,,,,,,0.827847499,,,,105.69,,,,1281,1372,10234.70541,8257.718122,1976.987284,25262,209318,,47.39816901,16.91007977,9.266531418,23.94332822,10.63,,9.09,9.1,,-1.54,-1.53,86.2,,17.10307326,,,,
1/07/1978,6030.687205,5096.79654,933.8906651,6.2238827,176.0732353,907769.9083,,,,,,,,,,,,,,0.786576097,,,,101.84,,,,1290,1433,9662.579017,8206.693013,1455.886004,23172,189991,,47.68369692,17.1073956,9.374702232,23.98999766,9.84,,9.09,9.1,,-0.75,-0.74,84.7,,17.86658534,,,,
1/08/1978,6036.436022,5098.295486,938.1405361,6.4908479,175.751906,911208.9559,,,,,,,,,,,,,,0.851006492,,,,91.46,,,,1206,1427,9776.600678,8202.982096,1573.618582,25653,244165,,48.13381802,17.27427805,9.512852419,24.18294211,9.7,,8.99,9,,-0.71,-0.7,83.7,,18.57091024,,,,
1/09/1978,6030.280154,5106.456952,923.8232012,6.2523625,170.8332736,909610.5938,,,,,,,,,,,,,,0.820928099,,,,97.98,,,,1200,1426,10114.6295,8792.090175,1322.539322,27129,225441,,48.75996542,17.48474135,9.656764501,24.4909232,9.72,,9,9,,-0.72,-0.72,83.6,,18.37541801,,,,
1/10/1978,6035.916763,5107.895194,928.0215689,6.1639958,167.9385217,911009.6555,,,,,,,,,,,,,,0.854234395,,,,104.5,,,,1279,1485,10572.73422,8989.696507,1583.037718,27205,235224,,49.49052392,17.75431684,9.794445549,24.86686353,9.74,,8.86,8.89,,-0.88,-0.85,82.2,,19.36633096,,,,
1/11/1978,6028.280436,5103.847764,924.4326717,6.332171,162.2517591,909437.237,,,,,,,,,,,,,,0.886760253,,,,103.8,,,,1391,1540,10604.0145,9039.793886,1564.220617,26378,257971,,50.09304908,18.00729199,9.928568303,25.13317685,9.19,,8.8,8.8,,-0.39,-0.39,83.2,,18.56018229,,,,
1/12/1978,6053.339535,5112.875928,940.4636065,6.4063579,161.1182827,914517.9516,,,,,,,,,,,,,,0.883485145,,,,105.8333333,,,,1379,1547,11189.25843,9552.828166,1636.430263,26374,163812,,50.78578349,18.25043816,10.05526764,25.48349646,8.76,,8.8,8.8,,0.04,0.04,82.7,,18.75472463,,,,
1/01/1979,6052.573396,5122.061448,930.5119479,6.371309,165.2747256,912510.6694,,,,,,,,,,,,,,0.904362591,,,,106.1385854,,,,1478,1503,10188.28951,8653.858515,1534.430993,27045,218498,,51.28243511,18.4969004,10.1836632,25.63862282,8.51,,8.85,8.85,,0.34,0.34,82.8,,19.35153612,,,,
