,RT_MAI
1978-03-01,0.186396623793877
1978-04-01,0.237597694436222
1978-05-01,0.222995983600549
1978-06-01,0.160919455164903
1978-07-01,0.104277302255046
1978-08-01,-0.0202877279415955
1978-09-01,0.00104859896285282
1978-10-01,0.068729250299505
1978-11-01,0.0352291243916638
1978-12-01,0.189838104519608
1979-01-01,0.137143169475585
1979-02-01,0.249481460323878
1979-03-01,0.200509793478655
1979-04-01,0.176460225328348
1979-05-01,0.253370101687918
1979-06-01,0.368488881783962
1979-07-01,0.0412047552051277
1979-08-01,0.24986930309312
1979-09-01,0.151021531404897
1979-10-01,0.256329782575009
1979-11-01,0.327890317727575
1979-12-01,0.240907825149799
1980-01-01,0.270643033376316
1980-02-01,0.30912930936321
1980-03-01,0.192759230868637
1980-04-01,0.291435023813079
1980-05-01,0.327537763067291
1980-06-01,0.414016465231647
1980-07-01,0.351355273891116
1980-08-01,0.24415630023501
1980-09-01,0.235828374674475
1980-10-01,0.246348030903159
1980-11-01,0.241270385237552
1980-12-01,0.301618232026776
1981-01-01,0.327944322361603
1981-02-01,0.410287996902245
1981-03-01,0.320400380046969
1981-04-01,0.593616114273487
1981-05-01,0.274476829441649
1981-06-01,0.459168624488501
1981-07-01,0.160204183519985
1981-08-01,0.271514143233913
1981-09-01,0.211991804642939
1981-10-01,-0.0971603165721964
1981-11-01,-0.143949966941356
1981-12-01,-0.0400452076931464
1982-01-01,-0.01496068938577
1982-02-01,-0.146961389272203
1982-03-01,-0.236363075957397
1982-04-01,-0.151075759158146
1982-05-01,-0.308305277911491
1982-06-01,-0.423479144682452
1982-07-01,-0.522702479052982
1982-08-01,-0.585955587223865
1982-09-01,-0.744122693138762
1982-10-01,-0.931170797842475
1982-11-01,-1.22588490848704
1982-12-01,-1.4719767504115
1983-01-01,-1.2860874098582
1983-02-01,-1.05541154680174
1983-03-01,-1.03366310531381
1983-04-01,-0.898390300100677
1983-05-01,-0.926120769896687
1983-06-01,-0.599066017301264
1983-07-01,-0.589624344576321
1983-08-01,-0.380253846935708
1983-09-01,-0.294426197843695
1983-10-01,-0.281860124859589
1983-11-01,0.015256653363362
1983-12-01,0.266369559466947
1984-01-01,0.20749125151175
1984-02-01,0.223433497552837
1984-03-01,0.534256760046418
1984-04-01,0.464440817778516
1984-05-01,0.582891361484926
1984-06-01,0.505157072987641
1984-07-01,0.526734438361309
1984-08-01,0.528876375475316
1984-09-01,0.620096112060813
1984-10-01,0.589046702303164
1984-11-01,0.607999610670309
1984-12-01,0.591962514935389
1985-01-01,0.493784862946709
1985-02-01,0.741117554132601
1985-03-01,0.575463871141763
1985-04-01,0.506477145528893
1985-05-01,0.776232945654192
1985-06-01,0.465935383775287
1985-07-01,0.585011258903438
1985-08-01,0.642515593391285
1985-09-01,0.754032809917318
1985-10-01,0.635014338943953
1985-11-01,0.891360806196664
1985-12-01,0.603339576483802
1986-01-01,0.643464782658489
1986-02-01,0.431952758742667
1986-03-01,0.342117569464139
1986-04-01,0.509368908442412
1986-05-01,0.326060443687482
1986-06-01,0.341101021477046
1986-07-01,0.176972806347843
1986-08-01,0.100706515591999
1986-09-01,-0.0464684649170758
1986-10-01,0.0674547969235797
1986-11-01,-0.258820692191262
1986-12-01,-0.11106144495101
1987-01-01,-0.139817767042178
1987-02-01,-0.0274464340417508
1987-03-01,-0.202195415798808
1987-04-01,-0.00499046022860281
1987-05-01,-0.0884877096091614
1987-06-01,0.0392923297600834
1987-07-01,0.290306922488171
1987-08-01,-0.0256043438163512
1987-09-01,0.0979655306061818
1987-10-01,0.135047527418048
1987-11-01,-0.0898186668948788
1987-12-01,0.358160545691689
1988-01-01,0.36665019854694
1988-02-01,0.537455135569812
1988-03-01,0.552126394244205
1988-04-01,0.298512611101663
1988-05-01,0.683607923505232
1988-06-01,0.368687438874803
1988-07-01,0.6132738769048
1988-08-01,0.759173677412227
1988-09-01,0.832554234512253
1988-10-01,0.845303104342335
1988-11-01,0.856734937179058
1988-12-01,0.714382601020111
1989-01-01,0.820062243279623
1989-02-01,0.685532678803428
1989-03-01,0.756190240630558
1989-04-01,0.649720693465704
1989-05-01,0.699093333701592
1989-06-01,0.543889598158508
1989-07-01,0.297338060806414
1989-08-01,0.316785898737346
1989-09-01,0.148159986247934
1989-10-01,0.110976688445844
1989-11-01,0.133301738710517
1989-12-01,-0.12949508061782
1990-01-01,-0.266410350167891
1990-02-01,-0.135210686297244
1990-03-01,-0.0777848490895792
1990-04-01,-0.188331307286116
1990-05-01,-0.328050399171178
1990-06-01,-0.42876366518771
1990-07-01,-0.474271870717832
1990-08-01,-0.844094322334811
1990-09-01,-1.05195813100159
1990-10-01,-1.13520857037373
1990-11-01,-1.32018829585657
1990-12-01,-1.23042810992168
1991-01-01,-1.4521172152593
1991-02-01,-1.38637276116566
1991-03-01,-1.60143384360174
1991-04-01,-1.58188597700298
1991-05-01,-1.21002171773062
1991-06-01,-1.52610602061435
1991-07-01,-1.256119062256
1991-08-01,-1.23476612129172
1991-09-01,-1.17474100446276
1991-10-01,-1.06432432827751
1991-11-01,-1.23490824026609
1991-12-01,-1.06959741170704
1992-01-01,-0.987019279509423
1992-02-01,-0.971839806390594
1992-03-01,-0.893076503928749
1992-04-01,-0.977855588423111
1992-05-01,-0.946534030975182
1992-06-01,-0.930519329570381
1992-07-01,-0.975241316665346
1992-08-01,-0.787846988588306
1992-09-01,-0.788923773244482
1992-10-01,-0.717130559551824
1992-11-01,-0.927545639747001
1992-12-01,-0.782493716056704
1993-01-01,-0.423421284189038
1993-02-01,-0.706266929052015
1993-03-01,-0.362700368460557
1993-04-01,-0.489095513343309
1993-05-01,-0.334227799203273
1993-06-01,-0.407521236166327
1993-07-01,-0.458912425783061
1993-08-01,-0.339317228221129
1993-09-01,-0.375045760572696
1993-10-01,-0.1125454840761
1993-11-01,0.0303482902433572
1993-12-01,-0.000273097923965359
1994-01-01,0.0989357536880388
1994-02-01,0.291010295327506
1994-03-01,0.368957328845564
1994-04-01,0.46506730541636
1994-05-01,0.633159281085588
1994-06-01,0.677529092394768
1994-07-01,0.850351338687085
1994-08-01,0.778337839612789
1994-09-01,0.992034477262653
1994-10-01,0.627526980862819
1994-11-01,0.608092754980962
1994-12-01,0.559738874828408
1995-01-01,0.506387922401593
1995-02-01,0.478277354490369
1995-03-01,0.398335382358365
1995-04-01,0.618315268661576
1995-05-01,0.341838470636029
1995-06-01,0.34949585311379
1995-07-01,0.207300057685894
1995-08-01,0.218223460643881
1995-09-01,0.136126826740671
1995-10-01,0.0485612812952482
1995-11-01,0.298470866196039
1995-12-01,0.268746339493332
1996-01-01,0.261095790396894
1996-02-01,0.144810632239094
1996-03-01,0.186149225317661
1996-04-01,0.272685483837799
1996-05-01,0.167160614889701
1996-06-01,0.18432057630759
1996-07-01,0.13161680434554
1996-08-01,0.0396805045689224
1996-09-01,0.0276735038043005
1996-10-01,-0.0180327630564304
1996-11-01,-0.0487132316047211
1996-12-01,0.00334604883848707
1997-01-01,0.0345849344706338
1997-02-01,0.0097657564392844
1997-03-01,-0.196234341992537
1997-04-01,-0.206800725184423
1997-05-01,-0.15414884687155
1997-06-01,-0.167795063301492
1997-07-01,-0.232232657854528
1997-08-01,-0.164332447855467
1997-09-01,-0.00267401896285113
1997-10-01,-0.0536034937492042
1997-11-01,0.0431598973933782
1997-12-01,-0.234959863867095
1998-01-01,-0.00433819305639546
1998-02-01,-0.0498408899982716
1998-03-01,-0.286742575082584
1998-04-01,0.0253170119345963
1998-05-01,-0.256662221723776
1998-06-01,-0.55978504794995
1998-07-01,-0.367563476091186
1998-08-01,-0.472171356700763
1998-09-01,-0.288530485563313
1998-10-01,-0.217093694126388
1998-11-01,-0.136076713559522
1998-12-01,-0.00646061361842787
1999-01-01,0.204092188188301
1999-02-01,0.0870456356851048
1999-03-01,0.271514489029358
1999-04-01,0.150579498274978
1999-05-01,0.245231335011967
1999-06-01,0.21786522052935
1999-07-01,0.319950006139499
1999-08-01,0.31615202795496
1999-09-01,0.377072902753323
1999-10-01,0.35501396896334
1999-11-01,0.319872993625641
1999-12-01,0.355989480531418
2000-01-01,0.268919109494818
2000-02-01,0.174464516337248
2000-03-01,0.390989298140762
2000-04-01,0.177840500545249
2000-05-01,0.0693300773827839
2000-06-01,0.509675388495108
2000-07-01,-0.169721523262599
2000-08-01,-0.0584366791429532
2000-09-01,-0.301969357257809
2000-10-01,-0.658199228804824
2000-11-01,-0.712187794500632
2000-12-01,-0.629115316069361
2001-01-01,-0.717258915458667
2001-02-01,-0.777497832266791
2001-03-01,-0.773947811778225
2001-04-01,-0.788725588917828
2001-05-01,-0.708705230800346
2001-06-01,-0.444535229555414
2001-07-01,-0.263865369273875
2001-08-01,-0.198341398232799
2001-09-01,-0.372476155533826
2001-10-01,-0.530120911121304
2001-11-01,-0.313795743146236
2001-12-01,-0.127919427553931
2002-01-01,-0.00925269528379186
2002-02-01,0.196311223911768
2002-03-01,0.272723121604873
2002-04-01,0.372766750588816
2002-05-01,0.499862817283549
2002-06-01,0.180007945878424
2002-07-01,0.272142844649757
2002-08-01,0.363968821486193
2002-09-01,0.393123307393501
2002-10-01,0.354536093194541
2002-11-01,0.493263021552838
2002-12-01,0.201097427906186
2003-01-01,0.2408656747957
2003-02-01,0.135091299527126
2003-03-01,0.0816791612456268
2003-04-01,0.154339540221619
2003-05-01,0.22409283679626
2003-06-01,0.209346516526914
2003-07-01,0.412452966449421
2003-08-01,0.4865535024522
2003-09-01,0.522874506915607
2003-10-01,0.67632325878089
2003-11-01,0.734239363850008
2003-12-01,0.589963008045766
2004-01-01,0.537784621738417
2004-02-01,0.459166525369847
2004-03-01,0.607284825389455
