quarter,release_date,model_qoq_pct,first_print_qoq_pct,miss_pp,source
2022Q4,2023-03-01,0.6113,0.4799,0.1314,backtest
2023Q1,2023-06-07,0.4624,0.2332,0.2292,backtest
2023Q2,2023-09-06,0.474,0.3557,0.1183,backtest
2023Q3,2023-12-06,0.4623,0.212,0.2503,backtest
2023Q4,2024-03-06,0.4001,0.2395,0.1606,backtest
2024Q1,2024-06-05,0.4207,0.1275,0.2932,backtest
2024Q2,2024-09-04,0.4019,0.2246,0.1773,backtest
2024Q3,2024-12-04,0.3939,0.3337,0.0602,backtest
2024Q4,2025-03-05,0.6307,0.5833,0.0474,backtest
2025Q1,2025-06-04,0.5481,0.2111,0.337,backtest
2025Q2,2025-09-03,0.4366,0.601,-0.1644,backtest
2025Q3,2025-12-03,0.5144,0.3913,0.1231,backtest
2025Q4,2026-03-04,0.5966,0.7925,-0.1959,backtest
2026Q1,2026-06-03,0.5446,0.2743,0.2703,backtest
2026Q2,2026-09-02,0.4464,0.4195,0.0269,backtest
