quarter,qoq_pct,release_date,source
1959Q4,1.5579,,rba_rdp_2024_04
1960Q1,1.5583,,rba_rdp_2024_04
1960Q2,0.5275,,rba_rdp_2024_04
1960Q3,3.482,,rba_rdp_2024_04
1960Q4,-1.4519,,rba_rdp_2024_04
1961Q1,-1.1927,,rba_rdp_2024_04
1961Q2,-0.3077,,rba_rdp_2024_04
1961Q3,-0.831,,rba_rdp_2024_04
1961Q4,1.604,,rba_rdp_2024_04
1962Q1,3.558,,rba_rdp_2024_04
1962Q2,1.3197,,rba_rdp_2024_04
1962Q3,1.3474,,rba_rdp_2024_04
1962Q4,1.8613,,rba_rdp_2024_04
1963Q1,0.5221,,rba_rdp_2024_04
1963Q2,1.1902,,rba_rdp_2024_04
1963Q3,2.6518,,rba_rdp_2024_04
1963Q4,3.0208,,rba_rdp_2024_04
1964Q1,-1.4965,,rba_rdp_2024_04
1964Q2,3.2232,,rba_rdp_2024_04
1964Q3,2.6651,,rba_rdp_2024_04
1964Q4,1.4336,,rba_rdp_2024_04
1965Q1,0.5539,,rba_rdp_2024_04
1965Q2,1.9183,,rba_rdp_2024_04
1965Q3,-0.2236,,rba_rdp_2024_04
1965Q4,-0.7658,,rba_rdp_2024_04
1966Q1,0.2635,,rba_rdp_2024_04
1966Q2,1.0888,,rba_rdp_2024_04
1966Q3,3.2683,,rba_rdp_2024_04
1966Q4,1.1509,,rba_rdp_2024_04
1967Q1,2.1689,,rba_rdp_2024_04
1967Q2,1.4616,,rba_rdp_2024_04
1967Q3,-1.1662,,rba_rdp_2024_04
1967Q4,1.4923,,rba_rdp_2024_04
1968Q1,2.3594,,rba_rdp_2024_04
1968Q2,0.9688,,rba_rdp_2024_04
1968Q3,3.4574,,rba_rdp_2024_04
1968Q4,2.2705,,rba_rdp_2024_04
1969Q1,0.2345,,rba_rdp_2024_04
1969Q2,2.5581,,rba_rdp_2024_04
1969Q3,1.4449,,rba_rdp_2024_04
1969Q4,2.009,,rba_rdp_2024_04
1970Q1,-1.8078,,rba_rdp_2024_04
1970Q2,4.0114,,rba_rdp_2024_04
1970Q3,0.5612,,rba_rdp_2024_04
1970Q4,0.7012,,rba_rdp_2024_04
1971Q1,1.2221,,rba_rdp_2024_04
1971Q2,0.2667,,rba_rdp_2024_04
1971Q3,1.0781,,rba_rdp_2024_04
1971Q4,1.316,,rba_rdp_2024_04
1972Q1,-1.4736,,rba_rdp_2024_04
1972Q2,2.01,,rba_rdp_2024_04
1972Q3,0.2983,,rba_rdp_2024_04
1972Q4,1.7317,,rba_rdp_2024_04
1973Q1,3.5517,,rba_rdp_2024_04
1973Q2,-1.1611,,rba_rdp_2024_04
1973Q3,2.3099,,rba_rdp_2024_04
1973Q4,0.4446,,rba_rdp_2024_04
1974Q1,1.6625,,rba_rdp_2024_04
1974Q2,-1.4899,,rba_rdp_2024_04
1974Q3,-2.8208,,rba_rdp_2024_04
1974Q4,2.3235,,rba_rdp_2024_04
1975Q1,-0.8141,,rba_rdp_2024_04
1975Q2,3.0781,,rba_rdp_2024_04
1975Q3,-2.0403,,rba_rdp_2024_04
1975Q4,-1.8564,,rba_rdp_2024_04
1976Q1,3.1874,,rba_rdp_2024_04
1976Q2,0.6004,,rba_rdp_2024_04
1976Q3,1.9329,,rba_rdp_2024_04
1976Q4,-1.3951,,rba_rdp_2024_04
1977Q1,-0.4056,,rba_rdp_2024_04
1977Q2,0.7901,,rba_rdp_2024_04
1977Q3,1.1565,,rba_rdp_2024_04
1977Q4,-1.2802,,rba_rdp_2024_04
1978Q1,2.4135,,rba_rdp_2024_04
1978Q2,0.2732,,rba_rdp_2024_04
1978Q3,0.8828,,rba_rdp_2024_04
1978Q4,1.4852,,rba_rdp_2024_04
1979Q1,1.4666,,rba_rdp_2024_04
1979Q2,-0.3578,,rba_rdp_2024_04
1979Q3,0.6782,,rba_rdp_2024_04
1979Q4,1.0098,,rba_rdp_2024_04
1980Q1,-0.3446,,rba_rdp_2024_04
1980Q2,1.2932,,rba_rdp_2024_04
1980Q3,0.5858,,rba_rdp_2024_04
1980Q4,0.7628,,rba_rdp_2024_04
1981Q1,0.7599,,rba_rdp_2024_04
1981Q2,0.4286,,rba_rdp_2024_04
1981Q3,1.4994,,rba_rdp_2024_04
1981Q4,1.0593,,rba_rdp_2024_04
1982Q1,-0.0456,,rba_rdp_2024_04
1982Q2,0.9513,,rba_rdp_2024_04
1982Q3,-0.5693,,rba_rdp_2024_04
1982Q4,-1.4232,,rba_rdp_2024_04
1983Q1,-0.7962,,rba_rdp_2024_04
1983Q2,-2.2914,,rba_rdp_2024_04
1983Q3,4.3633,,rba_rdp_2024_04
1983Q4,1.9261,,rba_rdp_2024_04
1984Q1,2.2622,,rba_rdp_2024_04
1984Q2,2.2755,,rba_rdp_2024_04
1984Q3,-0.8792,,rba_rdp_2024_04
1984Q4,1.2457,,rba_rdp_2024_04
1985Q1,0.5413,,rba_rdp_2024_04
1985Q2,2.7643,,rba_rdp_2024_04
1985Q3,-0.2582,,rba_rdp_2024_04
1985Q4,0.5282,,rba_rdp_2024_04
1986Q1,-0.1321,,rba_rdp_2024_04
1986Q2,-0.384,,rba_rdp_2024_04
1986Q3,0.2182,,rba_rdp_2024_04
1986Q4,1.139,,rba_rdp_2024_04
1987Q1,0.5819,,rba_rdp_2024_04
1987Q2,1.7346,,rba_rdp_2024_04
1987Q3,0.5019,,rba_rdp_2024_04
1987Q4,1.4907,,rba_rdp_2024_04
1988Q1,1.7524,,rba_rdp_2024_04
1988Q2,0.7608,,rba_rdp_2024_04
1988Q3,0.3307,,rba_rdp_2024_04
1988Q4,1.928,,rba_rdp_2024_04
1989Q1,1.5955,,rba_rdp_2024_04
1989Q2,0.6166,,rba_rdp_2024_04
1989Q3,0.6538,,rba_rdp_2024_04
1989Q4,-0.244,,rba_rdp_2024_04
1990Q1,1.8014,,rba_rdp_2024_04
1990Q2,-0.8995,,rba_rdp_2024_04
1990Q3,-1.6421,,rba_rdp_2024_04
1990Q4,0.6453,,rba_rdp_2024_04
1991Q1,0.1243,,rba_rdp_2024_04
1991Q2,-0.993,,rba_rdp_2024_04
1991Q3,-0.2816,,rba_rdp_2024_04
1991Q4,0.2707,,rba_rdp_2024_04
1992Q1,0.6418,,rba_rdp_2024_04
1992Q2,0.5663,,rba_rdp_2024_04
1992Q3,0.5295,,rba_rdp_2024_04
1992Q4,0.7026,,rba_rdp_2024_04
1993Q1,0.452,,rba_rdp_2024_04
1993Q2,1.2264,,rba_rdp_2024_04
1993Q3,0.4466,,rba_rdp_2024_04
1993Q4,1.6634,,rba_rdp_2024_04
1994Q1,1.8605,,rba_rdp_2024_04
1994Q2,0.9355,,rba_rdp_2024_04
1994Q3,1.3027,,rba_rdp_2024_04
1994Q4,0.3986,,rba_rdp_2024_04
1995Q1,0.5172,,rba_rdp_2024_04
1995Q2,0.9854,,rba_rdp_2024_04
1995Q3,1.5755,,rba_rdp_2024_04
1995Q4,0.4685,,rba_rdp_2024_04
1996Q1,1.7828,,rba_rdp_2024_04
1996Q2,0.0829,,rba_rdp_2024_04
1996Q3,0.778,,rba_rdp_2024_04
1996Q4,0.4615,,rba_rdp_2024_04
1997Q1,0.9152,,rba_rdp_2024_04
1997Q2,1.2406,,rba_rdp_2024_04
1997Q3,1.4518,,rba_rdp_2024_04
1997Q4,0.455,,rba_rdp_2024_04
1998Q1,1.2607,,rba_rdp_2024_04
1998Q2,0.7696,,rba_rdp_2024_04
1998Q3,1.0402,,rba_rdp_2024_04
1998Q4,1.0567,,rba_rdp_2024_04
1999Q1,1.0624,,rba_rdp_2024_04
1999Q2,0.2298,,rba_rdp_2024_04
1999Q3,1.5624,,rba_rdp_2024_04
1999Q4,0.9899,,rba_rdp_2024_04
2000Q1,1.0895,,rba_rdp_2024_04
2000Q2,0.6923,,rba_rdp_2024_04
2000Q3,0.6496,,rba_rdp_2024_04
2000Q4,-0.565,,rba_rdp_2024_04
2001Q1,1.0621,,rba_rdp_2024_04
2001Q2,0.8895,,rba_rdp_2024_04
2001Q3,1.1357,,rba_rdp_2024_04
2001Q4,1.2715,,rba_rdp_2024_04
2002Q1,0.8851,,rba_rdp_2024_04
2002Q2,0.6042,,rba_rdp_2024_04
2002Q3,0.8654,,rba_rdp_2024_04
2002Q4,0.3877,,rba_rdp_2024_04
2003Q1,0.6817,,rba_rdp_2024_04
