vintage_id,run_timestamp,target_quarter,nowcast_value,qoq_growth,yoy_growth,latest_actual_value,data_as_of_date,n_indicators,n_indicators_updated,log_likelihood,file_path
vintage_sim_20260209_090000,2026-02-09T09:00:00Z,2026 Q1,693342.993382999,0.730185856661876,2.05810951511778,693772,2026-02-09,13,NA,NA,.cache/model_output/vintages/2026Q1/vintage_sim_20260209_090000.rds
vintage_sim_20260216_090000,2026-02-16T09:00:00Z,2026 Q1,693960.488589282,0.819896732069907,2.14900304687515,693772,2026-02-16,13,NA,NA,.cache/model_output/vintages/2026Q1/vintage_sim_20260216_090000.rds
vintage_sim_20260223_090000,2026-02-23T09:00:00Z,2026 Q1,693960.488589282,0.819896732069907,2.14900304687515,693772,2026-02-23,13,NA,NA,.cache/model_output/vintages/2026Q1/vintage_sim_20260223_090000.rds
vintage_sim_20260302_090000,2026-03-02T09:00:00Z,2026 Q1,693636.620319847,0.772844535271813,2.1013305620792,693772,2026-03-02,13,NA,NA,.cache/model_output/vintages/2026Q1/vintage_sim_20260302_090000.rds
vintage_sim_20260309_090000,2026-03-09T09:00:00Z,2026 Q1,699237.908167894,0.787853670643118,2.92582414473219,693772,2026-03-09,13,NA,NA,.cache/model_output/vintages/2026Q1/vintage_sim_20260309_090000.rds
vintage_sim_20260316_090000,2026-03-16T09:00:00Z,2026 Q1,698709.325849299,0.711664040823031,2.84801833624519,693772,2026-03-16,13,NA,NA,.cache/model_output/vintages/2026Q1/vintage_sim_20260316_090000.rds
vintage_sim_20260323_090000,2026-03-23T09:00:00Z,2026 Q1,698643.435399571,0.702166619519274,2.83831945012611,693772,2026-03-23,13,NA,NA,.cache/model_output/vintages/2026Q1/vintage_sim_20260323_090000.rds
vintage_sim_20260330_090000,2026-03-30T09:00:00Z,2026 Q1,699233.954238411,0.787283752934837,2.92524213759859,693772,2026-03-30,13,NA,NA,.cache/model_output/vintages/2026Q1/vintage_sim_20260330_090000.rds
vintage_sim_20260406_090000,2026-04-06T09:00:00Z,2026 Q1,699227.205878531,0.786311047221738,2.9242487982871,693772,2026-04-06,13,NA,NA,.cache/model_output/vintages/2026Q1/vintage_sim_20260406_090000.rds
vintage_sim_20260413_090000,2026-04-13T09:00:00Z,2026 Q1,699151.226395304,0.775359396935006,2.91306483523546,693772,2026-04-13,13,NA,NA,.cache/model_output/vintages/2026Q1/vintage_sim_20260413_090000.rds
vintage_20260419_214053,2026-04-19T20:40:53Z,2026 Q1,699340.1751244954,0.8025943861233107,2.940877548828297,693772,2026-04-19,0,0,NA,.cache/model_output/vintages/2026Q1/vintage_20260419_214053.rds
vintage_20260427_175923,2026-04-27T17:59:23Z,2026 Q1,699340.1751244954,0.8025943861233107,2.940877548828297,693772,2026-04-27,13,0,NA,.cache/model_output/vintages/2026Q1/vintage_20260427_175923.rds
vintage_20260504_145718,2026-05-04T14:57:18Z,2026 Q1,699405.8801340932,0.8120650781659241,2.950549138689625,693772,2026-05-04,13,0,NA,.cache/model_output/vintages/2026Q1/vintage_20260504_145718.rds
vintage_20260511_055804,2026-05-11T05:58:04Z,2026 Q1,699082.5543885996,0.7654610431956838,2.902956511869181,693772,2026-05-11,13,0,NA,.cache/model_output/vintages/2026Q1/vintage_20260511_055804.rds
vintage_20260518_061322,2026-05-18T06:13:22Z,2026 Q1,699147.7918636058,0.7748643450017981,2.9125592819731843,693772,2026-05-18,13,0,NA,.cache/model_output/vintages/2026Q1/vintage_20260518_061322.rds
vintage_20260525_062700,2026-05-25T06:27:00Z,2026 Q1,699153.1739470584,0.77564011621373,2.913351509294526,693772,2026-05-25,13,0,NA,.cache/model_output/vintages/2026Q1/vintage_20260525_062700.rds
vintage_20260601_065438,2026-06-01T06:54:38Z,2026 Q1,699140.4936837984,0.7738123884789777,2.9114850107377896,693772,2026-06-01,13,0,NA,.cache/model_output/vintages/2026Q1/vintage_20260601_065438.rds
vintage_20260602_231534,2026-06-02T23:15:34Z,2026 Q1,699136.5199588543,0.773239617461417,2.9109000897688126,693772,2026-06-02,13,0,NA,.cache/model_output/vintages/2026Q1/vintage_20260602_231534.rds
vintage_20260610_230743,2026-06-10T23:07:43Z,2026 Q2,700221.8956281743,0.6145450614882348,2.1601327701971216,695945,2026-06-10,13,0,NA,.cache/model_output/vintages/2026Q2/vintage_20260610_230743.rds
vintage_20260610_232516,2026-06-10T23:25:16Z,2026 Q2,700221.8956281743,0.6145450614882348,2.1601327701971216,695945,2026-06-10,13,0,NA,.cache/model_output/vintages/2026Q2/vintage_20260610_232516.rds
vintage_20260615_072008,2026-06-15T07:20:08Z,2026 Q2,700221.8956281743,0.6145450614882348,2.1601327701971216,695945,2026-06-15,13,0,NA,.cache/model_output/vintages/2026Q2/vintage_20260615_072008.rds
vintage_20260615_102451,2026-06-15T10:24:51Z,2026 Q2,700221.8956281743,0.6145450614882348,2.1601327701971216,695945,2026-06-15,13,0,NA,.cache/model_output/vintages/2026Q2/vintage_20260615_102451.rds
vintage_20260622_072048,2026-06-22T07:20:48Z,2026 Q2,701030.9858632681,0.7308028455219949,2.2781764451469098,695945,2026-06-22,13,0,NA,.cache/model_output/vintages/2026Q2/vintage_20260622_072048.rds
